,race_time,race_id
0,0950,202508030101
1,1005,202505040101
2,1020,202508030102
3,1035,202505040102
4,1050,202508030103
5,1105,202505040103
6,1120,202508030104
7,1135,202505040104
8,1210,202508030105
9,1225,202505040105
10,1240,202508030106
11,1255,202505040106
12,1310,202508030107
13,1325,202505040107
14,1340,202508030108
15,1355,202505040108
16,1415,202508030109
17,1430,202505040109
18,1450,202508030110
19,1505,202505040110
20,1530,202508030111
21,1545,202505040111
22,1610,202508030112
23,1625,202505040112
