,race_time,race_id
0,0950,202508030201
1,1005,202505040201
2,1020,202508030202
3,1035,202505040202
4,1050,202508030203
5,1105,202505040203
6,1120,202508030204
7,1135,202505040204
8,1210,202508030205
9,1225,202505040205
10,1240,202508030206
11,1255,202505040206
12,1310,202508030207
13,1325,202505040207
14,1340,202508030208
15,1355,202505040208
16,1415,202508030209
17,1430,202505040209
18,1450,202508030210
19,1505,202505040210
20,1530,202508030211
21,1545,202505040211
22,1610,202508030212
23,1625,202505040212
