,2023103907
peds_0,サートゥルナーリア  2016 黒鹿毛  [血統][産駒]  Mr. Prospector系
peds_1,メジロスプレンダー  2006 黒鹿毛  [血統][産駒]  FNo.[9-f]
peds_2,ロードカナロア  2008 鹿毛  [血統][産駒]
peds_3,シーザリオ  2002 青毛  [血統][産駒]
peds_4,シンボリクリスエス  1999 黒鹿毛  [血統][産駒]
peds_5,クライウィズジョイ  1997 栗毛  [血統][産駒]
peds_6,キングカメハメハ  2001 鹿毛  [血統][産駒]
peds_7,レディブラッサム  1996 鹿毛  [血統][産駒]
peds_8,スペシャルウィーク  1995 黒鹿毛  [血統][産駒]
peds_9,キロフプリミエール  Kirov Premiere(英)  1990 鹿毛  [血統][産駒]
peds_10,Kris S.  1977 黒鹿毛  [血統][産駒]
peds_11,Tee Kay  1991 黒鹿毛  [血統][産駒]
peds_12,トニービン  Tony Bin(愛)  1983 鹿毛  [血統][産駒]
peds_13,クライングフォーモア  Cryingformore(加)  1989 黒鹿毛  [血統][産駒]
peds_14,Kingmambo 1990 鹿毛
peds_15,マンファス 1991 黒鹿毛
peds_16,Storm Cat 1983 黒鹿毛
peds_17,サラトガデュー 1989 鹿毛
peds_18,サンデーサイレンス 1986 青鹿毛
peds_19,キャンペンガール 1987 鹿毛
peds_20,Sadler's Wells 1981 鹿毛
peds_21,Querida 1975 黒鹿毛
peds_22,Roberto 1969 鹿毛
peds_23,Sharp Queen 1965 鹿毛
peds_24,Gold Meridian 1982 黒鹿毛
peds_25,Tri Argo 1982 黒鹿毛
peds_26,カンパラ 1976 黒鹿毛
peds_27,Severn Bridge 1965 栗毛
peds_28,Always Run Lucky 1978 栗毛
peds_29,オールドスタッフ 1985 鹿毛
peds_30,Mr. Prospector
peds_31,Miesque
peds_32,ラストタイクーン
peds_33,Pilot Bird
peds_34,Storm Bird
peds_35,Terlingua
peds_36,Cormorant
peds_37,Super Luna
peds_38,Halo
peds_39,Wishing Well
peds_40,マルゼンスキー
peds_41,レディーシラオキ
peds_42,Northern Dancer
peds_43,Fairy Bridge
peds_44,Habitat
peds_45,Principia
peds_46,Hail to Reason
peds_47,Bramalea
peds_48,Princequillo
peds_49,Bridgework
peds_50,Seattle Slew
peds_51,Queen Louie
peds_52,Tri Jet
peds_53,Hail Proudly
peds_54,Kalamoun
peds_55,State Pension
peds_56,Hornbeam
peds_57,Priddy Fair
peds_58,What Luck
peds_59,Big Puddles
peds_60,Irish River
peds_61,アンティックヴァリュー
