,2023101602
peds_0,ベストウォーリア  2010 栗毛  [血統][産駒]  Seattle Slew系
peds_1,クリノコマチ  2011 栗毛  [血統][産駒]  FNo.[22-b]
peds_2,マジェスティックウォリアー  Majestic Warrior(米)  2005 鹿毛  [血統][産駒]
peds_3,フラーテイシャスミス  2004 栗毛  [血統][産駒]
peds_4,サンライズペガサス  1998 栗毛  [血統][産駒]
peds_5,コパノマルコリーニ  2004 栗毛  [血統][産駒]
peds_6,A.P. Indy  1989 黒鹿毛  [血統][産駒]
peds_7,Dream Supreme  1997 黒鹿毛  [血統][産駒]
peds_8,Mr. Greeley  1992 栗毛  [血統][産駒]
peds_9,Seductive Smile  1990 鹿毛  [血統][産駒]
peds_10,サンデーサイレンス  Sunday Silence(米)  1986 青鹿毛  [血統][産駒]
peds_11,ヒガシブライアン  1991 栗毛  [血統][産駒]
peds_12,マヤノトップガン  1992 栗毛  [血統][産駒]
peds_13,ステファーナ  1993 栗毛  [血統][産駒]
peds_14,Seattle Slew 1974 黒鹿毛
peds_15,Weekend Surprise 1980 鹿毛
peds_16,Seeking the Gold 1985 鹿毛
peds_17,Spinning Round 1989 鹿毛
peds_18,Gone West 1984 鹿毛
peds_19,Long Legend 1978 栗毛
peds_20,Silver Hawk 1979 鹿毛
peds_21,Exit Smiling 1970 栗毛
peds_22,Halo 1969 黒鹿毛
peds_23,Wishing Well 1975 鹿毛
peds_24,ブライアンズタイム 1985 黒鹿毛
peds_25,アリーウイン 1984 栗毛
peds_26,ブライアンズタイム 1985 黒鹿毛
peds_27,アルプミープリーズ 1981 栗毛
peds_28,リアルシャダイ 1979 黒鹿毛
peds_29,ダイナコマネチ 1983 栗毛
peds_30,Bold Reasoning
peds_31,My Charmer
peds_32,Secretariat
peds_33,Lassie Dear
peds_34,Mr. Prospector
peds_35,Con Game
peds_36,Dixieland Band
peds_37,Take Heart
peds_38,Mr. Prospector
peds_39,Secrettame
peds_40,Reviewer
peds_41,Lianga
peds_42,Roberto
peds_43,Gris Vitesse
peds_44,Stage Door Johnny
peds_45,Chandelier
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Roberto
peds_51,Kelley's Day
peds_52,Alydar
peds_53,Fleet Victress
peds_54,Roberto
peds_55,Kelley's Day
peds_56,Blushing Groom
peds_57,Swiss
peds_58,Roberto
peds_59,Desert Vixen
peds_60,ノーザンテースト
peds_61,シャダイリーズン
