,2023103962
peds_0,コパノリッキー  2010 栗毛  [血統][産駒]  Halo系
peds_1,アロゴ  2016 黒鹿毛  [血統][産駒]  FNo.[1-e]
peds_2,ゴールドアリュール  1999 栗毛  [血統][産駒]
peds_3,コパノニキータ  2001 栗毛  [血統][産駒]
peds_4,ジャスタウェイ  2009 鹿毛  [血統][産駒]
peds_5,ムーランルージュ  2002 鹿毛  [血統][産駒]
peds_6,サンデーサイレンス Sunday Silence(米)  1986 青鹿毛  [血統][産駒]
peds_7,ニキーヤ  Nikiya(米)  1993 鹿毛  [血統][産駒]
peds_8,ティンバーカントリー  Timber Country(米)  1992 栗毛  [血統][産駒]
peds_9,ニホンピロローズ  1996 栗毛  [血統][産駒]
peds_10,ハーツクライ  2001 鹿毛  [血統][産駒]
peds_11,シビル  1999 鹿毛  [血統][産駒]
peds_12,クロコルージュ  Croco Rouge(愛)  1995 鹿毛  [血統][産駒]
peds_13,ジャビラバ  Javilava(加)  1989 栗毛  [血統][産駒]
peds_14,Halo 1969 黒鹿毛
peds_15,Wishing Well 1975 鹿毛
peds_16,Nureyev 1977 鹿毛
peds_17,Reluctant Guest 1986 鹿毛
peds_18,Woodman 1983 栗毛
peds_19,Fall Aspen 1976 栗毛
peds_20,トニービン 1983 鹿毛
peds_21,ウェディングブーケ 1990 鹿毛
peds_22,サンデーサイレンス 1986 青鹿毛
peds_23,アイリッシュダンス 1990 鹿毛
peds_24,Wild Again 1980 黒鹿毛
peds_25,シャロン 1987 栗毛
peds_26,Rainbow Quest 1981 鹿毛
peds_27,Alligatrix 1980 鹿毛
peds_28,Majestic Light 1973 鹿毛
peds_29,コマーズ 1983 鹿毛
peds_30,Hail to Reason
peds_31,Cosmah
peds_32,Understanding
peds_33,Mountain Flower
peds_34,Northern Dancer
peds_35,Special
peds_36,Hostage
peds_37,Vaguely Royal
peds_38,Mr. Prospector
peds_39,プレイメイト
peds_40,Pretense
peds_41,Change Water
peds_42,カンパラ
peds_43,Severn Bridge
peds_44,リアルシャダイ
peds_45,アリーウイン
peds_46,Halo
peds_47,Wishing Well
peds_48,トニービン
peds_49,ビューパーダンス
peds_50,Icecapade
peds_51,Bushel-n-Peck
peds_52,Mo Exception
peds_53,Double Wiggle
peds_54,Blushing Groom
peds_55,I Will Follow
peds_56,Alleged
peds_57,Shore
peds_58,Majestic Prince
peds_59,Irradiate
peds_60,Danzig
peds_61,ミドルマーチ
