,2023106612
peds_0,アメリカンペイトリオット  2013 鹿毛  [血統][産駒]  Danzig系
peds_1,クモリナキマナコ  2019 鹿毛  [血統][産駒]  FNo.[4-d]
peds_2,War Front  2002 鹿毛  [血統][産駒]
peds_3,Life Well Lived  2007 鹿毛  [血統][産駒]
peds_4,エピファネイア  2010 鹿毛  [血統][産駒]
peds_5,クィーンズトレイル  2008 鹿毛  [血統][産駒]
peds_6,Danzig  1977 鹿毛  [血統][産駒]
peds_7,Starry Dreamer  1994 芦毛  [血統][産駒]
peds_8,Tiznow  1997 鹿毛  [血統][産駒]
peds_9,Well Dressed  1997 黒鹿毛  [血統][産駒]
peds_10,シンボリクリスエス  1999 黒鹿毛  [血統][産駒]
peds_11,シーザリオ  2002 青毛  [血統][産駒]
peds_12,ディープインパクト  2002 鹿毛  [血統][産駒]
peds_13,ヴェイパートレイル  2001 鹿毛  [血統][産駒]
peds_14,Northern Dancer 1961 鹿毛
peds_15,Pas de Nom 1968 黒鹿毛
peds_16,Rubiano 1987 芦毛
peds_17,Lara's Star 1981 鹿毛
peds_18,Cee's Tizzy 1987 芦毛
peds_19,Cee's Song 1986 黒鹿毛
peds_20,Notebook 1985 鹿毛
peds_21,Trithenia 1992 鹿毛
peds_22,Kris S. 1977 黒鹿毛
peds_23,Tee Kay 1991 黒鹿毛
peds_24,スペシャルウィーク 1995 黒鹿毛
peds_25,キロフプリミエール 1990 鹿毛
peds_26,サンデーサイレンス 1986 青鹿毛
peds_27,ウインドインハーヘア 1991 鹿毛
peds_28,カーネギー 1991 鹿毛
peds_29,ハッピートレイルズ 1984 鹿毛
peds_30,Nearctic
peds_31,Natalma
peds_32,Admiral's Voyage
peds_33,Petitioner
peds_34,Fappiano
peds_35,Ruby Slippers
peds_36,Forli
peds_37,True Reality
peds_38,Relaunch
peds_39,テイズリー
peds_40,Seattle Song
peds_41,Lonely Dancer
peds_42,Well Decorated
peds_43,Mobcap
peds_44,Gold Meridian
peds_45,Tri Argo
peds_46,Roberto
peds_47,Sharp Queen
peds_48,Gold Meridian
peds_49,Tri Argo
peds_50,サンデーサイレンス
peds_51,キャンペンガール
peds_52,Sadler's Wells
peds_53,Querida
peds_54,Halo
peds_55,Wishing Well
peds_56,Alzao
peds_57,Burghclere
peds_58,Sadler's Wells
peds_59,Detroit
peds_60,ポツセ
peds_61,ロイコン
