,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
2020190002,2024/10/19,アスコッ,nan,nan,クイーンエリザベス2(GI),12,nan,1,nan,1,1,デソウサ,60.0,芝1600,重,1:45.98,nan,nan,nan,nan,計不,()
2020190002,2024/09/08,パリロン,nan,nan,ムーラン・ド・ロンシ(GI),7,nan,1,nan,1,2,デソウサ,58.5,芝1600,重,1:38.9,nan,nan,nan,nan,計不,nan
2020190002,2024/08/11,ドーヴィ,nan,nan,ジャック・ル・マロワ(GI),8,nan,3,nan,1,1,デソウサ,60.0,芝1600,良,1:33.98,nan,nan,nan,nan,計不,()
2020190002,2024/06/18,アスコッ,nan,nan,クイーンアンS(GI),13,nan,5,nan,1,1,デソウサ,58.0,芝1600,良,1:38.04,nan,nan,nan,nan,計不,()
2020190002,2024/05/18,ニューベ,nan,nan,ロッキンジS(GI),11,nan,3,nan,3,2,デソウサ,58.0,芝1600,良,1:35.5,nan,nan,nan,nan,計不,nan
2020190002,2024/04/26,サンダウ,nan,nan,bet365マイル(GII),6,nan,3,nan,2,1,デソウサ,58.5,芝1600,稍,1:45.17,nan,nan,nan,nan,計不,()
2020190002,2024/03/23,ドンカス,nan,nan,ドンカスターマイルS(OP),7,nan,2,nan,1,1,デソウサ,58.0,芝1600,重,1:45.68,nan,nan,nan,nan,計不,()
2020190002,2023/08/26,グッドウ,nan,nan,セレブレーションマイ(GII),7,nan,4,nan,2,3,イーガン,57.0,芝1600,重,1:44.9,nan,nan,nan,nan,計不,nan
2020190002,2023/08/02,グッドウ,nan,nan,サセックスS(GI),5,nan,5,nan,5,3,イーガン,58.5,芝1600,重,1:47.9,nan,nan,nan,nan,計不,nan
2020190002,2023/07/09,ドーヴィ,nan,nan,ジャンプラ賞(GI),12,nan,6,nan,5,8,イーガン,58.0,芝1400,重,1:23.3,nan,nan,nan,nan,計不,nan
2020190002,2023/06/20,アスコッ,nan,nan,セントジェームズパレ(GI),9,nan,2,nan,8,3,イーガン,58.0,芝1590,良,1:41.4,nan,nan,nan,nan,計不,nan
2020190002,2023/05/27,カラ,nan,nan,愛2000ギニー(GI),11,nan,5,nan,5,4,イーガン,58.0,芝1600,良,1:41.3,nan,nan,nan,nan,計不,nan
2020190002,2023/05/06,ニューマ,nan,nan,英2000ギニー(GI),14,nan,3,nan,12,8,レヴィー,58.0,芝1600,重,1:43.3,nan,nan,nan,nan,計不,nan
2020190002,2023/04/22,ニューベ,nan,nan,グリーナムS(GIII),11,nan,2,nan,5,2,イーガン,58.0,芝1400,重,1:29.5,nan,nan,nan,nan,計不,nan
2020190002,2022/10/08,シャンテ,nan,nan,メゾンラフィット(GII),6,nan,1,nan,2,1,バルザロ,58.0,芝1200,重,1:10.58,nan,nan,nan,nan,計不,()
2020190002,2022/09/17,ニューベ,nan,nan,ミルリーフS(GII),7,nan,1,nan,4,3,マーカン,58.5,芝1200,良,1:14.2,nan,nan,nan,nan,計不,nan
2020190002,2022/08/27,ニューマ,nan,nan,条件戦,12,nan,1,nan,2,2,ドーソン,62.0,芝1200,良,1:14.7,nan,nan,nan,nan,計不,nan
2020190002,2022/08/07,ヘイドッ,nan,nan,未勝利戦,12,nan,3,nan,2,1,イーガン,60.5,芝1200,良,1:14.84,nan,nan,nan,nan,計不,()
