,2023101964
peds_0,クワイトファイン  2010 鹿毛  [血統][産駒]  パーソロン系
peds_1,ガレットデロワ  2017 黒鹿毛  [血統][産駒]  FNo.[4-r]
peds_2,トウカイテイオー  1988 鹿毛  [血統][産駒]
peds_3,オーロラテルコ  1998 鹿毛  [血統][産駒]
peds_4,エピファネイア  2010 鹿毛  [血統][産駒]
peds_5,ブロードピーク  2008 鹿毛  [血統][産駒]
peds_6,シンボリルドルフ  1981 鹿毛  [血統][産駒]
peds_7,トウカイナチュラル  1982 鹿毛  [血統][産駒]
peds_8,ミスターシービー  1980 黒鹿毛  [血統][産駒]
peds_9,オーロラシロー  1982 栗毛  [血統][産駒]
peds_10,シンボリクリスエス  1999 黒鹿毛  [血統][産駒]
peds_11,シーザリオ  2002 青毛  [血統][産駒]
peds_12,ディープインパクト  2002 鹿毛  [血統][産駒]
peds_13,ブロードアピール  1994 黒鹿毛  [血統][産駒]
peds_14,パーソロン 1960 鹿毛
peds_15,スイートルナ 1972 栗毛
peds_16,ナイスダンサー 1969 鹿毛
peds_17,トウカイミドリ 1977 鹿毛
peds_18,トウショウボーイ 1973 鹿毛
peds_19,シービークイン 1973 黒鹿毛
peds_20,シンザン 1961 鹿毛
peds_21,ヤノセイラン 1974 栗毛
peds_22,Kris S. 1977 黒鹿毛
peds_23,Tee Kay 1991 黒鹿毛
peds_24,スペシャルウィーク 1995 黒鹿毛
peds_25,キロフプリミエール 1990 鹿毛
peds_26,サンデーサイレンス 1986 青鹿毛
peds_27,ウインドインハーヘア 1991 鹿毛
peds_28,Broad Brush 1983 鹿毛
peds_29,Valid Allure 1985 黒鹿毛
peds_30,Milesian
peds_31,Paleo
peds_32,スピードシンボリ
peds_33,ダンスタイム
peds_34,Northern Dancer
peds_35,Nice Princess
peds_36,ファバージ
peds_37,トウカイクイン
peds_38,テスコボーイ
peds_39,ソシアルバターフライ
peds_40,トピオ
peds_41,メイドウ
peds_42,ヒンドスタン
peds_43,ハヤノボリ
peds_44,タニノムーティエ
peds_45,レデイロック
peds_46,Roberto
peds_47,Sharp Queen
peds_48,Gold Meridian
peds_49,Tri Argo
peds_50,サンデーサイレンス
peds_51,キャンペンガール
peds_52,Sadler's Wells
peds_53,Querida
peds_54,Halo
peds_55,Wishing Well
peds_56,Alzao
peds_57,Burghclere
peds_58,Ack Ack
peds_59,Hay Patcher
peds_60,Valid Appeal
peds_61,Alluring Girl
