,2023102252
peds_0,マクフィ  Makfi(英)  2007 鹿毛  [血統][産駒]  Mr. Prospector系
peds_1,オルノス  2013 芦毛  [血統][産駒]  FNo.[11-g]
peds_2,Dubawi  2002 鹿毛  [血統][産駒]
peds_3,Dhelaal  2002 鹿毛  [血統][産駒]
peds_4,ゴールドアリュール  1999 栗毛  [血統][産駒]
peds_5,ミコノス  2005 芦毛  [血統][産駒]
peds_6,Dubai Millennium  (英)  1996 鹿毛  [血統][産駒]
peds_7,Zomaradah  1995 鹿毛  [血統][産駒]
peds_8,Green Desert  1983 鹿毛  [血統][産駒]
peds_9,Irish Valley  1982 鹿毛  [血統][産駒]
peds_10,サンデーサイレンス  Sunday Silence(米)  1986 青鹿毛  [血統][産駒]
peds_11,ニキーヤ  Nikiya(米)  1993 鹿毛  [血統][産駒]
peds_12,With Approval  1986 芦毛  [血統][産駒]
peds_13,リベラノ  Rebelano(米)  1999 栗毛  [血統][産駒]
peds_14,Seeking the Gold 1985 鹿毛
peds_15,Colorado Dancer 1986 黒鹿毛
peds_16,Deploy 1987 鹿毛
peds_17,Jawaher 1989 鹿毛
peds_18,Danzig 1977 鹿毛
peds_19,Foreign Courier 1979 鹿毛
peds_20,Irish River 1976 栗毛
peds_21,Green Valley 1967 黒鹿毛
peds_22,Halo 1969 黒鹿毛
peds_23,Wishing Well 1975 鹿毛
peds_24,Nureyev 1977 鹿毛
peds_25,Reluctant Guest 1986 鹿毛
peds_26,Caro 1967 芦毛
peds_27,Passing Mood 1978 栗毛
peds_28,Rubiano 1987 芦毛
peds_29,Skillful Joy 1979 栗毛
peds_30,Mr. Prospector
peds_31,Con Game
peds_32,Shareef Dancer
peds_33,Fall Aspen
peds_34,Shirley Heights
peds_35,Slightly Dangerous
peds_36,ダンシングブレーヴ
peds_37,High Tern
peds_38,Northern Dancer
peds_39,Pas de Nom
peds_40,Sir Ivor
peds_41,Courtly Dee
peds_42,Riverman
peds_43,Irish Star
peds_44,Val de Loir
peds_45,Sly Pola
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Northern Dancer
peds_51,Special
peds_52,Hostage
peds_53,Vaguely Royal
peds_54,フォルティノ
peds_55,Chambord
peds_56,Buckpasser
peds_57,Cool Mood
peds_58,Fappiano
peds_59,Ruby Slippers
peds_60,Nodouble
peds_61,Skillful Miss
