,2023100756
peds_0,ディスクリートキャット  Discreet Cat(米)  2003 鹿毛  [血統][産駒]  Storm Bird系
peds_1,イサチルルンルン  2015 鹿毛  [血統][産駒]  FNo.[2-s]
peds_2,Forestry  1996 鹿毛  [血統][産駒]
peds_3,Pretty Discreet  1992 鹿毛  [血統][産駒]
peds_4,パイロ  Pyro(米)  2005 黒鹿毛  [血統][産駒]
peds_5,テンセイフジ  2002 鹿毛  [血統][産駒]
peds_6,Storm Cat  (米)  1983 黒鹿毛  [血統][産駒]
peds_7,Shared Interest  1988 鹿毛  [血統][産駒]
peds_8,Private Account  1976 鹿毛  [血統][産駒]
peds_9,Pretty Persuasive  1988 鹿毛  [血統][産駒]
peds_10,Pulpit  1994 鹿毛  [血統][産駒]
peds_11,Wild Vision  1998 鹿毛  [血統][産駒]
peds_12,ハウスバスター  Housebuster(米)  1987 黒鹿毛  [血統][産駒]
peds_13,ハローメルヘン  1993 栗毛  [血統][産駒]
peds_14,Storm Bird 1978 鹿毛
peds_15,Terlingua 1976 栗毛
peds_16,Pleasant Colony 1978 黒鹿毛
peds_17,Surgery 1976 鹿毛
peds_18,Damascus 1964 鹿毛
peds_19,Numbered Account 1969 鹿毛
peds_20,Believe It 1975 栗毛
peds_21,Bury the Hatchet 1973 鹿毛
peds_22,A.P. Indy 1989 黒鹿毛
peds_23,Preach 1989 鹿毛
peds_24,Wild Again 1980 黒鹿毛
peds_25,Carol's Wonder 1984 芦毛
peds_26,Mt. Livermore 1981 栗毛
peds_27,Big Dreams 1980 黒鹿毛
peds_28,シンボリルドルフ 1981 鹿毛
peds_29,オトギバナシ 1986 黒鹿毛
peds_30,Northern Dancer
peds_31,South Ocean
peds_32,Secretariat
peds_33,Crimson Saint
peds_34,His Majesty
peds_35,Sun Colony
peds_36,Dr. Fager
peds_37,Bold Sequence
peds_38,Sword Dancer
peds_39,Kerala
peds_40,Buckpasser
peds_41,Intriguing
peds_42,In Reality
peds_43,Breakfast Bell
peds_44,Tom Rolfe
peds_45,Christmas Whishes
peds_46,Seattle Slew
peds_47,Weekend Surprise
peds_48,Mr. Prospector
peds_49,Narrate
peds_50,Icecapade
peds_51,Bushel-n-Peck
peds_52,Pass the Tab
peds_53,Carols Christmas
peds_54,Blushing Groom
peds_55,Flama Ardiente
peds_56,Great Above
peds_57,Dolphins Dream
peds_58,パーソロン
peds_59,スイートルナ
peds_60,ディクタス
peds_61,シャダイメルヘン
