,2023104305
peds_0,レイデオロ  2014 鹿毛  [血統][産駒]  Mr. Prospector系
peds_1,ファミーユボヌール  2014 黒鹿毛  [血統][産駒]  FNo.[2-i]
peds_2,キングカメハメハ  2001 鹿毛  [血統][産駒]
peds_3,ラドラーダ  2006 青鹿毛  [血統][産駒]
peds_4,マンハッタンカフェ  1998 青鹿毛  [血統][産駒]
peds_5,レッドルンバ  2005 芦毛  [血統][産駒]
peds_6,Kingmambo  (米)  1990 鹿毛  [血統][産駒]
peds_7,マンファス  Manfath(愛)  1991 黒鹿毛  [血統][産駒]
peds_8,シンボリクリスエス  1999 黒鹿毛  [血統][産駒]
peds_9,レディブロンド  1998 鹿毛  [血統][産駒]
peds_10,サンデーサイレンス  Sunday Silence(米)  1986 青鹿毛  [血統][産駒]
peds_11,サトルチェンジ  Subtle Change(愛)  1988 黒鹿毛  [血統][産駒]
peds_12,Red Ransom  1987 鹿毛  [血統][産駒]
peds_13,Rumba Azul  1994 芦毛  [血統][産駒]
peds_14,Mr. Prospector 1970 鹿毛
peds_15,Miesque 1984 鹿毛
peds_16,ラストタイクーン 1983 黒鹿毛
peds_17,Pilot Bird 1983 鹿毛
peds_18,Kris S. 1977 黒鹿毛
peds_19,Tee Kay 1991 黒鹿毛
peds_20,Seeking the Gold 1985 鹿毛
peds_21,ウインドインハーヘア 1991 鹿毛
peds_22,Halo 1969 黒鹿毛
peds_23,Wishing Well 1975 鹿毛
peds_24,Law Society 1982 黒鹿毛
peds_25,Santa Luciana 1973 黒鹿毛
peds_26,Roberto 1969 鹿毛
peds_27,アラビアII 1977
peds_28,Fabulous Dancer 1976 鹿毛
peds_29,Rare Sound 1983 芦毛
peds_30,Raise a Native
peds_31,Gold Digger
peds_32,Nureyev
peds_33,Pasadoble
peds_34,トライマイベスト
peds_35,Mill Princess
peds_36,Blakeney
peds_37,The Dancer
peds_38,Roberto
peds_39,Sharp Queen
peds_40,Gold Meridian
peds_41,Tri Argo
peds_42,Mr. Prospector
peds_43,Con Game
peds_44,Alzao
peds_45,Burghclere
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Alleged
peds_51,Bold Bikini
peds_52,Luciano
peds_53,Suleika
peds_54,Hail to Reason
peds_55,Bramalea
peds_56,Damascus
peds_57,Christmas Wind
peds_58,Northern Dancer
peds_59,Last of the Line
peds_60,Rarity
peds_61,Haunting
