,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202502010101,1,3,6,エスペシャリー,牝3,55.0,藤岡佑介,0:1:07.9,nan,4.7,3.0,442,[西] 四位洋文,1200,晴,芝,良,2025年6月14日,未勝利,2022103707,01093
202502010101,2,5,9,セゾンデフィーユ,牝3,55.0,横山武史,0:1:08.1,1.1/4,3.8,1.0,464,[東] 稲垣幸雄,1200,晴,芝,良,2025年6月14日,未勝利,2022105398,01170
202502010101,3,1,1,ペイシャアーサー,牡3,57.0,丹内祐次,0:1:08.3,1,4.4,2.0,456,[東] 本間忍,1200,晴,芝,良,2025年6月14日,未勝利,2022104221,01091
202502010101,4,6,12,アンビシャスヨシノ,牡3,56.0,松本大輝,0:1:08.7,2.1/2,8.3,5.0,468,[西] 吉田直弘,1200,晴,芝,良,2025年6月14日,未勝利,2022101903,01191
202502010101,5,8,15,アセンディア,牝3,55.0,ルメール,0:1:08.8,3/4,9.0,6.0,444,[東] 田中勝春,1200,晴,芝,良,2025年6月14日,未勝利,2022104133,05339
202502010101,6,4,7,ラブカマクフィー,牝3,55.0,中井裕二,0:1:08.8,アタマ,104.9,13.0,418,[東] 田島俊明,1200,晴,芝,良,2025年6月14日,未勝利,2022106599,01141
202502010101,7,2,3,シャルメイビス,牝3,52.0,川端海翼,0:1:08.8,クビ,81.5,12.0,424,[西] 森秀行,1200,晴,芝,良,2025年6月14日,未勝利,2022101740,01195
202502010101,8,8,16,ジョーブラック,牡3,57.0,浜中俊,0:1:08.9,1/2,25.7,7.0,496,[西] 清水久詞,1200,晴,芝,良,2025年6月14日,未勝利,2022100998,01115
202502010101,9,4,8,テーオーシュターデ,牝3,55.0,古川吉洋,0:1:09.0,1/2,34.6,9.0,428,[西] 宮徹,1200,晴,芝,良,2025年6月14日,未勝利,2022107056,01015
202502010101,10,7,14,ロッキンミー,牝3,55.0,斎藤新,0:1:09.1,1,30.6,8.0,446,[東] 杉浦宏昭,1200,晴,芝,良,2025年6月14日,未勝利,2022107050,01178
202502010101,11,7,13,プレインコート,牝3,55.0,北村友一,0:1:09.3,3/4,169.1,16.0,406,[西] 吉岡辰弥,1200,晴,芝,良,2025年6月14日,未勝利,2022104646,01102
202502010101,12,3,5,レーヌドフルール,牝3,55.0,小沢大仁,0:1:09.5,1.1/4,41.5,10.0,468,[西] 西園正都,1200,晴,芝,良,2025年6月14日,未勝利,2022101922,01185
202502010101,13,1,2,リリアンファスト,牝3,55.0,戸崎圭太,0:1:09.5,クビ,164.7,14.0,430,[東] 嘉藤貴行,1200,晴,芝,良,2025年6月14日,未勝利,2022105989,05386
202502010101,14,2,4,バックアップアゲン,牝3,55.0,原田和真,0:1:10.4,5,164.8,15.0,474,[東] 千葉直人,1200,晴,芝,良,2025年6月14日,未勝利,2022102689,01143
202502010101,15,5,10,サニーネイチャー,牝3,55.0,武豊,0:1:10.8,2.1/2,7.2,4.0,436,[西] 長谷川浩,1200,晴,芝,良,2025年6月14日,未勝利,2022105818,00666
202502010101,16,6,11,ミクニキャッチー,牝3,55.0,横山和生,0:1:15.3,大,41.8,11.0,508,[西] 昆貢,1200,晴,芝,良,2025年6月14日,未勝利,2022106820,01140
202502010102,1,7,11,アレーティア,牝3,55.0,浜中俊,0:1:45.6,nan,3.1,2.0,500,[西] 田中克典,1700,晴,ダート,良,2025年6月14日,未勝利,2022100101,01115
202502010102,2,7,12,デルマアポロニア,牝3,55.0,松岡正海,0:1:45.7,クビ,2.0,1.0,480,[東] 蛯名正義,1700,晴,ダート,良,2025年6月14日,未勝利,2022105457,01085
202502010102,3,3,4,シェリルファミーユ,牝3,55.0,武豊,0:1:46.1,2.1/2,10.6,4.0,436,[西] 橋口慎介,1700,晴,ダート,良,2025年6月14日,未勝利,2022100780,00666
202502010102,4,6,9,キタノホウセキ,牝3,55.0,川又賢治,0:1:46.1,クビ,13.9,5.0,462,[西] 畑端省吾,1700,晴,ダート,良,2025年6月14日,未勝利,2022107145,01166
202502010102,5,2,2,クインズマカロン,牝3,55.0,荻野琢真,0:1:46.7,3.1/2,145.3,11.0,404,[西] 小林真也,1700,晴,ダート,良,2025年6月14日,未勝利,2022103940,01112
202502010102,6,6,10,ダイヤノゴトク,牝3,51.0,小林美駒,0:1:47.1,2.1/2,10.2,3.0,448,[西] 小栗実,1700,晴,ダート,良,2025年6月14日,未勝利,2022105125,01206
202502010102,7,8,14,メイショウナナコ,牝3,55.0,丹内祐次,0:1:47.3,3/4,19.7,7.0,468,[西] 荒川義之,1700,晴,ダート,良,2025年6月14日,未勝利,2022103348,01091
202502010102,8,4,5,リュウゼツラン,牝3,55.0,横山武史,0:1:47.4,1/2,18.8,6.0,442,[東] 水野貴広,1700,晴,ダート,良,2025年6月14日,未勝利,2022106809,01170
202502010102,9,3,3,プリマドンナアスク,牝3,52.0,古川奈穂,0:1:47.5,3/4,97.5,9.0,466,[西] 前川恭子,1700,晴,ダート,良,2025年6月14日,未勝利,2022104435,01190
202502010102,10,8,13,デザフィアドール,牝3,52.0,川端海翼,0:1:47.6,クビ,27.3,8.0,428,[西] 宮本博,1700,晴,ダート,良,2025年6月14日,未勝利,2022105172,01195
202502010102,11,1,1,サマーブライド,牝3,52.0,舟山瑠泉,0:1:48.3,4,206.5,12.0,460,[東] 奥平雅士,1700,晴,ダート,良,2025年6月14日,未勝利,2022104090,01221
202502010102,12,5,8,メムエクラ,牝3,53.0,長浜鴻緒,0:1:48.3,クビ,211.2,13.0,482,[東] 高木登,1700,晴,ダート,良,2025年6月14日,未勝利,2022103026,01214
202502010102,13,4,6,ブギウギウギ,牝3,55.0,古川吉洋,0:1:48.8,3,125.2,10.0,488,[西] 昆貢,1700,晴,ダート,良,2025年6月14日,未勝利,2022103105,01015
202502010102,14,5,7,テイケイウル,牝3,55.0,小沢大仁,0:1:52.1,大,232.8,14.0,430,[西] 大橋勇樹,1700,晴,ダート,良,2025年6月14日,未勝利,2022106356,01185
202502010103,1,8,11,イチトゼロノアイダ,牝3,55.0,佐々木大,0:0:59.7,nan,3.4,1.0,484,[西] 石坂公一,1000,晴,ダート,良,2025年6月14日,未勝利,2022101607,01197
202502010103,2,8,12,コッコラーレ,牝3,51.0,小林美駒,0:1:00.0,1.3/4,5.9,3.0,478,[西] 鈴木孝志,1000,晴,ダート,良,2025年6月14日,未勝利,2022107411,01206
202502010103,3,1,1,メイショウハボマイ,牡3,56.0,松本大輝,0:1:00.0,クビ,23.6,9.0,464,[西] 本田優,1000,晴,ダート,良,2025年6月14日,未勝利,2022102841,01191
202502010103,4,7,10,ストラテージュ,牡3,54.0,古川奈穂,0:1:00.2,1.1/2,6.7,4.0,466,[西] 矢作芳人,1000,晴,ダート,良,2025年6月14日,未勝利,2022101536,01190
202502010103,5,5,5,ゴッドテソロ,牡3,57.0,古川吉洋,0:1:00.2,ハナ,7.8,5.0,472,[西] 角田晃一,1000,晴,ダート,良,2025年6月14日,未勝利,2022103198,01015
202502010103,6,3,3,ニッシンゲッポ,牝3,55.0,丹内祐次,0:1:00.5,1.1/2,20.5,8.0,428,[東] 金成貴史,1000,晴,ダート,良,2025年6月14日,未勝利,2022102356,01091
202502010103,7,6,7,ラピルスイメル,牝3,55.0,松若風馬,0:1:00.6,3/4,5.0,2.0,508,[西] 小崎憲,1000,晴,ダート,良,2025年6月14日,未勝利,2022106194,01154
202502010103,8,4,4,クロスレート,牡3,54.0,和田陽希,0:1:00.9,1.3/4,12.6,7.0,468,[西] 羽月友彦,1000,晴,ダート,良,2025年6月14日,未勝利,2022104019,01223
202502010103,9,5,6,ミヤマイルス,牝3,53.0,長浜鴻緒,0:1:00.9,アタマ,8.9,6.0,482,[東] 伊藤圭三,1000,晴,ダート,良,2025年6月14日,未勝利,2022103758,01214
202502010103,10,6,8,モズボーン,牝3,55.0,鮫島克駿,0:1:00.9,ハナ,86.6,11.0,426,[東] 加藤征弘,1000,晴,ダート,良,2025年6月14日,未勝利,2022101773,01157
202502010103,11,7,9,ロゴモコ,牝3,52.0,上里直汰,0:1:01.0,クビ,46.9,10.0,432,[東] 小野次郎,1000,晴,ダート,良,2025年6月14日,未勝利,2022106305,01217
