,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2021105971,ドレフォン Drefong(米),プントバンコ,Gio Ponti (米),Eltimaas,フジキセキ,ポリーズフリート Polly's Fleet(米),Tale of the Cat (米),Chipeta Springs,Ghostzapper,Najecam,サンデーサイレンス Sunday Silence(米),ミルレーサー Millracer(米),アフリート Afleet(加),Polly's Harde,Storm Cat,Yarn,Alydar,Salt Spring,Awesome Again,Baby Zip,Trempolino,Sue Warner,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Mr. Prospector,Polite Lady,Lyphard,Polly's Girl,Storm Bird,Terlingua,Mr. Prospector,Narrate,Raise a Native,Sweet Tooth,Salt Marsh,Jungle Mythologic,Deputy Minister,Primal Force,Relaunch,Thirty Zip,Sharpen Up,Trephine,Forli,Bitty Girl,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Raise a Native,Gold Digger,Venetian Jester,Friendly Ways,Northern Dancer,Goofed,Hard Tack,Polly Macaw
2022103228,マインドユアビスケッツ Mind Your Biscuits(米),テーオーフェアリー,Posse,Jazzmane,キングカメハメハ,チアズグレイス,Silver Deputy,Raska,Toccet,Alljazz,Kingmambo (米),マンファス Manfath(愛),サンデーサイレンス Sunday Silence(米),チアズフラワー,Deputy Minister,Silver Valley,Rahy,Borishka,Awesome Again,Cozzene's Angel,Stop the Music,Bounteous,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,Al Nasr,デュカイナ,Vice Regent,Mint Copy,Mr. Prospector,Seven Valleys,Blushing Groom,Glorious Song,Roberto,Queen Maud,Deputy Minister,Primal Force,Cozzene,Charming Pan,Hail to Reason,Bebopper,Master Derby,Mlle. Quille,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Caretta,Northfields,Dumka
2022102952,リアルスティール,アルボナンザ,ディープインパクト,ラヴズオンリーミー Loves Only Me(米),キングカメハメハ,エスジーボナンザ,サンデーサイレンス Sunday Silence(米),ウインドインハーヘア Wind in Her Hair(愛),Storm Cat (米),Monevassia,Kingmambo (米),マンファス Manfath(愛),ブライアンズタイム Brian's Time(米),エスジービアンカ,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Mr. Prospector,Miesque,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Roberto,Kelley's Day,マルゼンスキー,チェリーダッチェス,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Raise a Native,Gold Digger,Nureyev,Pasadoble,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Bramalea,Graustark,Golden Trail,Nijinsky,シル,マンオブビィジョン,ヒダカチェリー
2022104317,マインドユアビスケッツ Mind Your Biscuits(米),ホクラニミサ,Posse,Jazzmane,ディープインパクト,エルメスティアラ,Silver Deputy,Raska,Toccet,Alljazz,サンデーサイレンス Sunday Silence(米),ウインドインハーヘア Wind in Her Hair(愛),ブライアンズタイム Brian's Time(米),シンコウエルメス,Deputy Minister,Silver Valley,Rahy,Borishka,Awesome Again,Cozzene's Angel,Stop the Music,Bounteous,Halo,Wishing Well,Alzao,Burghclere,Roberto,Kelley's Day,Sadler's Wells,Doff the Derby,Vice Regent,Mint Copy,Mr. Prospector,Seven Valleys,Blushing Groom,Glorious Song,Roberto,Queen Maud,Deputy Minister,Primal Force,Cozzene,Charming Pan,Hail to Reason,Bebopper,Master Derby,Mlle. Quille,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Hail to Reason,Bramalea,Graustark,Golden Trail,Northern Dancer,Fairy Bridge,Master Derby,Margarethen
2022102035,ルヴァンスレーヴ,スマートダフネ,シンボリクリスエス,マエストラーレ,スマートファルコン,アドマイヤプルート,Kris S.,Tee Kay,ネオユニヴァース,オータムブリーズ,ゴールドアリュール,ケイシュウハーブ,アドマイヤコジーン,スプリングハーレー,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,ポインテッドパス,ティンバーカントリー,セプテンバーソング,サンデーサイレンス,ニキーヤ,ミシシッピアン,キョウエイシラユキ,Cozzene,アドマイヤマカディ,キンググローリアス,テンザンヒムカ,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,Kris,Silken Way,Woodman,Fall Aspen,リアルシャダイ,ダイナフェアリー,Halo,Wishing Well,Nureyev,Reluctant Guest,Vaguely Noble,Gazala,クラウンドプリンス,アリアーン,Caro,Ride the Trails,ノーザンテースト,ミセスマカディー,Naevus,Glorious Natalie,トウショウボーイ,シルバーホマレ
2022102292,レイデオロ,エンジェルドンキ,キングカメハメハ,ラドラーダ,ディープインパクト,トレノエンジェル,Kingmambo (米),マンファス Manfath(愛),シンボリクリスエス,レディブロンド,サンデーサイレンス Sunday Silence(米),ウインドインハーヘア Wind in Her Hair(愛),タイキシャトル,アスクコマンダー,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Kris S.,Tee Kay,Seeking the Gold,ウインドインハーヘア,Halo,Wishing Well,Alzao,Burghclere,Devil's Bag,ウェルシュマフィン,コマンダーインチーフ,エイブルカグラ,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Mr. Prospector,Con Game,Alzao,Burghclere,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Halo,Ballade,Caerleon,Muffitys,ダンシングブレーヴ,Slightly Dangerous,ジェイドロバリー,シャダイカグラ
2022105571,ミスターメロディ,レッドカーラ,Scat Daddy (米),Trusty Lady,マンハッタンカフェ,シンデレラロマンス,ヨハネスブルグ Johannesburg(米),Love Style,Deputy Minister,Klassy Kim,サンデーサイレンス Sunday Silence(米),サトルチェンジ Subtle Change(愛),Elusive Quality,シンディ Sindy(米),ヘネシー,Myth,Mr. Prospector,Likeable Style,Vice Regent,Mint Copy,Silent Screen,クールアライヴァル,Halo,Wishing Well,Law Society,Santa Luciana,Gone West,Touch of Greatness,A.P. Indy,Dance Design,Storm Cat,Island Kitty,オジジアン,Yarn,Raise a Native,Gold Digger,Nijinsky,Personable Lady,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Prince John,Prayer Bell,Relaunch,Irish Arrival,Hail to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika,Mr. Prospector,Secrettame,Hero's Honor,Ivory Wand,Seattle Slew,Weekend Surprise,Sadler's Wells,Elegance in Design
2022105568,レイデオロ,レッドアゲート,キングカメハメハ,ラドラーダ,マンハッタンカフェ,セカンドチャンス,Kingmambo (米),マンファス Manfath(愛),シンボリクリスエス,レディブロンド,サンデーサイレンス Sunday Silence(米),サトルチェンジ Subtle Change(愛),スキャン Scan(米),ベップイチバン,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Kris S.,Tee Kay,Seeking the Gold,ウインドインハーヘア,Halo,Wishing Well,Law Society,Santa Luciana,Mr. Prospector,Video,シーホーク,トーエイプリンセス,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Mr. Prospector,Con Game,Alzao,Burghclere,Hail to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika,Raise a Native,Gold Digger,Nijinsky,Foreseer,Herbager,Sea Nymph,ネヴァービート,モンテホープ
2022105025,レイデオロ,プルメリアスター,キングカメハメハ,ラドラーダ,ゼンノロブロイ,リリサイド Liliside(仏),Kingmambo (米),マンファス Manfath(愛),シンボリクリスエス,レディブロンド,サンデーサイレンス Sunday Silence(米),ローミンレイチェル Roamin Rachel(米),American Post,Miller's Lily,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Kris S.,Tee Kay,Seeking the Gold,ウインドインハーヘア,Halo,Wishing Well,マイニング,One Smart Lady,Bering,Wells Fargo,ミラーズメイト,Lymara,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Mr. Prospector,Con Game,Alzao,Burghclere,Hail to Reason,Cosmah,Understanding,Mountain Flower,Mr. Prospector,I Pass,Clever Trick,Pia's Lady,Arctic Tern,Beaune,Sadler's Wells,Cruising Height,Mill Reef,Primatie,Lyphard,Maradadi
2022102653,リアルスティール,マルモセーラ,ディープインパクト,ラヴズオンリーミー Loves Only Me(米),クロフネ,マイクロス,サンデーサイレンス Sunday Silence(米),ウインドインハーヘア Wind in Her Hair(愛),Storm Cat (米),Monevassia,フレンチデピュティ French Deputy(米),ブルーアヴェニュー Blue Avenue(米),タマモクロス,ビーサイレント,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Mr. Prospector,Miesque,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,シービークロス,グリーンシャトー,サンデーサイレンス,グローバルダイナ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Raise a Native,Gold Digger,Nureyev,Pasadoble,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,フォルティノ,ズイシヨウ,シャトーゲイ,クインビー,Halo,Wishing Well,ノーザンテースト,グローブターフ
