,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ドンアミティエ,牡5,57.0,丹内,今野,,栗東,2020106006,01091,アジアエクスプレス,クラシックス,キングヘイロー,-0.21832312545787158,2
1,1,2,エートラックス,牡4,58.0,内田博,宮本,,栗東,2021104876,00422,ニューイヤーズデイ,スパイラルステップ,シンボリクリスエス,-0.9899724582607633,8
2,2,3,スターペスカオリ,牝5,55.0,長岡,石橋,,栗東,2020105929,01142,シニスターミニスター,スターペスユウコ,バトルライン,-1.347533229065256,12
3,2,4,テーオーエルビス,牡3,56.0,鮫島駿,高柳大,,栗東,2022110081,01157,Volatile,Stopshoppingdebbie,Curlin,-0.9178864063627223,6
4,3,5,サンライズアムール,牡6,58.0,北村宏,小林,,栗東,2019101633,01043,モーリス,ジルコニア,タイキシャトル,-1.6699193736060558,15
5,3,6,ポッドベイダー,牡3,56.0,荻野極,上原佑,,美浦,2022105244,01160,リオンディーズ,ヴェルメンティーノ,ダイワメジャー,-1.21373829634871,10
6,4,7,キャンディドライヴ,牡6,57.0,落合玄,地方小野望,, ,2019110112,05578,Candy Ride,Supreme,エンパイアメーカー,-2.8514843159737424,16
7,4,8,クロジシジョー,牡6,57.0,戸崎圭,岡田,,栗東,2019102238,05386,フリオーソ,サイレンスラヴ,スペシャルウィーク,-0.16839897269419596,1
8,5,9,ガビーズシスター,牝4,56.0,吉田隼,森一,,美浦,2021104461,01095,アポロキングダム,アンジュデトワール,スペシャルウィーク,-1.3638609554568453,13
9,5,10,タガノミスト,牝4,55.0,佐々木,渡辺,,栗東,2021106554,01197,マジェスティックウォリアー,ミトス,エンパイアメーカー,-0.7833391972946975,4
10,6,11,チカッパ,牡4,58.0,横山典,中竹,,栗東,2021103868,00660,リアルスティール,ユニキャラ,Into Mischief,-0.8229252954473641,5
11,6,12,カルチャーデイ,牝4,55.0,柴田善,四位,,栗東,2021104556,00641,ファインニードル,ラルティスタ,マイネルラヴ,-1.5865787524091088,14
12,7,13,エコロアゼル,牡3,56.0,団野,森秀,,栗東,2022110107,01180,Shancelot,Cicada's Song,Twirling Candy,-0.9574324841295788,7
13,7,14,ジャスパーゴールド,セ7,57.0,菅原明,森秀,,栗東,2018110126,01179,Khozan,Gracious Lady,Put It Back,-0.6699911529873167,3
14,8,15,ニットウバジル,牡5,57.0,吉田豊,高橋文,,美浦,2020106782,00733,ダノンレジェンド,ベリーキュート,ザッツザプレンティ,-1.1536942499445029,9
15,8,16,ヤマニンチェルキ,牡3,58.0,岩田望,中村,,栗東,2022106610,01174,フォーウィールドライブ,ヤマニンプチガトー,ヤマニンセラフィム,-1.248243501401721,11
