,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ヴァランセカズマ,牡9,60.0,大江圭,蛯名利,,美浦,2017105822,01120,モンテロッソ,トシザマキ,デュランダル
1,2,2,アポロプラネット,牡7,60.0,難波,伊藤圭,,美浦,2019101264,01066,リオンディーズ,アポロノカンザシ,Ghostzapper
2,3,3,ルーンファクター,牡6,60.0,草野,的場,,美浦,2020106552,01113,インカンテーション,シルカズギフト,Cadeaux Genereux
3,4,4,フェンダー,牡5,60.0,小牧加,斉藤崇,,栗東,2021105753,01196,モーリス,プリンセスロック,スウィフトカレント
4,5,5,コスモアミマネラ,牡5,60.0,石神深,柄崎,,美浦,2021106768,01059,Study of Man,ヴァニティールールズ,New Approach
5,5,6,アルカンサス,牡7,57.0,▲土田,土田,,美浦,2019101023,01198,シルバーステート,ラサンバ,Orientate
6,6,7,アシャカブラン,牡5,60.0,小野寺,大根田,,栗東,2021105933,01123,エスポワールシチー,シルショコラティエ,カコイーシーズ
7,6,8,ラウダブル,牡5,57.0,▲井上,池江,,栗東,2021104752,01151,キズナ,クイーンカトリーン,Acclamation
8,7,9,カイコウ,セ5,60.0,五十嵐,田島,,美浦,2021102388,01069,スクリーンヒーロー,トウカイクルーク,エンパイアメーカー
9,7,10,オソルノ,セ6,60.0,伴,萩原,,美浦,2020102578,01149,シニスターミニスター,ヌチバナ,キングカメハメハ
10,8,11,コルデアニル,牝6,58.0,上野,金成,,美浦,2020103154,01087,モーリス,ブルザンインディゴ,フジキセキ
11,8,12,バルサムノート,牡6,60.0,森一,高野,,栗東,2020103276,01139,モーリス,エピセアローム,ダイワメジャー
