,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ベアアッコチャン,牝3,55.0,大野,杉浦,,美浦,2023101039,01096,フォーウィールドライブ,ゴールドオーク,エイシンフラッシュ,-0.09575410605743859,2
1,2,2,プルメリアリノ,牝3,52.0,▲舟山,小栗,,栗東,2023102213,01221,ミスチヴィアスアレックス,プルメリアミコ,ケイムホーム,0.4716116062456764,1
2,3,3,ノボリフジ,牡3,54.0,▲遠藤,伊藤伸,,美浦,2023106626,01218,ミッキーグローリー,アマレット,スウェプトオーヴァーボード,-0.71164079913904,3
3,4,4,マーガレットクレア,牝3,55.0,原,黒岩,,美浦,2023100722,01184,ミスチヴィアスアレックス,マーガレットスカイ,ディープブリランテ,-0.7252684935984046,4
4,4,5,フォトンゲイザー,牡3,57.0,木幡巧,牧,,美浦,2023106479,01162,アドマイヤマーズ,マイネノンノ,タイキシャトル,-1.9816260557059329,13
5,5,6,ビルバンテ,牡3,57.0,菊沢,蛯名正,,美浦,2023103552,01161,マインドユアビスケッツ,マイレリーフ,ルーラーシップ,-1.2556468153597238,11
6,5,7,コックピットサイト,牡3,57.0,荻野極,鹿戸,,美浦,2023103717,01160,ドレフォン,ベラポーサ,Tapit,-0.8804617459808115,6
7,6,8,コウジハラ,牝3,55.0,木幡初,西田,,美浦,2023101860,01153,マテラスカイ,ローザビアンカ,ワイルドラッシュ,-1.0844290597977508,9
8,6,9,アパタイトテソーロ,牝3,55.0,石橋脩,畠山,,美浦,2023106739,01077,スワーヴリチャード,クイーンズテソーロ,ヘニーヒューズ,-0.9512556007916626,8
9,7,10,スリーコーズ,牡3,54.0,▲佐藤,伊藤圭,,美浦,2023106208,01207,スズカコーズウェイ,スズカローラー,スズカマンボ,-0.9400010517535203,7
10,7,11,モズタンケ,牡3,57.0,丹内,栗田,,美浦,2023101516,01091,モズアスコット,ジープルメリア,ストリートセンス,-0.8559684531897568,5
11,8,12,フレンドモナコ,牡3,55.0,△長浜,加藤和,,美浦,2023106197,01214,ビーチパトロール,フレンドパリ,アグネスデジタル,-1.7771640558545092,12
12,8,13,ロードストラダーレ,牡3,57.0,小沢,本間,,美浦,2023104886,01185,ロードカナロア,ティズウインディ,Tiznow,-1.2059663989811324,10
