,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/11/18,佐賀,曇,6,C2ー24組,12,7,9,3.7,2,4,石川倭,56,ダ1400,不,1:31.9,0.6,9-9-7-4,0.0-39.9,39.0,479(0),カゲツ
1,2023/11/04,佐賀,晴,6,C2ー25組,11,7,9,3.4,2,4,山下裕貴,56,ダ1400,良,1:33.0,1.6,8-8-8-6,0.0-39.1,39.6,479(-11),ステラメテオール
2,2023/10/10,門別,曇,8,3歳以上C3ー2C4,11,6,6,101.6,10,8,木澤奨,53,ダ1700,稍,1:53.7,1.8,5-5-7-7,0.0-40.8,41.5,490(+2),ストレイトアウェイ
3,2023/09/28,門別,曇,8,3歳以上C3ー2C4,8,6,6,100.4,8,5,阿岸潤一,53,ダ1700,稍,1:53.5,1.8,5-5-5-6,0.0-41.8,42.8,488(+2),ブレイヴアロウ
4,2023/09/14,門別,雨,9,SPAT4ならお得に,9,2,2,47.7,8,6,亀井洋司,56,ダ1600,不,1:46.2,1.9,7-8-8-7,0.0-39.4,40.5,486(+4),ハッピータイム
5,2023/08/30,門別,曇,9,3歳以上C3ー2C4,9,1,1,104.5,8,5,亀井洋司,56,ダ1700,稍,1:53.3,2.3,8-8-8-6,0.0-40.9,41.4,482(+2),シーガーディアン
6,2023/08/16,門別,曇,9,ミルクランド北海道賞,11,3,3,33.6,9,6,亀井洋司,56,ダ1700,稍,1:54.5,0.6,7-7-10-9,0.0-42.3,41.4,480(-12),バブリーダッシュ
7,2023/08/01,門別,晴,7,3歳以上C4ー1,9,2,2,18.0,6,1,亀井洋司,56,ダ1700,良,1:53.4,-0.1,5-4-3-2,0.0-41.0,40.8,492(0),(ストライクリッチ)
8,2023/07/18,門別,晴,6,真歌公園賞,10,5,5,44.4,8,5,亀井洋司,56,ダ1700,稍,1:54.0,3.5,4-6-8-5,0.0-39.4,42.0,492(+6),カネミツエース
9,2023/07/05,門別,曇,6,3歳以上C4ー2,9,4,4,24.8,6,2,亀井洋司,56,ダ1700,良,1:53.2,0.6,6-7-7-3,0.0-42.1,41.3,486(-4),ファートム
10,2023/06/21,門別,晴,2,3歳以上C4ー2,12,1,1,88.4,7,4,亀井洋司,56,ダ1700,良,1:54.0,2.2,7-8-7-7,0.0-41.9,42.4,490(+4),セーヌウォーリア
11,2023/06/07,門別,曇,7,3歳以上C4ー2,12,6,8,15.9,6,9,亀井洋司,56,ダ1700,稍,1:54.5,2.6,4-5-7-8,0.0-39.7,42.0,486(+2),ヴェルティグレ
12,2023/05/11,門別,晴,7,3歳以上C4ー2,12,2,2,64.0,9,4,亀井洋司,56,ダ1600,良,1:46.0,1.0,7-7-8-6,0.0-40.2,40.8,484(-2),バリトンヴォイス
13,2023/04/27,門別,晴,8,3歳以上C4ー2,11,6,7,6.9,4,7,亀井洋司,56,ダ1200,稍,1:16.5,1.7,5-5,0.0-37.3,38.6,486(+2),イイデチャンプ
14,2022/08/04,門別,曇,6,3歳以上C4ー3,12,7,10,5.5,3,3,亀井洋司,56,ダ1200,重,1:14.7,0.3,4-2,0.0-38.5,38.3,484(+4),ラルカナタ
15,2022/07/21,門別,晴,9,3歳以上C4ー3,9,7,7,6.1,2,2,亀井洋司,56,ダ1200,重,1:14.9,1.5,5-5,0.0-38.0,38.7,480(-10),フクノアルズ
16,2022/07/06,門別,曇,2,3歳以上C4ー4,11,2,2,2.7,2,2,石川倭,56,ダ1200,稍,1:15.5,0.1,8-5,0.0-39.4,38.4,490(+4),アレピアード
17,2022/06/16,門別,曇,4,3歳以上C4ー4,11,7,9,49.6,9,4,亀井洋司,56,ダ1700,不,1:50.8,0.6,11-10-8-6,0.0-40.7,39.5,486(+6),フェリスヴィエント
18,2022/05/31,門別,雨,6,豊似湖賞,9,4,4,37.9,6,2,亀井洋司,56,ダ1200,重,1:15.2,0.1,8-6,0.0-39.2,38.0,480(-6),ブルーバレル
19,2022/05/17,門別,晴,7,3歳条件4組40万円,9,5,5,10.9,3,6,亀井洋司,56,ダ1200,良,1:17.5,2.4,8-6,0.0-38.6,39.6,486(+6),プレストバローズ
20,2022/05/03,門別,曇,6,3歳条件4ー2,8,2,2,25.7,7,3,亀井洋司,56,ダ1200,良,1:18.2,0.6,7-4,0.0-39.9,38.9,480(-6),リリーエクセロン
21,2022/04/27,門別,晴,8,3歳条件4ー2,8,6,6,72.4,7,6,亀井洋司,56,ダ1200,良,1:17.8,1.2,5-3,0.0-39.3,40.0,486(-2),カイトキング
22,2022/04/13,門別,曇,3,3歳条件4ー2,11,6,7,130.0,11,8,亀井洋司,56,ダ1700,良,1:55.0,2.3,10-10-7-8,0.0-40.7,42.1,488(0),クルードラゴン
23,2022/01/22,1中山7,晴,2,3歳未勝利,13,7,11,578.7,11,9,大野拓弥,56,ダ1800,良,2:00.1,3.3,10-10-11-11,36.9-41.6,41.2,488(-2),イーサンバーニング
24,2021/12/25,5中山7,晴,4,2歳未勝利,13,6,9,590.4,13,12,大野拓弥,55,ダ1800,稍,1:59.4,3.9,7-7-9-10,37.9-39.2,41.7,490(-2),ポイズンアロウ
25,2021/12/04,5中山1,晴,4,2歳未勝利,12,6,8,443.8,12,11,大野拓弥,55,ダ1800,稍,1:59.4,4.1,12-12-12-12,37.6-38.4,40.9,492(-4),ラフシー
26,2021/10/31,4東京8,曇,4,2歳新馬,15,7,14,144.7,14,15,大野拓弥,55,ダ1600,良,1:44.3,4.4,13-13,35.4-37.3,39.9,496(0),ペイシャエス
