,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/20,高知,晴,3,C3ー11,8,5,5,1.1,1.0,3,宮川実,56,ダ1400,稍,1:32.7,0.9,6-6-6-6,0.0-40.1,40.4,557(+4),シシノブレイブ
1,2024/07/07,高知,晴,8,C3ー16,11,6,6,3.0,2.0,1,井上瑛太,56,ダ1600,良,1:45.9,-0.3,1-1-1-1,0.0-41.1,41.1,553(-8),(ジャスパープリンス)
2,2024/06/23,高知,雨,7,C3ー14,10,8,10,,,取,宮川実,56,ダ1400,不,,,,0.0-39.2,,計不,アイスシェルフ
3,2024/01/10,高知,曇,1,皆の希望の星上村特別,9,4,4,1.1,1.0,1,吉原寛人,56,ダ1300,良,1:26.1,-2.0,1-1-1-1,0.0-40.0,40.0,561(+6),(ハクシンジャベリン)
4,2023/11/15,大井,曇,12,夏目坂賞競走,15,8,15,25.0,8.0,15,本橋孝太,56,ダ1200,良,1:17.2,2.7,4-4,35.4-39.1,41.5,555(+2),ルイス
5,2023/10/06,大井,晴,8,バーバラ賞,12,5,5,22.7,5.0,6,本橋孝太,56,ダ1200,重,1:13.2,1.0,10-7,34.5-37.7,37.3,553(+3),ロアリングルックス
6,2023/09/19,大井,晴,11,ヴァーゴ賞競走,11,1,1,4.8,3.0,10,和田譲治,56,ダ1200,稍,1:15.5,3.4,6-11,35.3-36.8,39.6,550(-2),ドレスドトゥーキル
7,2023/09/07,大井,曇,12,南部坂賞競走,14,6,9,2.6,1.0,10,森泰斗,56,ダ1400,重,1:27.9,2.3,8-6-7,36.0-37.9,39.6,552(+2),ナンセイラピッド
8,2022/09/11,4中山2,曇,12,3歳以上2勝クラス,15,3,5,,,取,戸崎圭太,57,ダ1200,良,,,,33.5-37.3,,計不,プレフェリータ
9,2021/09/20,4中山5,晴,12,3歳以上1勝クラス,13,8,12,2.1,1.0,1,戸崎圭太,57,ダ1200,良,1:11.1,-0.3,9-9,33.6-37.5,36.3,550(-2),(マクシミリアン)
10,2021/06/20,3東京6,曇,12,3歳以上1勝クラス,16,5,10,3.5,2.0,2,戸崎圭太,57,ダ1400,重,1:23.8,0.3,3-3,35.1-36.8,37.0,552(-8),アドマイヤルプス
11,2021/05/30,2東京12,晴,6,4歳以上1勝クラス,16,6,11,8.8,4.0,3,横山典弘,57,ダ1400,良,1:24.9,0.4,15-14,35.5-36.8,35.3,560(+14),ケイアイメープル
12,2020/10/25,4東京6,晴,7,3歳以上1勝クラス,12,7,10,5.5,2.0,1,横山典弘,55,ダ1400,良,1:25.9,-0.1,5-5,36.8-36.5,36.1,546(-4),(ミツカネプリンス)
13,2020/10/18,4新潟4,晴,9,3歳以上1勝クラス,13,8,12,3.9,2.0,13,津村明秀,55,ダ1800,良,1:56.6,3.4,7-8-3-7,36.1-38.3,41.5,550(-2),コスモセイリュウ
14,2020/01/11,1中山3,曇,4,3歳新馬,16,8,15,2.4,1.0,2,丸山元気,56,ダ1800,良,1:56.3,0.0,3-3-2-1,37.3-39.9,39.9,552(0),フリーフロー
