,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/06,1函館9,曇,3,3歳未勝利,16,8,16,192.9,15,11,小林勝太,52,芝2000,良,2:03.1,0.9,14-14-11-8,35.0-36.4,36.6,374(+2),ルージュピルエット
1,2024/06/08,1函館1,晴,4,3歳未勝利,16,6,12,297.1,14,12,小林勝太,52,芝1800,良,1:49.7,1.0,16-16-15-15,35.5-35.5,34.7,372(+2),マルカオペラ
2,2024/01/20,1京都6,曇,6,3歳未勝利,10,6,6,88.8,10,10,今村聖奈,52,芝2200,重,2:21.9,2.9,2-2-2-2,37.4-36.0,38.9,370(-2),ピエナオルフェ
3,2023/12/16,4中京5,曇,4,2歳未勝利,14,5,9,164.5,11,9,藤田菜七,53,芝2000,重,2:02.4,1.7,12-12-11-12,36.1-35.8,36.1,372(0),ソウルアンドジャズ
4,2023/12/03,5阪神2,晴,5,2歳新馬,9,7,7,93.0,9,8,河原田菜,51,芝1600,良,1:39.3,1.1,9-9,38.2-34.5,34.3,372(0),サトノエンパイア
