,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/11/03,門別,晴,7,全道15か所!Aib,9,8,10,31.5,6,9,小野楓馬,54,ダ1800,稍,2:07.4,9.0,4-3-3-9,0.0-39.9,48.6,514(-6),ケイアイインダラ
1,2023/10/18,門別,晴,8,3歳以上C2ー2C3,11,7,8,22.5,8,11,落合玄太,54,ダ1700,良,1:58.9,7.0,1-1-1-7,0.0-41.2,48.2,520(-4),グレートフリオーソ
2,2023/10/05,門別,曇,8,3歳以上C2ー2C3,9,1,1,6.1,4,8,落合玄太,54,ダ1700,稍,1:59.1,7.8,1-1-1-7,0.0-40.7,48.5,524(+18),グッデーサイレンス
3,2023/07/19,門別,曇,11,YJSトライアルラウ,12,2,2,5.6,3,1,小林勝太,54,ダ1700,稍,1:52.1,-0.4,1-1-1-1,0.0-40.7,40.7,506(+13),(ファートム)
4,2023/06/20,船橋,晴,7,馬い!キヤッセ羽生新,12,3,3,2.2,1,8,笹川翼,54,ダ1500,良,1:39.7,1.4,4-5-5-4,32.2-40.6,41.3,493(-2),キングスウェイ
5,2023/05/29,浦和,曇,5,C2三　四,12,5,5,7.5,2,2,笹川翼,54,ダ1400,稍,1:29.1,0.5,1-1-1-2,37.2-38.4,38.9,495(+16),リジン
6,2022/12/17,船橋,曇,7,馬い!淡路の玉ねぎた,10,8,9,3.2,2,6,張田昂,54,ダ1500,良,1:40.8,1.6,3-3-4-3,32.8-40.6,42.2,479(-6),カルネ
7,2022/12/02,船橋,曇,7,C2八　九,12,5,6,2.4,1,1,張田昂,54,ダ1500,良,1:40.3,-0.3,1-1-1-1,33.4-40.8,40.8,485(+1),(ゴールドビンテージ)
8,2022/10/27,船橋,曇,5,谷津干潟特別,12,8,11,6.8,4,2,張田昂,54,ダ1500,良,1:39.3,0.8,7-7-6-5,31.8-40.9,40.0,484(-2),タイセイクレセント
9,2022/07/24,3小倉8,曇,2,3歳未勝利,16,2,4,14.2,5,13,坂井瑠星,54,ダ1700,良,1:50.7,4.4,9-9-9-11,30.2-38.4,42.0,486(+4),リゴレット
10,2022/04/09,2阪神5,晴,1,3歳未勝利,16,5,9,3.6,2,9,岩田望来,54,ダ1800,良,1:57.9,3.0,9-9-10-9,38.0-37.2,39.3,482(-8),クレスコジョケツ
11,2022/03/19,2中京3,晴,1,3歳未勝利,12,3,3,15.6,3,3,坂井瑠星,54,ダ1800,不,1:54.2,0.9,5-6-6-6,37.7-37.6,37.9,490(0),ローラスノビリス
