,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/28,1札幌4,曇,6,3歳以上1勝クラス,14,6,9,63.5,10.0,9,小林勝太,54,ダ1700,不,1:45.9,1.8,14-14-14-14,29.6-36.7,37.3,478(-2),ミッキーラッキー
1,2024/07/14,1函館12,晴,7,3歳以上1勝クラス,14,7,11,60.5,10.0,12,菱田裕二,56,ダ1700,良,1:48.7,4.0,6-8-10-12,29.3-37.6,40.5,480(+6),エリカサファイア
2,2024/06/22,1函館5,曇,10,渡島特別(2勝クラス),9,4,4,63.3,9.0,4,菱田裕二,56,ダ1700,良,1:46.3,0.9,2-2-1-1,30.5-37.6,38.5,474(-4),レディーシス
3,2024/06/16,1函館4,曇,7,3歳以上1勝クラス,14,5,7,47.5,10.0,10,高杉吏麒,53,ダ1700,良,1:46.9,1.6,7-8-14-12,29.7-37.6,38.0,478(+10),ミッキーマカロン
4,2024/02/24,1阪神1,晴,6,4歳以上1勝クラス,11,8,10,19.5,6.0,8,田口貫太,54,ダ1800,稍,1:55.7,3.0,4-5-5-6,36.7-37.9,40.2,468(0),プレッジ
5,2024/01/27,2京都1,晴,7,4歳以上1勝クラス,9,4,4,17.7,4.0,3,田口貫太,54,ダ1800,良,1:55.9,1.7,6-6-6-5,37.1-38.3,39.5,468(+2),ハイランドリンクス
6,2024/01/08,1京都3,晴,7,4歳以上1勝クラス,15,5,8,14.7,5.0,12,田口貫太,53,ダ1800,良,1:56.0,2.1,4-6-8-8,35.4-39.5,40.6,466(+8),ノッテルーナ
7,2023/08/20,3小倉4,晴,12,3歳以上1勝クラス,15,6,11,,,除,田口貫太,50,ダ1700,良,,,,28.7-38.1,,460(+2),ドゥラリアル
8,2023/07/23,3中京8,晴,6,3歳以上1勝クラス,14,1,1,33.0,7.0,5,田口貫太,50,ダ1800,良,1:55.1,3.3,14-14-10-9,36.9-37.7,39.8,458(+6),サーマルソアリング
9,2023/06/25,3阪神8,曇,1,3歳未勝利,15,8,15,9.1,4.0,1,田口貫太,51,ダ1800,良,1:55.2,-0.5,5-6-4-4,37.5-39.3,38.7,452(0),(ワンダフルグレイス)
10,2023/06/10,3阪神3,晴,2,3歳未勝利,16,2,4,29.7,7.0,5,田口貫太,51,ダ1800,稍,1:54.3,1.1,3-3-6-6,37.3-37.9,38.3,452(+2),ミヤジレガリア
11,2023/04/16,2阪神8,晴,1,3歳未勝利,15,3,4,144.0,14.0,5,田口貫太,51,ダ1800,不,1:54.6,1.3,1-1-2-3,36.9-37.1,38.2,450(+2),ライジングラパス
12,2023/03/25,2阪神1,曇,3,3歳未勝利,16,6,12,335.7,13.0,12,田口貫太,51,ダ1400,重,1:26.8,2.0,10-11,35.1-37.6,38.4,448(+4),ドンアチェカ
13,2023/03/11,1阪神9,晴,1,3歳未勝利,16,5,9,50.3,8.0,13,田口貫太,51,ダ1200,良,1:16.5,2.7,11-11,36.0-37.8,39.0,444(-12),ヨウシタンレイ
14,2022/12/18,6阪神6,晴,6,2歳新馬,13,4,5,5.3,3.0,8,国分優作,54,ダ1200,良,1:15.7,2.5,4-4,35.7-37.5,39.6,456(0),ユイノマチブセ
