,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/02/03,姫路,晴,5,C3,10,8,9,21.6,7,8,松木大地,54,ダ1500,良,1:43.2,1.3,6-7-10-10,0.0-39.7,39.8,481(+1),レイルチル
1,2021/01/15,姫路,晴,5,C3,10,5,5,118.6,9,9,笹田知宏,54,ダ1500,良,1:41.6,2.2,8-8-8-8,0.0-37.9,38.9,480(-13),リウォード
2,2020/12/29,園田,晴,8,C2二,10,2,2,53.4,9,8,笹田知宏,54,ダ1400,稍,1:35.9,1.6,9-9-10-8,0.0-41.7,42.2,493(-7),アエノライアン
3,2020/12/16,園田,晴,6,C2一,9,5,5,53.8,5,7,笹田知宏,54,ダ1400,良,1:34.3,2.5,6-6-5-5,0.0-39.6,40.8,500(+6),エイシンアンヴァル
4,2020/11/03,門別,晴,6,風かおる優駿桜国新ひ,11,4,4,111.9,10,6,赤岡修次,54,ダ1700,不,1:51.1,1.9,6-6-7-8,0.0-39.8,41.1,494(0),マヤノシャムロック
5,2020/10/20,門別,晴,10,北のフルーツ王国よい,12,5,6,96.0,11,9,落合玄太,54,ダ1700,稍,1:53.0,1.7,5-4-3-6,0.0-39.8,41.1,494(+2),セイショウパイロ
6,2020/10/01,門別,曇,9,ホントのイケメン牧全,10,6,7,124.3,7,7,小野楓馬,54,ダ1700,稍,1:53.0,2.4,7-7-7-7,0.0-40.8,41.9,492(-2),ミフリマ
7,2020/09/17,門別,曇,7,クレオメ特別,8,4,4,69.3,6,4,小野楓馬,53,ダ1600,重,1:45.8,2.5,6-6-4-5,0.0-41.8,42.6,494(-4),インゴニャーマ
8,2020/09/02,門別,曇,9,カサブランカ特別,6,3,3,34.0,5,5,小野楓馬,53,ダ1500,稍,1:39.2,3.3,4-4-5-5,0.0-40.8,42.3,498(+4),メリディアン
9,2020/08/18,門別,曇,9,ノイバラ特別,8,1,1,33.4,5,5,小野楓馬,53,ダ1700,稍,1:53.4,1.5,4-4-5-5,0.0-38.6,39.5,494(+4),ジョブックコラード
