,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/03/18,1阪神11,曇,12,4歳以上2勝クラス,16,1,2,118.9,15,14,川島信二,58,ダ1400,不,1:25.6,2.2,6-11,35.1-36.5,38.1,482(-4),スウィートプロミス
1,2023/03/05,1阪神8,晴,12,4歳以上2勝クラス,16,3,5,123.9,14,12,和田竜二,58,ダ1400,良,1:26.5,1.6,7-7,35.2-37.3,38.3,486(-12),スプラウティング
2,2023/01/05,1中山1,晴,12,4歳以上2勝クラス,14,4,6,225.2,13,14,大野拓弥,58,芝2000,良,2:03.4,3.2,2-2-4-10,36.3-35.1,38.0,498(-4),ローシャムパーク
3,2022/12/25,5中山8,晴,8,冬至特別(2勝クラス),16,8,16,28.2,8,12,大野拓弥,57,ダ1200,稍,1:12.4,1.4,4-4,33.2-37.8,38.9,502(+6),マイステージ
4,2022/10/15,4東京4,晴,12,3歳以上2勝クラス,16,5,10,54.8,13,15,大野拓弥,57,ダ1300,稍,1:19.3,2.1,6-8,28.6-36.7,38.0,496(+1),レーヴリアン
5,2022/05/24,大井,晴,11,’22メトロポリタン,14,1,1,6.4,4,7,町田直希,57,ダ1200,稍,1:12.5,1.2,11-9,34.4-36.9,37.0,495(+5),ギシギシ
6,2022/04/17,3中山8,晴,6,4歳以上1勝クラス,16,8,16,2.8,1,1,大野拓弥,57,ダ1200,稍,1:11.7,-0.3,1-1,34.9-36.8,36.8,490(-4),(アルマセクメト)
7,2022/03/21,2中山8,晴,8,4歳以上1勝クラス,16,3,5,4.5,2,3,大野拓弥,57,ダ1200,稍,1:11.9,0.6,2-2,34.2-37.1,37.5,494(-6),ベストマジック
8,2021/10/02,4中山8,晴,8,3歳以上1勝クラス,15,7,12,2.7,1,4,大野拓弥,55,ダ1200,稍,1:11.9,0.4,3-3,34.9-36.6,36.8,500(+2),ニシノライトニング
9,2021/09/19,4中山4,晴,6,3歳以上1勝クラス,15,5,9,6.6,4,3,大野拓弥,55,ダ1200,重,1:10.7,0.1,1-1,32.9-37.7,37.8,498(0),エバーサニーハート
10,2021/08/08,3新潟6,曇,7,3歳以上1勝クラス,15,4,7,22.6,10,6,石橋脩,54,ダ1200,良,1:12.7,1.3,4-4,34.4-37.0,37.8,498(-10),シャマル
11,2021/05/08,2東京5,晴,6,3歳1勝クラス,15,6,10,42.0,7,13,大野拓弥,56,芝1400,良,1:22.9,1.9,5-4,35.0-34.1,35.7,508(+14),アビッグチア
12,2021/02/27,2中山1,晴,3,3歳未勝利,16,6,11,2.6,2,1,大野拓弥,56,ダ1200,良,1:12.9,0.0,3-2,34.1-38.8,38.5,494(+4),(グランディス)
13,2021/02/14,1東京6,晴,2,3歳新馬,15,2,3,6.3,4,2,坂井瑠星,56,ダ1400,良,1:27.4,0.0,2-2,36.6-38.0,37.9,490(0),エスジープリンセス
