,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2022/03/20,1阪神12,晴,2,3歳未勝利,16,6,11,299.0,15,12,富田暁,56,ダ1400,重,1:28.3,3.4,2-2,34.9-38.0,41.3,476(0),ナリタグローリアス
1,2022/03/05,1阪神7,晴,2,3歳未勝利,16,4,7,67.8,9,11,和田翼,56,ダ1200,良,1:15.2,1.9,10-11,35.0-38.3,39.0,476(+2),メイショウトール
2,2021/11/14,5阪神4,晴,4,2歳未勝利,12,5,5,258.9,11,12,太宰啓介,55,芝1800,良,1:53.2,4.1,4-2,36.6-34.7,38.7,474(+4),グッドフェイス
3,2021/10/31,4阪神8,曇,4,2歳新馬,16,5,10,187.8,14,10,太宰啓介,55,芝1400,良,1:23.7,0.8,11-11,35.1-35.7,35.4,470(0),セイウンハーデス
