,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/06/24,園田,晴,1,C3三,10,6,6,1.4,1,9,佐々木世,50,ダ1400,良,1:35.0,1.4,1-1-1-1,0.0-42.4,43.8,455(+10),ネイチャークラウド
1,2021/05/03,園田,晴,7,C3一,10,8,10,7.4,4,6,松本幸祐,54,ダ1400,稍,1:35.3,0.6,1-1-1-1,0.0-40.5,41.1,445(-3),エメラルドブルー
2,2020/12/18,園田,晴,12,C2,12,7,9,62.4,10,4,松本幸祐,54,ダ1230,良,1:22.7,1.1,5-6-6-5,0.0-39.4,39.9,448(-3),マニールリッヒ
3,2020/12/03,園田,晴,5,C2三,10,3,3,5.0,2,3,松本幸祐,54,ダ1400,良,1:35.6,0.3,5-5-7-7,0.0-39.2,38.8,451(-1),マナブフェイス
4,2020/11/17,園田,晴,6,C2三,10,8,9,5.7,2,5,松本幸祐,54,ダ1400,良,1:33.8,0.5,2-2-2-2,0.0-40.1,40.5,452(-2),クリノイナヅマオー
5,2020/09/09,園田,雨,7,C2三,10,1,1,4.1,3,4,杉浦健太,54,ダ1400,稍,1:34.7,1.3,1-1-1-1,0.0-41.2,42.5,454(-1),ヘヴンリージェガー
6,2020/08/19,園田,晴,5,C3,10,6,6,4.7,3,1,杉浦健太,54,ダ1700,良,1:56.9,-0.2,1-1-1-1,0.0-40.7,40.7,455(+8),(レッドグラティアス)
7,2020/06/24,園田,晴,7,C2一,9,4,4,3.0,1,6,杉浦健太,54,ダ1400,良,1:34.5,1.9,2-2-3-4,0.0-39.8,41.5,447(+2),メイショウガッツ
8,2020/06/03,園田,曇,6,C2一,10,7,8,3.9,2,2,杉浦健太,54,ダ1400,良,1:32.0,0.2,5-4-5-3,0.0-40.5,40.4,445(0),ローザーブルー
9,2020/05/14,園田,晴,12,ライラック賞C2,12,8,12,3.7,1,8,杉浦健太,55,ダ1230,良,1:21.3,1.7,5-6-6-5,0.0-39.5,40.6,445(-3),ヨドノベスト
10,2020/01/09,園田,曇,6,C2一,10,3,3,30.1,7,1,松木大地,55,ダ1400,不,1:28.9,0.0,2-2-1-1,0.0-39.2,39.0,448(+1),(デライーガー)
11,2019/11/26,園田,晴,7,C2二,10,7,7,4.1,2,1,杉浦健太,54,ダ1400,良,1:31.7,-0.2,2-2-2-1,0.0-39.7,39.6,447(-9),(メイショウユウバエ)
12,2019/11/14,園田,晴,5,C2二,10,8,10,7.1,4,5,杉浦健太,54,ダ1400,良,1:32.3,2.2,4-4-2-2,0.0-39.5,40.6,456(-8),ドゥシャンパーニュ
13,2019/10/31,園田,晴,5,C2三,10,5,5,18.9,4,4,杉浦健太,54,ダ1400,稍,1:31.9,2.1,5-5-4-4,0.0-39.4,40.8,464(+26),ドーバーテソーロ
14,2019/08/10,2小倉5,晴,6,3歳未勝利,16,7,13,33.4,11,11,岩田望来,51,芝1800,良,1:48.7,1.7,5-4-3-4,35.4-35.4,36.9,438(-2),マルシュロレーヌ
15,2019/06/30,3中京2,小雨,2,3歳未勝利,16,6,11,16.3,7,11,岩田望来,51,芝1600,重,1:36.9,0.9,16-16-16,36.1-35.0,34.6,440(-8),レティキュール
16,2019/06/01,3阪神1,晴,4,3歳未勝利,18,5,10,141.2,13,4,岩田望来,51,芝1600,良,1:36.3,0.2,2-1,35.9-35.1,35.3,448(+6),プリモプレミオ
17,2019/02/24,1阪神2,晴,1,3歳未勝利,15,2,3,20.9,6,14,武豊,54,ダ1800,良,1:59.9,5.1,9-9-10-13,38.5-37.7,41.8,442(0),テオレーマ
