,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/11/10,6京都4,曇,12,ドンカスターC(2勝クラス),14,4,5,7.5,3,2,坂井瑠星,58,芝1400,良,1:20.9,0.2,5-6,35.0-34.4,34.1,480(+6),フルメタルボディー
1,2024/11/03,5東京2,晴,12,3歳以上2勝クラス,13,7,11,10.9,4,9,古川奈穂,54,芝1400,良,1:21.6,0.6,9-9,35.2-34.3,33.4,474(-2),ハクサンバード
2,2024/08/18,2中京4,晴,10,中京スポニチ賞(2勝クラス),16,7,14,6.0,3,9,幸英明,58,芝1400,良,1:20.7,0.6,5-4,34.8-34.0,34.1,476(-2),アクートゥス
3,2024/08/10,3新潟1,晴,10,新発田城特別(2勝クラス),14,6,10,8.1,3,4,北村友一,57,芝1400,良,1:20.4,0.1,5-5,33.5-35.0,34.5,478(-2),サクセスアイ
4,2024/04/27,3京都3,曇,10,御池特別(2勝クラス),13,4,4,4.8,3,2,坂井瑠星,58,芝1400,良,1:21.4,0.1,7-6,34.8-34.9,34.3,480(+8),プリモカリーナ
5,2024/04/14,2阪神8,晴,9,三木特別(2勝クラス),17,8,16,7.5,4,3,池添謙一,56,芝1400,良,1:19.7,0.2,10-9,33.6-34.7,34.0,472(-8),スカイロケット
6,2024/04/07,2阪神6,晴,7,4歳以上2勝クラス,9,1,1,13.4,6,7,坂井瑠星,58,芝1600,良,1:33.8,0.3,5-5,35.6-33.6,33.4,480(-4),テンノメッセージ
7,2024/03/23,2阪神1,曇,10,丹波特別(2勝クラス),7,8,8,5.3,3,3,ムルザバ,56,芝1600,重,1:36.0,0.4,5-5,36.8-34.5,34.2,484(+14),ヒルノショパン
8,2024/01/08,1中山3,晴,12,4歳以上2勝クラス,15,7,12,13.8,8,7,菅原明良,57,芝1600,良,1:33.3,0.8,7-10-10,33.6-36.1,34.7,470(-2),スプレモフレイバー
9,2023/12/24,5阪神8,晴,12,ジングルベル賞(2勝クラス),15,1,1,14.5,7,4,藤岡康太,57,芝1400,良,1:20.9,0.6,14-14,33.9-34.8,34.2,472(-4),アサカラキング
10,2023/12/03,5阪神2,晴,12,3歳以上2勝クラス,15,2,3,9.4,6,3,斎藤新,57,芝1400,良,1:20.6,0.6,9-9,33.5-35.3,35.0,476(-4),トラベログ
11,2023/11/18,3京都5,晴,8,3歳以上2勝クラス,13,6,9,49.3,9,8,団野大成,57,芝1600,稍,1:35.6,0.8,7-6,36.2-33.8,34.1,480(0),ニホンピロキーフ
12,2023/11/04,3京都1,曇,12,3歳以上2勝クラス,10,5,5,9.8,5,4,岩田康誠,57,芝1600,良,1:34.0,0.8,6-6,35.3-33.6,33.9,480(+4),セオ
13,2023/08/12,3新潟1,晴,10,新発田城特別(2勝クラス),18,4,8,3.8,2,14,戸崎圭太,55,芝1400,良,1:21.3,0.8,7-8,34.3-34.6,34.9,476(+4),インテグリフォリア
14,2023/07/16,3中京6,晴,10,中京スポニチ賞(2勝クラス),14,8,14,3.3,1,3,坂井瑠星,55,芝1400,良,1:20.5,0.1,2-2,34.7-34.3,34.3,472(-2),サトノペルセウス
15,2023/05/27,1京都11,晴,11,葵S(GIII),18,6,11,42.0,6,7,岩田康誠,56,芝1200,良,1:07.6,0.5,11-11,33.9-33.2,32.6,474(0),モズメイメイ
16,2023/05/07,1京都6,雨,10,橘S(L),9,1,1,11.0,7,2,藤岡康太,56,芝1400,不,1:23.9,0.8,4-5,35.1-36.0,36.3,474(+2),ルガル
17,2023/03/18,2中京3,曇,11,中スポ賞ファルコンS(GIII),14,1,1,7.3,4,6,坂井瑠星,56,芝1400,重,1:23.4,0.8,7-7,34.8-35.9,36.0,472(+2),タマモブラックタイ
18,2022/12/24,6阪神7,晴,9,万両賞(1勝クラス),9,8,9,13.6,5,1,坂井瑠星,55,芝1400,良,1:21.7,0.0,2-2,35.3-34.6,34.5,470(-2),(ペースセッティング)
19,2022/12/10,6阪神3,晴,7,2歳未勝利,16,5,10,2.3,1,1,鮫島克駿,55,芝1200,良,1:09.1,-0.4,3-3,34.0-35.1,34.5,472(-2),(サイレンスタイム)
20,2022/11/27,5阪神8,晴,2,2歳未勝利,16,8,16,4.1,2,3,坂井瑠星,55,芝1200,良,1:09.5,0.7,6-8,34.0-34.8,34.6,474(+2),ソフィアエール
21,2022/08/21,2札幌4,晴,1,2歳未勝利,14,7,11,2.4,1,7,坂井瑠星,54,芝1500,稍,1:32.8,1.2,1-3-5,29.3-37.9,38.7,472(-8),ドンデンガエシ
22,2022/08/06,1札幌5,晴,5,2歳新馬,8,2,2,1.7,1,3,吉田隼人,54,芝1200,良,1:10.6,0.5,3-3,36.1-34.0,34.3,480(0),メイクアスナッチ
