,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2020/11/03,門別,晴,5,馳星周直木賞受賞記念,12,5,5,3.9,2,2,五十嵐冬,54,ダ1200,不,1:14.6,0.6,5-3,0.0-38.1,37.7,460(-4),ネオアンビシャス
1,2020/10/29,門別,晴,7,3歳以上C4ー3,8,6,6,2.8,2,3,五十嵐冬,54,ダ1200,不,1:13.8,0.6,3-3,0.0-36.7,36.9,464(0),スズオリーブ
2,2020/10/15,門別,曇,6,3歳以上C4ー3,11,3,3,3.3,3,7,五十嵐冬,54,ダ1200,重,1:16.2,1.8,1-1,0.0-38.0,39.8,464(+2),シーブックカフェ
3,2020/09/30,門別,晴,5,3歳以上C4ー6,12,5,6,2.9,1,1,五十嵐冬,54,ダ1000,良,1:02.1,-0.1,2-2,0.0-37.8,37.7,462(+18),(アシュモレアン)
4,2020/08/15,3新潟1,曇,3,3歳未勝利,18,5,10,158.2,13,10,小林脩斗,51,芝2000,良,2:05.2,1.6,5-5-7-6,36.9-36.6,37.5,444(-2),ローズパルファン
5,2020/05/24,2東京10,晴,3,3歳未勝利,15,2,2,140.5,9,11,小林脩斗,51,芝2000,良,2:01.1,1.3,2-2-3,35.5-35.4,36.4,446(-6),アイブランコ
6,2020/05/16,2東京7,雨,1,3歳未勝利,16,1,2,31.8,7,13,野中悠太,54,ダ1400,良,1:29.2,3.0,10-11,35.2-38.5,40.5,452(+8),ナーラック
7,2020/03/29,1中京8,曇,3,3歳未勝利,18,5,9,33.8,8,15,田辺裕信,54,芝1400,不,1:26.0,2.3,3-3,35.0-36.5,38.4,444(+4),ソルトキャピタル
8,2019/07/13,2函館3,晴,1,2歳未勝利,10,8,9,43.0,7,8,勝浦正樹,54,芝1200,良,1:11.1,1.0,7-8,34.3-35.8,35.9,440(0),ニルカンタテソーロ
9,2019/06/29,1函館5,曇,5,2歳新馬,9,2,2,7.0,5,7,勝浦正樹,54,芝1200,良,1:10.7,0.5,3-3,34.1-36.1,36.0,440(0),スマートカーリー
