race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202504040309,2025/10/25,新潟,曇,09,稲光特別,1勝クラス,18,1,2,245.5,18.0,16,杉原誠人,58.0,芝,1000,良,0:0:56.4,1.4,12,32.9,504,スペルキャスター
202504030207,2025/08/24,新潟,晴,07,3歳以上1勝クラス,1勝クラス,18,8,16,15.0,5.0,11,谷原柚希,54.0,芝,1000,良,0:0:55.9,1.0,3,33.8,514,ラトルシェ
202504020711,2025/08/16,新潟,晴,11,3歳以上1勝クラス,1勝クラス,18,1,2,168.8,15.0,7,上里直汰,55.0,芝,1000,良,0:0:55.6,0.6,8,32.9,516,イスラコラソン
202503010612,2025/04/27,福島,晴,12,4歳以上1勝クラス,1勝クラス,12,6,8,185.1,12.0,10,石田拓郎,55.0,ダート,1150,良,0:1:10.8,2.0,4-3,38.5,518,グランファラオ
202507020512,2025/03/29,中京,晴,12,4歳以上1勝クラス,1勝クラス,16,7,13,118.4,12.0,11,柴田裕一,55.0,ダート,1200,稍重,0:1:13.8,1.6,5-4,38.8,520,ダズリングダンス
202510010903,2025/02/22,小倉,晴,03,4歳以上1勝クラス,1勝クラス,13,6,9,38.7,8.0,7,石田拓郎,55.0,ダート,1000,良,0:1:00.3,0.8,10-9,35.8,526,パレフォーコン
202403030306,2024/11/09,福島,晴,6,3歳以上1勝クラス,1勝クラス,16,3,5,38.4,11,11,柴田裕一,55,芝,1200,良,1:10.8,1.0,1-1,37.0,504,ジオパーククラウン
202404040608,2024/10/20,新潟,晴,8,3歳以上1勝クラス,1勝クラス,18,1,1,235.0,18,8,柴田裕一,55,芝,1000,良,0:56.5,0.8,3,33.9,502,タガノスペルノヴァ
202404040112,2024/10/05,新潟,晴,12,3歳以上1勝クラス,1勝クラス,18,3,5,213.0,16,14,川端海翼,55,芝,1000,良,0:56.5,1.4,3,34.2,502,イコサン
202404030812,2024/09/01,新潟,晴,12,雷光特別,1勝クラス,17,5,9,73.1,13,15,原優介,58,芝,1000,良,0:56.1,1.6,12,32.9,498,クールベイビー
202402010612,2024/06/23,函館,晴,12,3歳以上1勝クラス,1勝クラス,9,3,3,27.1,6,7,小林勝太,55,芝,1200,良,1:09.8,1.1,1-1,36.5,512,ヤマニンアストロン
202402010308,2024/06/15,函館,晴,8,3歳以上1勝クラス,1勝クラス,11,2,2,20.8,6,11,小林勝太,55,ダート,1000,良,1:00.6,1.6,5-5,37.3,512,ニルアドミラリ
202404010709,2024/05/18,新潟,晴,9,飛竜特別,1勝クラス,16,4,8,34.5,11,4,菊沢一樹,58,芝,1000,良,0:56.9,0.4,1,34.7,516,オリアメンディ
202410010603,2024/01/28,小倉,曇,3,4歳以上1勝クラス,1勝クラス,14,8,13,182.9,12,7,水沼元輝,55,ダート,1000,良,1:00.0,1.9,4-5,36.9,512,マキアージュ
202307040108,2023/12/02,中京,晴,8,3歳以上1勝クラス,1勝クラス,16,2,3,62.6,11,15,酒井学,58,ダート,1200,良,1:15.0,3.0,2-3,40.5,510,サイレンスゴールド
202303030306,2023/11/11,福島,晴,6,3歳以上1勝クラス,1勝クラス,16,8,15,106.9,15,14,水沼元輝,55,芝,1200,良,1:11.1,1.1,2-2,37.3,502,ビッグボーンリタ
202304040612,2023/10/29,新潟,曇,12,3歳以上1勝クラス,1勝クラス,18,8,17,154.7,17,7,水沼元輝,55,芝,1400,不,1:24.1,1.2,3-3,37.2,508,ベガリス
,2023/06/20,金沢,晴,6,祝・純烈酒井一圭爆誕(C2),,10,5,5,1.1,1,1,栗原大河,56,ダート,1500,良,1:38.4,-0.3,1-1-1-1,39.9,512,(ステラレギア)
202306030404,2023/04/02,中山,曇,4,障害4歳以上未勝利,未勝利,9,1,1,125.9,9,中,大江原圭,59,障,2880,良,,,5-5-7,,512,ブルメンダール
202204040501,2022/10/29,新潟,曇,1,障害3歳以上未勝利,未勝利,12,3,3,187.6,12,11,草野太郎,58,障,2850,良,3:25.3,16.0,2-6-8-9,14.4,500,ロードシャムロック
202201020504,2022/08/27,札幌,曇,4,3歳未勝利,未勝利,14,3,4,46.9,6,14,丹内祐次,56,ダート,1700,良,1:56.9,10.3,1-1-2-7,48.6,490,ヤマニンクイッカー
202203020704,2022/07/23,福島,曇,4,3歳未勝利,未勝利,15,1,1,88.7,10,9,内田博幸,56,ダート,1700,重,1:48.2,1.7,7-6-13-14,38.5,492,プラウドヘリテージ
202204010507,2022/05/21,新潟,曇,7,3歳未勝利,未勝利,16,5,9,21.5,9,16,秋山稔樹,55,芝,2000,良,2:07.1,4.1,3-3-4-4,40.3,500,リニュー
202203010602,2022/05/01,福島,曇,2,3歳未勝利,未勝利,13,6,8,79.1,9,7,菊沢一樹,56,芝,1800,稍,1:51.3,1.2,7-7-7-5,36.3,496,アイキャンドウイッ
202206030305,2022/04/02,中山,晴,5,3歳未勝利,未勝利,18,5,10,331.9,16,17,大野拓弥,56,芝,2000,稍,2:04.3,2.1,8-7-7-7,36.8,494,ヴィブラツィオーネ
202206020105,2022/02/26,中山,晴,5,3歳未勝利,未勝利,16,7,14,203.6,14,13,丸山元気,56,芝,1600,良,1:37.2,1.8,10-14-15,35.7,500,デコラシオン
