,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2022/06/16,門別,曇,2,3歳以上C4ー4,9,5,5,12.3,4,4,岩橋勇二,54,ダ1000,不,1:02.0,1.1,2-2,0.0-37.2,38.2,434(-2),ヨンプク
1,2022/05/31,門別,雨,9,3歳以上C4ー3,7,4,4,5.7,4,6,岩橋勇二,54,ダ1600,重,1:48.1,3.7,2-2-2-4,0.0-40.6,44.0,436(-6),フラワースプリング
2,2022/04/28,門別,晴,3,3歳以上C4ー3,9,8,8,11.6,4,8,石川倭,54,ダ1000,良,1:05.2,1.4,4-4,0.0-39.2,40.0,442(0),グッドイヤー
3,2022/04/14,門別,曇,4,3歳以上C4ー3,9,8,9,4.4,3,7,石川倭,54,ダ1000,良,1:05.7,1.4,4-4,0.0-40.2,41.5,442(+2),グレイトティット
4,2021/10/26,門別,曇,4,3歳以上C4ー5,10,3,3,3.5,2,2,阿部龍,54,ダ1000,稍,1:01.9,0.6,2-2,0.0-37.6,38.0,440(-2),ペイシャウイニング
5,2021/10/13,門別,晴,8,3歳以上C4ー6,12,5,5,40.4,5,4,阿部龍,54,ダ1000,重,1:01.9,0.6,1-1,0.0-37.6,38.2,442(+2),ドリームルーチェ
6,2021/09/15,門別,晴,5,オールマイティ葛原大,12,5,5,35.1,6,12,桑村真明,54,ダ1200,稍,1:23.0,7.8,2-10,0.0-39.3,46.8,440(-2),エンドステージ
7,2021/08/31,門別,晴,7,3歳以上C4ー5,11,6,6,4.8,2,7,石川倭,54,ダ1000,良,1:03.6,1.6,4-3,0.0-37.9,39.1,442(+16),ウーヴァラーラ
8,2021/07/31,3新潟3,晴,2,3歳未勝利,17,3,5,65.2,9,10,西村淳也,54,芝1800,良,1:48.8,1.1,1-1,36.2-34.0,35.1,426(+2),ヤマニンサンパ
9,2021/06/06,4中京2,晴,6,3歳未勝利,16,7,13,63.2,10,12,坂井瑠星,54,芝1600,良,1:36.4,2.6,15-12-11,35.8-34.6,36.3,424(0),サマートゥリスト
