,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/06,3小倉3,晴,1,障害3歳以上未勝利,9,1,1,35.0,7,7,黒岩悠,60,障2860,良,3:15.5,4.0,9-9-8-8,104.0-38.3,13.7,488(-14),オオキニ
1,2024/06/09,4京都4,曇,1,障害3歳以上未勝利,10,8,10,12.2,4,10,黒岩悠,60,障2910,稍,3:25.7,9.0,10-10-10-10,107.0-37.7,14.1,502(+2),スマイルスルー
2,2024/04/14,2阪神8,晴,11,アンタレスS(GIII),16,3,5,106.1,12,11,小崎綾也,57,ダ1800,良,1:52.7,1.5,14-14-10-13,37.2-37.6,37.5,500(+4),ミッキーヌチバナ
3,2024/03/24,3中山2,曇,11,マーチS(GIII),14,4,5,44.9,10,9,小崎綾也,58,ダ1800,良,1:52.0,1.3,11-11-12-12,36.8-37.7,37.0,496(+5),ヴァルツァーシャル
4,2023/12/14,川崎,晴,11,神奈川記念【JRA・(重賞),11,8,11,4.4,2,7,小崎綾也,58,ダ1600,稍,1:45.1,2.2,7-9-7-9,36.7-40.3,42.1,491(+3),ヴィブラフォン
5,2023/11/19,3福島6,曇,11,福島民友C(L),15,5,8,12.1,5,4,小崎綾也,59,ダ1700,稍,1:43.0,0.4,13-11-12-8,28.6-37.8,37.1,488(-4),ワールドタキオン
6,2023/09/30,4阪神8,曇,11,シリウスS(GIII),14,4,6,13.4,7,6,川田将雅,58,ダ2000,良,2:05.5,1.1,8-7-7-7,36.7-37.6,37.8,492(+6),ハギノアレグリアス
7,2023/07/16,3中京6,晴,11,名鉄杯(L),15,3,4,13.3,6,3,小崎綾也,59,ダ1800,良,1:52.4,0.7,8-8-8-6,36.2-37.7,37.4,486(-2),アーテルアストレア
8,2023/06/11,3阪神4,曇,11,三宮S(OP),15,7,12,5.7,2,9,酒井学,58,ダ1800,重,1:51.6,1.7,11-11-12-12,36.7-36.4,37.1,488(-3),キングズソード
9,2023/03/16,名古屋,晴,11,名古屋大賞典(JpnIII),12,6,7,4.6,2,5,小崎綾也,54,ダ2000,良,2:09.0,0.8,7-6-5,0.0-36.3,36.4,491(+1),ハギノアレグリアス
10,2023/02/01,川崎,晴,11,川崎記念(JpnI),10,1,1,14.0,5,3,小崎綾也,57,ダ2100,良,2:16.9,0.9,8-8-9-5,30.6-40.1,40.2,490(-2),ウシュバテソーロ
11,2023/01/08,1中山3,晴,11,ポルックスS(OP),14,6,9,3.8,2,1,小崎綾也,58,ダ1800,良,1:51.9,0.0,10-10-8-10,36.8-37.2,36.6,492(-4),(ウィリアムバローズ)
12,2022/12/10,5中山3,晴,11,師走S(L),16,2,4,3.7,2,2,小崎綾也,56,ダ1800,良,1:51.9,0.0,11-11-10-9,35.8-37.9,37.1,496(+10),キタノヴィジョン
13,2022/07/24,2福島8,曇,11,ジュライS(L),15,2,2,4.4,2,1,小崎綾也,56,ダ1700,良,1:43.7,-0.2,7-7-6-6,29.8-37.6,36.9,486(-4),(ジュンライトボルト)
14,2022/06/12,4中京4,晴,11,三宮S(OP),15,1,2,5.7,3,2,小崎綾也,55,ダ1800,良,1:51.0,1.0,12-12-12-10,35.7-37.8,37.2,490(-2),ハヤブサナンデクン
15,2022/04/17,2阪神8,晴,11,アンタレスS(GIII),16,5,10,69.4,13,3,小崎綾也,56,ダ1800,良,1:50.9,0.4,11-11-10-9,36.6-37.1,36.9,492(+2),オメガパフューム
16,2022/03/21,2中京4,晴,11,名古屋城S(OP),16,6,11,10.8,5,3,武豊,57,ダ1800,稍,1:52.2,0.4,14-14-10-8,37.9-37.5,36.8,490(-8),グロリアムンディ
17,2022/02/05,1中京11,晴,11,アルデバランS(OP),16,3,6,8.7,4,2,武豊,56,ダ1900,良,1:59.6,0.3,12-11-9-9,31.1-38.1,37.0,498(+6),スマッシングハーツ
18,2022/01/16,1小倉2,曇,11,門司S(OP),15,1,1,10.1,5,2,西村淳也,57,ダ1700,良,1:45.2,0.2,11-10-3-2,29.7-37.0,36.8,492(-8),エクレアスパークル
19,2021/11/28,5阪神8,晴,11,カノープスS(OP),16,4,7,15.4,8,4,西村淳也,54,ダ2000,良,2:05.3,0.3,10-10-12-11,35.7-36.9,36.2,500(+2),ショウナンナデシコ
20,2021/11/07,5阪神2,晴,11,みやこS(GIII),16,4,8,122.0,13,8,藤岡康太,56,ダ1800,良,1:51.9,1.1,13-10-15-15,37.5-36.8,36.7,498(0),メイショウハリオ
21,2021/10/16,4阪神3,曇,11,太秦S(OP),16,2,3,47.5,14,4,坂井瑠星,56,ダ1800,良,1:52.1,0.8,14-14-13-15,36.5-38.0,37.6,498(+6),ライトウォーリア
22,2021/03/13,1阪神9,晴,11,ポラリスS(OP),16,7,14,10.8,5,8,酒井学,56,ダ1400,重,1:22.7,0.6,11-11,33.5-37.1,35.9,492(0),ラプタス
23,2021/02/14,1東京6,晴,10,バレンタインS(OP),16,8,16,4.5,2,6,松山弘平,57,ダ1400,良,1:24.2,1.1,10-8,35.0-36.0,36.1,492(-2),スリーグランド
24,2020/12/05,6阪神1,晴,10,御影S(3勝クラス),16,3,6,6.2,3,1,三浦皇成,57,ダ1400,良,1:24.0,-0.1,11-9,35.1-36.6,35.7,494(0),(サダムスキャット)
25,2020/11/08,5東京2,曇,10,錦秋S(3勝クラス),16,8,15,4.9,2,4,三浦皇成,57,ダ1600,良,1:36.9,0.3,13-12,35.8-36.1,35.0,494(+10),サトノギャロス
26,2020/09/21,2中京5,晴,11,JRAアニバーサリー(3勝クラス),16,1,1,3.3,1,3,松山弘平,57,ダ1800,良,1:51.4,0.1,9-9-8-5,35.9-39.1,37.6,484(-4),ダイアナブライト
27,2020/09/06,3新潟8,晴,10,古町S(3勝クラス),15,5,9,4.6,2,4,三浦皇成,55,ダ1800,良,1:51.6,0.1,11-12-13-13,36.0-37.8,36.7,488(+6),エムオーグリッタ
28,2020/07/12,4阪神4,晴,10,フィリピンT(3勝クラス),16,5,10,12.0,6,3,藤井勘一,57,ダ1800,稍,1:51.6,0.0,15-15-13-13,37.6-37.8,36.1,482(+2),ダノンスプレンダー
29,2020/05/03,3京都4,曇,12,高瀬川S(3勝クラス),16,7,14,5.8,2,5,藤岡康太,57,ダ1400,良,1:25.3,0.5,16-16,36.0-36.2,35.0,480(-6),ヒラソール
30,2020/03/29,1中京8,晴,12,鈴鹿特別(2勝クラス),16,5,10,6.5,4,1,三浦皇成,57,ダ1400,不,1:21.9,-0.1,13-11,33.9-36.7,35.2,486(-2),(グレートウォリアー)
31,2020/02/23,1東京8,晴,12,大島特別(2勝クラス),16,5,10,8.1,5,7,和田竜二,57,ダ1400,良,1:25.0,0.8,12-12,35.1-37.2,36.4,488(+16),コーラルプリンセス
32,2019/06/16,3東京6,晴,11,ユニコーンS(GIII),13,7,13,19.3,7,10,石橋脩,56,ダ1600,重,1:36.8,1.3,10-8,33.9-37.1,37.6,472(+4),ワイドファラオ
33,2019/05/12,2東京8,晴,9,青竜S(OP),12,5,5,36.7,8,3,福永祐一,56,ダ1600,良,1:36.9,0.3,11-11,35.5-36.0,35.3,468(+2),デュープロセス
34,2019/04/28,3京都3,晴,10,端午S(OP),15,8,15,5.4,3,9,福永祐一,56,ダ1400,良,1:24.9,0.8,15-13,35.2-36.6,36.2,466(0),ヴァニラアイス
35,2019/03/10,2中京2,雨,10,昇竜S(OP),13,6,9,25.3,8,2,柴山雄一,56,ダ1400,稍,1:23.8,0.2,11-11,34.0-37.4,35.9,466(-8),デュープロセス
36,2019/02/11,1東京5,曇,4,3歳500万下,14,5,7,9.0,5,1,石橋脩,56,ダ1600,良,1:38.5,-0.3,13-13,35.0-38.4,37.2,474(0),(ラティーンセイル)
37,2019/01/26,1中京3,晴,10,はこべら賞(500万下),16,2,4,88.1,8,6,藤岡康太,56,ダ1400,良,1:25.8,1.4,15-14,33.7-38.7,37.9,474(0),ケイアイターコイズ
38,2018/11/17,5京都5,晴,9,もちの木賞(500万下),10,5,5,73.3,9,5,国分恭介,55,ダ1800,良,1:54.0,1.8,10-10-8-6,36.9-37.3,38.1,474(-6),ノーヴァレンダ
39,2018/10/20,4京都6,曇,1,2歳未勝利,11,4,4,18.0,6,1,松山弘平,55,ダ1400,良,1:26.0,0.0,8-6,35.3-38.5,37.5,480(+6),(トーセンアミ)
