,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/10,大井,曇,11,優駿スプリント競走(重賞),16,6,11,58.7,10,4,山崎誠士,56,ダ1200,良,1:13.8,1.0,10-8,34.9-37.9,37.7,447(+1),ティントレット
1,2024/06/28,大井,雨,6,B3六,9,5,5,9.7,3,2,福原杏,54,ダ1200,不,1:13.8,0.2,4-4,35.2-38.4,38.2,446(0),ゴールデンレアル
2,2024/06/06,大井,曇,11,優駿スプリントトライ(OP),14,1,1,20.5,5,8,吉井章,57,ダ1200,稍,1:15.0,1.3,7-8,34.9-38.8,39.2,446(-7),カヌレフレイバー
3,2024/05/17,大井,晴,4,3歳一　二三,16,8,15,16.8,7,3,野畑凌,57,ダ1200,稍,1:14.4,1.2,4-6,35.6-37.6,38.6,453(+6),カヌレフレイバー
4,2024/03/01,大井,晴,5,3歳一　二三,12,2,2,1.2,1,1,野畑凌,56,ダ1200,不,1:15.7,-0.1,1-1,36.5-39.2,39.2,447(-3),(ポッドレオ)
5,2024/02/16,大井,晴,4,3歳一　二,8,6,6,6.6,3,2,野畑凌,56,ダ1200,良,1:14.9,0.2,2-2,36.2-38.5,38.5,450(0),エドノフェニックス
6,2024/01/26,大井,晴,4,3歳二　三,14,6,10,14.2,6,2,野畑凌,56,ダ1200,稍,1:15.2,0.7,3-3,35.9-38.6,39.2,450(-5),ワセダノオトコ
7,2023/12/28,大井,晴,4,2歳六　七,13,3,3,2.0,1,1,矢野貴之,55,ダ1200,良,1:16.6,-0.1,3-3,37.4-39.2,39.1,455(+33),(トーケンレナン)
8,2023/07/23,1札幌2,晴,1,2歳未勝利,8,3,3,16.5,5,5,佐々木大,53,ダ1000,良,1:01.3,1.2,2-3,35.9-36.1,37.1,422(-6),アルジェンタージョ
9,2023/07/09,2函館4,晴,1,2歳未勝利,12,6,7,69.7,10,6,横山和生,55,ダ1000,良,1:01.1,1.5,9-7,34.8-36.4,36.8,428(+6),ブシン
10,2023/06/17,1函館3,曇,6,2歳新馬,12,8,11,10.8,6,5,横山和生,55,ダ1000,良,1:00.9,1.0,7-6,35.5-36.3,36.2,422(0),ゼルトザーム
