,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/01/28,2京都2,晴,1,3歳未勝利,15,1,1,504.5,14,15,城戸義政,57,ダ1200,良,1:15.5,2.6,14-15,35.1-37.8,38.6,478(0),アスタールテニウム
1,2024/01/13,1京都4,晴,1,3歳未勝利,16,8,16,38.6,9,13,団野大成,57,ダ1200,良,1:16.2,2.6,13-14,35.9-37.7,38.4,478(-6),ピカリ
2,2023/12/16,4中京5,小雨,1,2歳未勝利,16,1,2,319.0,16,6,城戸義政,56,ダ1200,重,1:13.9,1.6,8-8,35.5-36.8,37.7,484(-6),ラストボーン
3,2023/12/02,4中京1,晴,1,2歳未勝利,16,5,10,336.9,15,14,城戸義政,56,ダ1400,良,1:29.7,3.8,6-7,35.8-37.3,40.7,490(+16),テイエムリステット
4,2023/07/16,2函館6,曇,1,2歳未勝利,16,4,8,116.5,12,10,小沢大仁,54,芝1200,稍,1:13.8,1.6,10-13,35.9-36.3,37.0,474(0),ピコサン
5,2023/07/02,2函館2,曇,1,2歳未勝利,9,8,9,28.4,8,6,小沢大仁,54,芝1200,良,1:12.9,1.3,4-6,35.2-36.4,37.3,474(0),アガシ
6,2023/06/18,1函館4,晴,5,2歳新馬,11,3,3,123.2,11,6,小沢大仁,54,芝1200,良,1:11.7,1.1,8-7,35.1-35.5,35.7,474(0),ベルパッション
