,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/03/07,2小倉8,曇,11,壇之浦S(3勝クラス),11,7,8,71.7,10.0,10,鮫島克駿,55,芝1800,稍,1:49.4,1.6,1-1-1-1,36.5-35.7,37.3,464(+2),マイネルウィルトス
1,2021/01/11,1中京4,晴,10,寿S(3勝クラス),16,3,6,103.6,13.0,15,富田暁,51,芝2000,良,2:02.4,2.0,4-3-3-2,35.3-36.0,37.8,462(+2),ツーエムアロンソ
2,2020/11/14,5東京3,晴,10,ユートピアS(3勝クラス),18,7,15,104.7,16.0,18,石川裕紀,55,芝1800,良,1:49.8,3.2,11-11-11,35.5-34.7,36.8,460(-14),リンディーホップ
3,2020/08/29,2札幌5,小雨,11,オホーツクS(3勝クラス),16,5,9,19.4,7.0,13,横山武史,55,芝2000,良,2:03.7,2.2,1-1-1-1,36.0-36.5,38.7,474(+8),ワセダインブルー
4,2020/07/18,2函館5,曇,12,かもめ島特別(2勝クラス),14,8,14,31.4,11.0,1,岩田康誠,55,芝1800,良,1:47.6,-0.2,1-1-1-1,35.6-37.1,37.1,466(+8),(ターフェルムジーク)
5,2020/03/08,1中京4,雨,8,4歳以上1勝クラス,7,5,5,3.8,2.0,1,鮫島克駿,55,芝2000,不,2:09.4,0.0,2-1-1-1,38.8-38.8,38.8,458(+2),(エリンズロマーネ)
6,2020/02/16,1小倉10,曇,7,4歳以上1勝クラス,13,6,9,9.6,5.0,4,鮫島克駿,55,芝2000,重,2:06.4,0.1,4-5-5-2,36.4-38.6,38.3,456(+14),ゲンティアナ
7,2019/11/09,3福島3,晴,8,3歳以上1勝クラス,16,6,11,8.2,4.0,10,鮫島克駿,55,芝2600,良,2:43.1,1.1,4-5-6-5,38.3-36.5,37.3,442(-16),エクスプローシブ
8,2019/08/25,2札幌4,晴,8,3歳以上1勝クラス,13,8,12,8.8,5.0,3,藤田菜七,52,芝2000,稍,2:04.2,0.5,2-4-4-5,36.1-39.2,38.7,458(-2),エレクトロニカ
9,2019/07/14,2函館4,曇,7,3歳以上1勝クラス,12,5,6,9.1,5.0,4,岩田康誠,55,芝2000,良,2:02.4,0.5,5-5-5-4,35.2-37.5,37.0,460(+6),コパカティ
10,2019/06/22,1函館3,雨,10,湯川特別(1勝クラス),9,5,5,9.9,3.0,2,岩田康誠,55,芝2000,稍,2:02.6,0.7,3-3-3-3,35.6-37.0,37.5,454(+6),イノセントミューズ
11,2019/06/15,1函館1,曇,12,遊楽部特別(1勝クラス),8,7,8,,,除,北村友一,55,芝1800,良,,,,36.8-35.6,,454(+6),サクラユニヴァース
12,2019/05/19,1新潟8,晴,12,石打特別(500万下),15,1,1,52.5,12.0,8,鮫島克駿,55,芝1800,良,1:47.7,0.8,1-1,36.5-33.8,34.6,448(+1),ルナステラ
13,2018/12/31,笠松,晴,3,第4回ワンダーC,10,6,6,2.6,2.0,1,岡部誠,54,ダ1400,稍,1:28.7,-0.1,6-2-2,0.0-38.0,37.6,447(-2),(カルチョ)
14,2018/12/14,笠松,晴,10,新穂高特別,10,3,3,3.5,2.0,10,岡部誠,54,ダ1400,良,1:30.0,1.3,10-3-7,0.0-39.1,39.6,449(-3),ヒロノオウカン
15,2018/10/18,笠松,晴,1,サラ系3歳4組,9,6,6,1.2,1.0,1,吉井友彦,54,ダ1400,良,1:28.7,0.0,8-6-4,0.0-39.0,38.1,452(0),(ゴーオンザステージ)
16,2018/09/02,2札幌6,晴,4,3歳未勝利,14,8,13,2.1,1.0,13,ルメール,54,ダ1700,良,1:49.1,1.9,5-5-5-6,30.1-39.1,40.5,452(-2),サトノゲイル
17,2018/08/26,2札幌4,晴,2,3歳未勝利,14,3,4,5.5,3.0,3,内田博幸,54,ダ1700,重,1:46.1,0.0,11-11-2-2,30.2-38.1,38.0,454(+2),アルマアノン
18,2018/08/11,1札幌5,小雨,6,3歳未勝利,16,1,2,51.8,11.0,2,勝浦正樹,54,芝2000,稍,2:03.6,0.3,5-7-5-4,35.3-37.7,37.3,452(+8),スズカノロッソ
19,2018/07/15,3中京6,晴,4,3歳未勝利,18,3,6,31.5,6.0,7,富田暁,52,芝2000,良,2:02.7,1.1,8-8-10-8,35.6-35.6,35.6,444(0),アドマイヤデジタル
20,2018/05/19,3京都9,曇,3,3歳未勝利,18,8,16,18.9,7.0,15,浜中俊,54,芝1800,稍,1:52.9,4.1,11-18,35.4-36.2,38.9,444(-6),アイネバーフェイル
21,2018/03/24,2中京5,晴,4,3歳未勝利,18,6,12,12.4,5.0,5,内田博幸,54,芝2000,稍,2:05.1,1.0,14-13-11-11,38.0-35.6,35.7,450(-12),アロハリリー
22,2018/02/18,1小倉4,晴,5,3歳新馬,17,3,6,21.9,6.0,6,和田竜二,54,芝2000,良,2:03.4,0.7,16-16-15-12,35.8-35.4,34.9,462(0),ダンサール
