,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/20,1札幌1,晴,12,3歳以上1勝クラス,11,6,8,35.4,9,1,永野猛蔵,58,ダ1700,良,1:46.8,-0.5,10-10-9-4,30.2-39.9,39.2,454(-2),(カルパ)
1,2024/07/06,1函館9,曇,8,3歳以上1勝クラス,10,4,4,37.2,7,4,永野猛蔵,58,ダ1700,稍,1:46.5,0.8,10-9-7-6,29.5-37.7,38.0,456(-2),パフ
2,2024/06/23,1函館6,曇,8,3歳以上1勝クラス,10,3,3,23.4,7,6,永野猛蔵,58,ダ1700,良,1:46.3,1.3,10-9-10-7,30.3-37.8,38.3,458(-4),グランドエスケープ
3,2024/05/05,1新潟4,晴,6,4歳以上1勝クラス,15,2,2,23.8,7,7,佐々木大,57,ダ1800,良,1:54.0,1.4,10-7-6-6,36.7-37.8,38.6,462(0),サヨノフィールド
4,2024/04/07,3中山6,晴,12,4歳以上1勝クラス,13,8,12,8.8,4,5,団野大成,58,ダ1800,重,1:53.3,0.6,7-8-4-4,36.6-38.1,38.3,462(-2),ロードマゼラン
5,2024/03/10,1中京2,晴,12,4歳以上1勝クラス,16,1,2,67.4,11,13,幸英明,58,ダ1400,良,1:27.0,3.0,12-12,35.0-37.0,38.2,464(+10),アルシオーネ
6,2023/12/02,4中京1,晴,5,3歳以上1勝クラス,12,3,3,8.7,4,5,小林勝太,55,ダ1800,良,1:56.9,2.3,7-7-9-7,38.5-36.4,38.1,454(0),スマラグドス
7,2023/11/11,3福島3,晴,4,3歳以上1勝クラス,15,3,4,8.5,2,6,丹内祐次,58,ダ1700,稍,1:46.3,1.4,15-15-14-10,29.5-39.1,37.6,454(0),ショウナンライシン
8,2023/10/22,4新潟4,晴,8,3歳以上1勝クラス,10,4,4,7.2,4,5,丹内祐次,58,ダ1800,稍,1:55.3,1.5,9-9-7-7,38.6-36.7,37.2,454(0),ファンジオ
9,2023/10/01,4中山9,曇,4,3歳以上1勝クラス,13,7,10,10.4,4,5,丹内祐次,58,ダ1800,良,1:55.0,1.1,10-11-10-8,38.5-37.9,38.0,454(-2),アレクサ
