,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/05/08,川崎,雨,11,エンプレス杯(JpnII),12,6,7,3.3,2,5,松山弘平,55.0,ダ2100,稍,2:15.4,0.9,2-2-2-2,30.9-39.3,40.0,475(+8),オーサムリザルト
1,2024/04/03,川崎,曇,11,川崎記念(JpnI),11,6,7,9.1,4,3,松山弘平,55.0,ダ2100,重,2:15.5,0.0,2-2-1-1,30.7-39.9,39.9,467(-9),ライトウォーリア
2,2024/02/24,1阪神1,晴,11,仁川S(L),16,8,16,3.0,1,3,武豊,57.0,ダ2000,稍,2:04.9,0.1,4-4-3-2,35.5-38.4,38.4,476(-8),ダイシンピスケス
3,2023/12/03,4中京2,晴,11,チャンピオンズC(GI),15,8,14,18.3,7,14,モレイラ,56.0,ダ1800,良,1:54.1,3.5,10-10-10-11,36.4-37.3,40.2,484(+7),レモンポップ
4,2023/11/03,大井,晴,9,JBCレディスクラシ(JpnI),12,4,4,2.8,1,1,松山弘平,55.0,ダ1800,良,1:52.9,-0.8,2-2-2-1,37.3-38.6,38.6,477(+3),(グランブリッジ)
5,2023/09/30,4阪神8,曇,11,シリウスS(GIII),14,5,7,5.2,2,2,団野大成,55.5,ダ2000,良,2:04.6,0.2,3-3-3-1,36.7-37.6,37.6,474(0),ハギノアレグリアス
6,2023/08/26,3新潟5,晴,11,BSN賞(L),13,8,12,20.7,8,1,菱田裕二,54.0,ダ1800,良,1:50.8,-0.3,3-3-2-2,36.3-37.0,36.9,474(0),(ブルベアイリーデ)
7,2023/05/20,2東京9,曇,11,メイS(OP),18,3,5,14.8,6,12,菱田裕二,54.0,芝1800,良,1:45.9,1.2,4-4-5,35.2-34.4,34.9,474(-6),サクラトゥジュール
8,2023/01/14,1中京5,曇,11,愛知杯(GIII),15,7,13,14.9,7,2,菱田裕二,53.0,芝2000,重,2:03.4,0.3,2-2-2-2,37.9-34.3,34.5,480(+4),アートハウス
9,2022/12/10,6中京3,晴,11,中日新聞杯(GIII),18,5,9,29.3,10,3,菱田裕二,52.0,芝2000,良,1:59.5,0.1,3-3-3-3,37.2-35.1,34.9,476(+2),キラーアビリティ
10,2022/11/19,5阪神5,晴,11,アンドロメダS(L),11,7,8,11.2,6,5,和田竜二,52.0,芝2000,良,1:59.9,0.6,2-1-1-1,36.4-35.3,35.9,474(+10),マテンロウレオ
11,2022/10/23,4新潟4,曇,11,新潟牝馬S(OP),14,6,10,5.7,3,9,亀田温心,54.0,芝2200,稍,2:15.2,0.7,8-10-9-5,35.8-35.1,35.3,464(-6),ホウオウエミーズ
12,2022/06/19,3阪神2,晴,11,マーメイドS(GIII),16,5,10,13.9,9,11,亀田温心,53.0,芝2000,良,1:59.7,1.4,6-6-7-10,35.7-35.1,35.9,470(+4),ウインマイティー
13,2022/05/08,1新潟2,晴,11,新潟大賞典(GIII),15,2,2,4.9,1,9,亀田温心,52.0,芝2000,良,1:58.4,0.7,4-4,34.7-35.1,35.6,466(-6),レッドガラン
14,2022/03/06,1阪神8,晴,11,大阪城S(L),12,5,6,6.5,4,3,亀田温心,52.0,芝1800,良,1:45.0,0.2,5-3,35.5-34.8,34.4,472(0),アルサトワ
15,2022/02/06,1小倉8,晴,11,関門橋S(OP),12,2,2,5.0,3,3,亀田温心,53.0,芝2000,良,2:00.8,0.8,6-5-7-6,36.7-34.4,34.7,472(-2),ダブルシャープ
16,2022/01/15,1中京5,晴,11,愛知杯(GIII),16,4,8,27.9,9,5,亀田温心,51.0,芝2000,良,2:01.3,0.3,1-1-1-1,36.9-34.8,35.1,474(+10),ルビーカサブランカ
17,2021/10/30,5新潟7,晴,11,魚沼S(3勝クラス),9,4,4,2.2,1,1,亀田温心,53.0,芝2000,良,1:59.7,-0.2,3-3,35.8-35.2,34.5,464(0),(ミスミルドレッド)
18,2021/10/09,5新潟1,晴,11,村上特別(2勝クラス),8,5,5,3.2,3,1,亀田温心,53.0,芝1800,良,1:47.5,-0.3,2-2,36.9-33.3,33.2,464(+6),(フローズンスタイル)
19,2021/09/19,5中京4,曇,11,関西TVローズS(GII),18,2,3,126.1,17,8,亀田温心,54.0,芝2000,良,2:00.7,0.7,4-4-3-3,36.3-34.6,34.7,458(0),アンドヴァラナウト
20,2021/07/04,1福島2,小雨,11,ラジオNIKKEI賞(GIII),16,6,12,38.7,13,8,亀田温心,51.0,芝1800,稍,1:49.0,1.0,5-6-4-5,35.6-35.2,35.9,458(+2),ヴァイスメテオール
21,2021/05/22,2新潟5,晴,10,早苗賞(1勝クラス),9,8,8,10.9,5,1,亀田温心,54.0,芝1800,稍,1:49.3,-0.3,2-2,35.5-37.7,37.5,456(0),(バガン)
22,2021/05/09,2新潟2,曇,5,3歳未勝利,12,6,7,47.6,9,1,亀田温心,53.0,芝2000,良,2:04.6,-0.3,4-4-5-5,36.7-37.8,37.2,456(-12),(マテンロウアレス)
23,2020/12/19,6阪神5,曇,4,2歳未勝利,18,7,15,105.9,11,7,幸英明,54.0,芝1800,良,1:49.3,1.1,16-13,35.2-34.5,35.0,468(+4),ショウナンアレス
24,2020/11/23,5阪神7,晴,6,2歳未勝利,14,5,8,277.7,13,6,鮫島克駿,54.0,芝1600,良,1:35.7,0.5,5-5,35.7-34.3,34.2,464(-2),テーオーダヴィンチ
25,2020/11/01,4京都8,曇,5,2歳新馬,18,6,11,77.3,14,12,酒井学,54.0,芝1400,良,1:24.3,1.3,14-11,35.9-35.1,35.5,466(0),ララクリスティーヌ
