race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202407020603,2024/08/25,中京,晴,3,3歳未勝利,未勝利,18,1,1,16.2,6,13,幸英明,57,芝,2200,良,2:14.3,1.1,17-17-16-15,35.8,424,アラナコア
202407020203,2024/08/11,中京,晴,3,3歳未勝利,未勝利,18,2,4,161.6,14,2,幸英明,57,芝,2000,良,1:59.0,0.4,16-17-10-9,35.2,420,レディーヴァリュー
202408040806,2024/06/23,京都,小雨,6,3歳未勝利,未勝利,18,3,5,188.9,13,12,幸英明,57,芝,2200,重,2:18.7,3.8,13-13-13-15,37.9,414,ジャスティンダイス
202404010202,2024/04/28,新潟,晴,2,3歳未勝利,未勝利,16,5,10,19.0,6,15,荻野極,57,芝,1400,良,1:24.9,1.8,13-14,36.5,424,メティエダール
202408010105,2024/01/06,京都,曇,5,3歳未勝利,未勝利,17,6,12,264.9,15,8,和田竜二,57,芝,1800,良,1:49.3,0.9,10-9,35.7,426,エラトー
202309050806,2023/12/24,阪神,晴,6,2歳新馬,新馬,18,6,11,26.1,7,15,横山典弘,56,芝,1600,良,1:37.5,1.4,12-13,34.4,432,スマートスピア
