,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/22,金沢,晴,4,なるみ&しおり結婚お,8,8,8,1.1,1,1,堀場裕充,56,ダ1400,良,1:29.4,-1.1,2-2-1-1,0.0-38.1,38.1,481(+3),(エイシンウィンク)
1,2024/07/07,金沢,晴,2,ウマ吟行会来場記念,7,2,2,1.1,1,2,加藤翔馬,56,ダ1400,良,1:29.6,1.0,5-5-3-3,0.0-38.5,38.3,478(0),エムティトップ
2,2024/07/01,金沢,曇,4,能登半島地震復興支援,8,6,6,1.1,1,1,加藤翔馬,56,ダ1400,不,1:29.4,-1.5,1-1-1-1,0.0-37.6,37.6,478(-6),(カミノマジック)
3,2024/06/18,金沢,曇,4,C211,9,6,6,1.2,1,1,加藤翔馬,55,ダ1400,稍,1:29.5,-0.2,2-2-1-1,0.0-38.4,38.3,484(-6),(マテウス)
4,2024/05/15,大井,雨,12,新緑賞競走,16,6,11,71.9,9,16,野畑凌,56,ダ1200,重,1:16.0,3.0,11-12,36.1-36.9,38.6,490(-4),ロアリングルックス
5,2024/04/24,大井,雨,8,カフェ・ド・パリ賞,11,2,2,19.9,5,9,野畑凌,56,ダ1400,重,1:30.5,2.2,3-4-4,37.9-38.3,40.0,494(+1),ウナモンタナアルタ
6,2024/04/11,大井,晴,9,B2三,8,5,5,22.8,5,4,野畑凌,56,ダ1400,稍,1:29.9,0.7,2-2-2,38.5-38.2,38.9,493(+8),ケープホーン
7,2023/11/03,大井,晴,12,SPAT4賞競走,13,6,9,29.9,8,12,矢野貴之,56,ダ1400,良,1:30.9,1.6,4-5-5,37.5-38.9,40.2,485(0),ナンセイラピッド
8,2023/06/06,大井,雨,11,キャンサー賞競走,16,7,14,55.4,10,10,矢野貴之,57,ダ1600,重,1:41.7,1.5,4-4-3-3,37.0-38.2,39.6,485(+1),フレンドスイープ
9,2023/05/24,大井,晴,12,新緑賞競走,15,6,11,81.9,13,15,本田正重,56,ダ1400,重,1:28.2,2.4,9-7-9,35.7-38.2,39.8,484(+1),ノーブルノヴァ
10,2023/04/18,大井,曇,11,モルガナイト賞競走,14,8,14,72.0,9,11,本田正重,55,ダ1400,重,1:26.5,1.5,10-12-13,36.6-36.5,36.4,483(+2),ロードグラディオ
11,2023/03/31,大井,晴,11,萌黄賞競走,11,5,5,6.5,4,8,本田正重,56,ダ1600,重,1:41.5,1.2,1-1-1-1,36.4-39.4,40.6,481(-12),フラテルニテ
12,2023/03/08,大井,晴,11,ゴールデンステッキ賞,12,7,9,4.3,3,5,矢野貴之,56,ダ1600,良,1:41.4,0.8,2-2-2-2,37.6-38.5,39.3,493(+27),ウェイキー
13,2022/10/30,4阪神9,晴,12,3歳以上2勝クラス,14,7,11,31.8,8,11,坂井瑠星,57,ダ1400,良,1:25.6,1.6,3-3,34.5-37.5,38.6,466(-4),タガノクリステル
14,2022/09/04,2札幌8,晴,12,3歳以上2勝クラス,14,3,3,126.0,12,11,鷲頭虎太,54,ダ1700,良,1:48.2,2.3,9-8-11-13,29.1-39.5,40.7,470(0),アンダープロット
15,2022/08/06,1札幌5,晴,10,桑園特別(2勝クラス),14,6,9,14.8,8,14,藤岡佑介,55,ダ1700,良,1:49.1,3.5,3-4-4-5,29.1-37.6,40.8,470(+2),クレスコジョケツ
16,2022/07/23,1札幌1,曇,10,大倉山特別(2勝クラス),10,7,9,8.2,5,6,藤岡佑介,57,ダ1700,稍,1:46.9,1.0,3-3-3-3,30.1-38.4,39.2,468(-2),モズピンポン
17,2021/12/18,6中京5,晴,12,大須特別(2勝クラス),15,3,5,21.4,7,12,富田暁,57,ダ1400,重,1:24.8,2.5,2-2,34.4-36.3,38.7,470(+6),オーマイガイ
18,2021/11/27,5東京7,晴,8,3歳以上2勝クラス,16,4,7,7.0,4,8,ルメール,57,ダ1400,稍,1:25.8,0.7,7-5,36.5-36.0,36.2,464(+2),イディオム
19,2021/08/22,2札幌4,曇,10,大通公園特別(2勝クラス),14,4,5,3.7,1,12,ルメール,57,ダ1700,良,1:48.5,3.0,4-3-3-3,29.3-38.4,41.1,462(+4),ロードエクレール
20,2021/08/01,1函館10,曇,12,竜飛崎特別(2勝クラス),14,8,14,3.7,1,3,ルメール,57,ダ1700,良,1:46.4,0.4,4-4-2-1,29.0-38.8,39.1,458(-10),ヴィーダ
21,2021/06/20,1札幌4,曇,12,報知杯大雪山特別(2勝クラス),10,7,8,17.3,6,3,藤岡佑介,57,ダ1700,稍,1:45.2,0.4,3-3-2-2,29.7-37.6,37.9,468(+4),フルデプスリーダー
22,2021/06/13,1札幌2,晴,12,桑園特別(2勝クラス),10,3,3,4.4,2,5,藤岡佑介,57,ダ1700,良,1:47.2,1.7,4-4-4-2,29.6-37.7,39.1,464(+2),ペイシャキュウ
23,2021/02/13,2小倉1,晴,11,和布刈特別(2勝クラス),16,1,1,32.8,10,7,富田暁,56,ダ1700,良,1:46.1,1.3,5-5-12-9,30.5-37.1,37.6,462(0),メイショウヨカゼ
24,2021/01/23,1小倉3,雨,11,小倉城特別(2勝クラス),16,7,13,7.2,3,13,富田暁,56,ダ1700,重,1:44.7,1.1,3-3-3-2,30.0-37.0,38.0,462(+4),メイショウハリオ
25,2020/11/15,5東京4,晴,12,3歳以上2勝クラス,16,1,2,6.3,2,7,三浦皇成,56,ダ1600,良,1:38.5,0.8,6-6,36.6-35.9,36.1,458(-6),タガノビューティー
26,2020/09/06,2札幌8,晴,12,釧路湿原特別(2勝クラス),13,5,7,1.6,1,7,横山武史,54,ダ1700,良,1:46.5,0.8,1-1-1-1,30.1-37.7,38.5,464(+2),ヴォカツィオーネ
27,2020/08/23,2札幌4,晴,10,大通公園特別(2勝クラス),14,4,5,1.8,1,2,ルメール,54,ダ1700,良,1:46.7,0.1,3-4-4-2,30.5-39.2,38.9,462(0),シェダル
28,2020/08/08,1札幌5,晴,8,3歳以上1勝クラス,14,7,11,2.8,2,1,ルメール,54,ダ1700,良,1:44.9,-0.6,2-2-2-1,30.0-37.7,37.6,462(+10),(カネコメノボル)
29,2020/05/02,3京都3,晴,6,3歳1勝クラス,16,7,13,7.1,4,4,武豊,56,ダ1800,良,1:52.8,1.3,5-5-4-3,36.4-36.6,37.4,452(-2),ダイメイコリーダ
30,2020/03/28,2阪神1,曇,6,3歳1勝クラス,13,3,3,8.6,4,3,北村宏司,56,ダ1800,重,1:51.8,1.0,5-6-6-6,36.7-37.7,37.4,454(-6),ミステリオーソ
31,2020/03/08,2中山4,雨,6,3歳1勝クラス,9,8,9,10.3,3,3,武豊,56,ダ1800,重,1:54.4,0.4,5-5-4-3,35.9-39.6,39.0,460(-4),シェダル
32,2019/11/30,5阪神1,曇,3,2歳未勝利,10,5,5,5.6,4,1,武豊,55,ダ1800,良,1:55.3,-0.2,2-2-2-2,38.4-37.8,37.8,464(0),(クリノヴジュアル)
33,2019/11/10,3福島4,晴,3,2歳未勝利,15,6,11,15.6,7,2,田辺裕信,55,ダ1700,良,1:48.9,0.5,13-13-9-7,30.3-39.5,39.0,464(-6),イバル
34,2019/10/20,4京都7,晴,5,2歳新馬,13,4,5,62.4,10,11,藤岡佑介,55,芝1800,稍,1:52.5,1.6,8-8,36.8-35.6,36.5,470(0),レクセランス
