,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/07/04,佐賀,雨,10,グロリオサ賞,8,1,1,2.7,1.0,7.0,出水拓人,55,ダ1300,不,1:25.9,1.9,5-3-1-5,0.0-39.9,41.7,468(-6),エイシンピナクル
1,2023/06/10,佐賀,雨,8,うまかつJC1St第,9,7,7,2.0,1.0,1.0,出水拓人,56,ダ1400,不,1:30.9,-0.2,3-3-3-2,0.0-38.4,38.1,474(-1),(ラインスプラッシュ)
2,2023/05/27,佐賀,晴,7,KYUSHUDREA,10,7,7,4.9,3.0,2.0,出水拓人,56,ダ1400,良,1:31.8,0.2,3-4-2-2,0.0-38.5,38.6,475(-1),サクセッサー
3,2023/04/24,佐賀,小雨,10,ダイヤモンド特選,12,6,7,3.3,2.0,3.0,出水拓人,56,ダ1800,良,2:03.0,0.5,5-5-2-2,0.0-40.1,40.3,476(0),サクセッサー
4,2023/04/02,佐賀,晴,10,エイプリル特選,10,8,9,3.8,2.0,2.0,出水拓人,56,ダ1750,良,1:59.1,0.4,6-8-4-1,0.0-40.3,39.7,476(-1),ラファエーレ
5,2023/03/24,佐賀,曇,7,KYUSHUDREA,9,8,9,1.4,1.0,5.0,出水拓人,56,ダ1400,不,1:31.7,1.6,3-4-3-4,0.0-37.9,39.0,477(0),グットクルサマー
6,2023/03/11,佐賀,晴,9,うまかつジョッキーズ,12,1,1,2.4,1.0,1.0,出水拓人,56,ダ1400,重,1:31.3,-0.3,5-6-3-1,0.0-39.6,39.1,477(+4),(ジュリエンヌ)
7,2023/02/19,佐賀,曇,10,アメジスト特選,11,6,7,6.2,2.0,1.0,出水拓人,56,ダ1800,不,2:00.3,-0.3,5-5-5-2,0.0-40.5,40.2,473(-1),(ラファエーレ)
8,2023/01/23,佐賀,晴,7,佐賀競馬移転開設50,11,6,6,4.1,3.0,1.0,出水拓人,56,ダ1400,不,1:30.7,0.0,4-4-4-2,0.0-39.8,39.6,474(-8),(ジュリエンヌ)
9,2023/01/15,佐賀,雨,10,みずがめ座特選,10,8,11,3.1,2.0,1.0,出水拓人,56,ダ900,不,0:54.7,-0.1,2-2,0.0-36.6,36.2,482(+3),(プライモーディアル)
10,2022/12/25,佐賀,曇,2,KYUSHUDREA,10,2,2,2.5,1.0,1.0,出水拓人,56,ダ1300,不,1:23.8,-0.4,4-3-3-2,0.0-38.7,38.4,479(-1),(コスモスフレ)
11,2022/12/04,佐賀,曇,2,C2ー8組,9,2,2,10.2,3.0,3.0,竹吉徹,56,ダ1400,稍,1:33.4,1.3,6-5-5-3,0.0-39.1,40.0,480(+9),テイエムウイン
12,2022/11/05,佐賀,晴,2,C2ー15組,11,7,8,5.1,2.0,1.0,出水拓人,56,ダ1300,良,1:29.7,-0.1,11-11-7-4,0.0-41.7,40.0,471(-1),(コートリーアスペン)
13,2022/10/24,佐賀,晴,2,さがけいば無料ネット,10,4,4,10.1,4.0,2.0,出水拓人,56,ダ1400,稍,1:32.8,0.8,5-5-6-4,0.0-40.1,40.4,472(+4),キタサンガイセン
14,2022/10/02,佐賀,晴,7,宗政酒造「宗政」賞,12,1,1,16.9,6.0,4.0,出水拓人,56,ダ1300,良,1:25.2,0.7,5-5-6-4,0.0-39.0,39.0,468(+2),テイエムウイン
15,2022/09/20,佐賀,晴,5,さがけいば無料ネット,9,6,6,3.5,2.0,6.0,出水拓人,56,ダ1400,重,1:33.4,1.6,2-2-2-6,0.0-39.1,40.6,466(+2),ルージュヴェルダ
16,2022/09/18,佐賀,,5,さがけいば無料ネット,0,6,6,,,,出水拓人,56,ダ1400,,,,,,,計不,
17,2022/09/04,佐賀,晴,11,SAGAリベンジャー,12,1,1,7.8,4.0,1.0,出水拓人,56,ダ1300,稍,1:25.9,0.0,4-3-2-1,0.0-40.9,40.6,464(0),(ベルトゥジュール)
18,2022/08/03,名古屋,晴,10,名古屋CCラズベリー,10,6,6,7.8,2.0,8.0,岡部誠,56,ダ1500,良,1:38.1,3.2,6-6-7,0.0-38.3,40.8,464(+6),ワンダーウィルク
19,2022/07/02,3小倉1,晴,7,3歳未勝利,16,6,11,128.6,10.0,9.0,藤懸貴志,56,ダ1700,良,1:48.8,2.5,11-12-10-9,31.0-38.3,39.7,458(+2),ブライトホルン
20,2022/03/26,2中京5,小雨,4,3歳未勝利,18,2,3,471.3,18.0,13.0,太宰啓介,56,芝1400,良,1:22.8,1.8,17-18,34.5-34.9,35.0,456(0),サトノレギオン
