,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/04/26,大井,曇,10,こじし座特別競走,16,4,7,8.2,4,5,笹川翼,56,ダ2000,重,2:13.4,0.7,10-10-6-4,37.2-41.8,41.7,469(+11),マリアッチ
1,2024/04/10,大井,晴,10,こぐま座特別競走,15,3,4,12.0,6,6,谷内貫太,54,ダ1800,重,2:01.0,1.3,10-10-9-8,38.3-41.3,41.4,458(-3),アルシャイン
2,2024/03/21,大井,晴,8,バラライカ賞,14,3,4,4.7,2,4,笹川翼,56,ダ1600,良,1:45.6,0.3,8-7-7-7,38.2-41.3,40.5,461(+1),サーストントラスト
3,2024/02/28,大井,晴,8,C2八　九,14,4,5,6.2,3,3,笹川翼,56,ダ1600,稍,1:46.7,0.3,10-8-11-9,39.7-41.5,41.0,460(+12),ボニファシオ
4,2023/10/31,大井,曇,7,C1八　九十,12,3,3,29.1,10,6,今野忠成,56,ダ1600,良,1:45.2,1.2,10-10-10-8,38.5-40.6,40.6,448(-2),バクシンフォワード
5,2023/10/02,大井,晴,7,C1八　九十,14,2,2,13.9,6,8,今野忠成,56,ダ1600,良,1:42.7,0.8,8-7-8-7,37.7-39.4,39.4,450(-4),クラッチシュート
6,2023/09/21,大井,曇,10,みなみのうお座特別競,13,2,2,9.2,5,7,今野忠成,56,ダ2000,良,2:10.0,1.6,7-7-10-9,37.0-38.7,38.9,454(+2),リックマーベル
7,2023/08/17,大井,晴,11,ペルセウス座特別競走,10,8,9,5.7,5,1,今野忠成,56,ダ1700,重,1:48.8,-0.1,9-9-9-5,31.3-39.5,38.5,452(-5),(アンファスエシャペ)
8,2023/03/09,大井,晴,8,C2五　六,13,5,7,60.5,9,3,今野忠成,56,ダ1600,良,1:43.2,0.2,8-7-7-7,38.3-39.1,38.9,457(+3),ローゼンヴォルフ
9,2023/02/23,大井,晴,7,C2四　五,16,1,1,28.0,8,11,今野忠成,56,ダ1200,良,1:15.1,1.3,15-15,35.0-38.8,37.6,454(+4),フレディバローズ
10,2023/01/25,大井,晴,7,C2五　六,14,8,13,18.8,9,12,本橋孝太,56,ダ1600,良,1:45.7,1.7,13-14-14-14,38.2-40.5,40.4,450(-9),スペラーレ
11,2022/12/30,大井,晴,6,C2三　四,12,6,8,3.6,2,9,本橋孝太,56,ダ1600,良,1:45.2,1.2,4-4-3-5,38.4-39.9,41.1,459(+1),ヒューリスティクス
12,2022/08/14,4小倉2,晴,3,3歳未勝利,16,6,11,7.8,4,6,藤岡康太,56,ダ1700,良,1:47.5,1.2,6-5-4-4,30.1-38.1,38.9,458(+6),アークデトリオンフ
13,2022/07/02,3小倉1,晴,7,3歳未勝利,16,4,7,4.7,3,6,岩田望来,56,ダ1700,良,1:47.7,1.4,6-4-4-4,31.0-38.3,39.3,452(-6),ブライトホルン
14,2022/04/03,2阪神4,曇,1,3歳未勝利,12,3,3,1.7,1,3,岩田望来,56,ダ1800,良,1:56.0,0.5,2-2-2-2,37.7-38.6,39.0,458(-2),ホウオウスミヨシ
15,2022/03/12,1阪神9,晴,4,3歳未勝利,11,2,2,20.1,4,2,岩田望来,56,ダ1800,良,1:55.7,0.1,1-1-1-1,38.6-38.2,38.3,460(0),ダノンフューチャー
