,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/09/28,佐賀,晴,6,3歳ー5組,11,8,11,1.5,1,2,田中直人,54,ダ1400,良,1:30.5,0.3,3-3-3-2,0.0-39.1,39.1,431(-10),ホーハイト
1,2024/09/15,佐賀,曇,2,3歳ー7組,9,8,9,1.2,1,1,田中直人,54,ダ1300,良,1:23.7,-0.6,2-2-2-1,0.0-37.6,37.5,441(+8),(ダイメイオトヒメ)
2,2024/08/25,佐賀,曇,5,ボートレースびわこカ,9,3,3,1.4,1,1,田中直人,54,ダ1300,良,1:24.1,-0.9,5-5-4-1,0.0-39.0,38.2,433(+9),(カイマナエレエレ)
3,2024/07/24,門別,曇,7,リゲル特別,8,3,3,16.3,4,3,石川倭,55,ダ1200,良,1:15.8,0.3,6-7,0.0-38.0,37.8,424(-8),ボイラーメーカー
4,2024/04/27,2東京3,曇,1,3歳未勝利,16,4,8,72.9,6,8,永野猛蔵,54,ダ1400,稍,1:27.2,3.2,4-4,36.1-35.4,38.2,432(-2),アピーリングルック
5,2024/02/24,2中山1,晴,4,3歳未勝利,16,3,6,11.5,5,9,江田照男,55,ダ1800,稍,1:58.0,1.8,9-8-8-8,38.2-39.3,40.5,434(0),ジュレブランシュ
