race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202503010512,2025/04/26,福島,晴,12,4歳以上1勝クラス,1勝クラス,13,8,12,197.9,13.0,12,古川奈穂,53.0,ダート,1700,良,0:1:48.8,1.7,7-9-10-10,38.7,480,マッスルバック
202505010712,2025/02/22,東京,晴,12,4歳以上1勝クラス,1勝クラス,16,8,15,190.1,13.0,11,長浜鴻緒,53.0,ダート,1600,良,0:1:39.9,1.7,11-15,38.0,482,ホウオウフェイント
202407040607,2024/12/15,中京,晴,07,3歳以上1勝クラス,1勝クラス,16,2,4,86.1,13.0,12,古川奈穂,53.0,ダート,1400,良,0:1:25.7,1.2,13-13,37.8,474,レッドフランカー
202405050206,2024/11/03,東京,晴,06,,1勝クラス,15,2,2,82.6,11.0,9,古川奈穂,52.0,ダート,1400,重,0:1:24.9,0.5,10-11,36.5,478,ヨゾラノムコウニ
202404030212,2024/08/11,新潟,晴,12,3歳以上1勝クラス,1勝クラス,15,5,9,130.5,13,14,原優介,55,ダート,1200,良,1:14.1,2.7,11-12,38.5,492,サフランヒーロー
202404010308,2024/05/04,新潟,晴,8,4歳以上1勝クラス,1勝クラス,11,8,11,155.1,11,9,小林勝太,53,ダート,1800,良,1:56.9,2.4,5-5-6-7,39.9,488,アイファーグローブ
202403010203,2024/04/07,福島,晴,3,4歳以上1勝クラス,1勝クラス,15,1,1,45.4,12,13,菱田裕二,56,ダート,1700,良,1:49.1,3.0,9-9-11-10,41.6,486,エバーハピネス
,2023/12/11,水沢,晴,3,オッズパークAI予想,,11,5,5,1.0,1,1,高松亮,54,ダート,1300,稍,1:22.6,-0.5,2-2-1-1,39.1,495,(グラデュエイト)
