,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/10/14,4新潟1,晴,4,障害3歳以上未勝利,13,4,5,15.4,5,10,小野寺祐,60,障2850,良,3:08.4,2.6,6-4-6-5,102.1-36.9,13.2,464(+12),ロスコフ
1,2023/06/24,3東京7,曇,12,3歳以上1勝クラス,16,4,7,74.0,11,12,原優介,56,芝1600,良,1:34.1,1.2,7-7,34.0-35.1,35.8,452(0),キタノブライド
2,2023/04/23,2東京2,晴,8,4歳以上1勝クラス,15,3,4,15.0,7,14,津村明秀,58,芝1600,良,1:33.8,1.1,5-4,34.8-34.5,35.3,452(-20),ヴルカーノ
3,2023/02/19,1東京8,曇,7,4歳以上1勝クラス,16,4,8,23.0,6,7,永野猛蔵,57,芝1800,良,1:47.4,0.9,4-3-3,35.8-34.7,35.2,472(+18),エスコバル
4,2022/11/13,5東京4,曇,7,3歳以上1勝クラス,16,3,6,18.7,7,15,岩田望来,57,ダ1600,良,1:42.1,5.1,1-1,35.7-36.8,41.9,454(+10),ヴァーンフリート
5,2022/10/23,4新潟4,雨,9,柏崎特別(1勝クラス),16,5,10,12.4,7,8,秋山稔樹,57,芝1600,稍,1:36.4,0.4,2-2,36.3-35.1,35.4,444(-2),タイゲン
6,2022/08/07,2新潟4,晴,12,3歳以上1勝クラス,18,5,9,39.4,12,3,岩田望来,57,芝1600,良,1:33.6,0.2,1-1,35.5-33.9,34.1,446(-8),コミカライズ
7,2022/05/29,1新潟8,晴,11,三国特別(1勝クラス),13,3,3,15.1,6,5,秋山稔樹,57,芝1600,良,1:34.2,0.2,1-1,34.5-35.4,35.6,454(0),マイネルダグラス
8,2022/05/15,1新潟4,晴,8,4歳以上1勝クラス,9,8,9,9.2,5,4,秋山稔樹,56,芝1800,良,1:47.9,0.8,1-1,35.0-35.7,36.5,454(-6),ジャンカズマ
9,2022/03/21,2中山8,晴,7,4歳以上1勝クラス,14,3,3,143.2,14,8,坂井瑠星,57,芝2000,稍,2:01.9,0.4,3-2-3-3,36.0-36.2,36.3,460(+2),リリーブライト
10,2022/02/20,1東京8,曇,7,4歳以上1勝クラス,16,8,15,95.2,12,12,吉田隼人,56,芝1800,重,1:48.9,1.6,12-12-14,34.9-36.6,36.1,458(+6),ノワールドゥジェ
11,2021/12/24,大井,晴,5,C1十　1112,11,5,5,2.0,1,5,藤本現暉,56,ダ1600,稍,1:43.8,0.6,5-5-7-5,38.1-39.9,39.8,452(-5),ロジディープ
12,2021/11/17,大井,晴,4,C2七　八,12,1,1,1.5,1,1,藤本現暉,56,ダ1600,良,1:43.6,-0.1,6-5-4-3,39.2-39.0,38.8,457(+3),(クッキートン)
13,2021/10/31,大井,雨,1,C214　15,14,2,2,7.3,2,1,藤本現暉,56,ダ1600,重,1:43.9,-1.0,5-4-3-3,37.9-40.8,40.5,454(+2),(ヨリクンロード)
14,2021/08/22,4小倉4,小雨,4,3歳未勝利,14,8,13,9.6,6,6,岩田望来,56,芝2000,稍,2:02.2,0.5,5-6-6-7,35.9-36.7,36.4,452(+2),ケンハービンジャー
15,2021/07/31,3新潟3,晴,4,3歳未勝利,18,7,15,7.7,5,6,岩田望来,56,芝2200,良,2:13.4,1.2,5-5-6-6,34.4-35.6,36.2,450(-2),ギブンアンソート
16,2021/07/03,3小倉1,小雨,3,3歳未勝利,16,5,9,18.4,6,3,岩田望来,56,芝1800,良,1:45.9,2.1,4-5-5-6,35.4-34.2,35.3,452(-8),エスコーラ
17,2021/05/23,3中京6,晴,4,3歳未勝利,16,5,9,13.3,5,7,松田大作,56,芝1600,良,1:35.2,1.2,13-13-11,35.1-35.8,35.9,460(-6),ユキノフラッシュ
18,2021/01/09,1中京2,晴,5,3歳未勝利,16,6,12,12.5,6,6,福永祐一,56,芝2000,良,2:02.1,0.9,8-8-6-4,36.7-35.9,36.5,466(-2),ノースザワールド
19,2020/12/19,6阪神5,晴,5,2歳新馬,18,1,1,4.7,3,5,福永祐一,55,芝1600,良,1:37.4,0.5,4-4,36.9-34.4,34.6,468(0),エリザベスタワー
