,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/10/10,川崎,曇,9,音楽のまち・かわさき,12,8,12,36.2,8,2,佐野遥久,51,ダ1400,重,1:32.7,0.1,1-1-1-1,38.6-41.8,41.9,411(+3),コールブランド
1,2024/07/13,1函館11,晴,12,3歳以上1勝クラス,13,2,2,186.0,13,12,角田大河,52,芝1200,良,1:11.0,0.9,7-6,34.6-35.5,35.7,408(-4),ハートホイップ
2,2024/07/06,1函館9,曇,12,3歳以上1勝クラス,8,8,8,72.1,8,7,小林勝太,50,芝1200,良,1:11.0,1.3,7-7,34.8-34.9,35.5,412(0),スミレファースト
3,2024/06/30,1函館8,晴,2,3歳未勝利,14,3,4,113.3,12,12,大野拓弥,55,ダ1700,良,1:49.3,2.1,10-10-11-9,29.0-39.5,40.5,412(+4),プルーヴンウィナー
4,2024/06/15,1函館3,晴,3,3歳未勝利,12,5,5,51.5,9,10,今村聖奈,52,ダ1000,良,1:01.3,1.1,9-11,35.9-36.7,37.2,408(+4),サンマルブーケ
5,2024/03/09,1阪神5,晴,1,3歳未勝利,16,6,11,162.6,8,8,鷲頭虎太,52,ダ1200,良,1:15.6,1.3,13-13,35.6-38.7,38.5,404(0),ルミナスサンライズ
6,2024/03/03,1阪神4,晴,1,3歳未勝利,16,4,7,31.2,7,9,角田大河,54,ダ1200,稍,1:15.8,2.9,5-6,36.0-36.9,39.0,404(0),ピストンボーイ
7,2024/02/18,2京都8,曇,2,3歳未勝利,15,3,5,79.9,9,10,国分恭介,55,ダ1200,稍,1:14.0,1.4,6-4,35.8-36.8,37.7,404(+6),プロミシングスター
8,2024/02/03,2京都3,曇,1,3歳未勝利,12,6,8,58.5,7,4,田口貫太,54,ダ1200,良,1:14.0,1.4,2-3,35.8-36.8,38.0,398(-2),モイラ
9,2024/01/08,1京都3,晴,1,3歳未勝利,16,8,16,22.3,5,7,田口貫太,53,ダ1200,良,1:14.7,0.8,4-4,35.5-38.4,38.8,400(0),サムデイ
10,2023/11/19,3福島6,晴,1,2歳未勝利,16,6,12,7.9,6,5,佐々木大,54,ダ1150,重,1:10.6,1.8,6-7,31.9-36.9,38.0,400(+2),ビバップ
11,2023/10/28,2京都8,晴,2,2歳未勝利,12,5,6,5.9,4,3,団野大成,55,ダ1200,良,1:13.9,0.8,1-1,36.0-37.1,37.9,398(-4),トッピゴー
12,2023/08/27,3小倉6,晴,1,2歳未勝利,13,4,4,11.4,5,10,団野大成,55,芝1200,良,1:11.2,2.2,4-5,33.3-35.7,37.5,402(+4),アートフォーム
13,2023/08/13,3小倉2,晴,8,フェニックス賞(OP),11,2,2,9.8,3,2,団野大成,55,芝1200,良,1:10.8,0.5,3-3,35.6-34.7,35.0,398(-6),シカゴスティング
14,2023/07/30,2新潟2,晴,1,2歳未勝利,11,6,6,6.1,4,3,団野大成,55,ダ1200,良,1:12.6,0.2,3-3,34.6-37.8,37.9,404(0),メイプルギャング
15,2023/07/08,3中京3,曇,5,2歳新馬,9,3,3,16.6,6,5,西塚洸二,52,芝1400,良,1:24.1,0.4,2-3,36.2-35.2,35.3,404(0),ジューンテイク
