,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/02/27,2中山1,晴,3,3歳未勝利,16,1,1,156.2,11,12,原優介,53,ダ1200,良,1:15.5,2.6,16-16,34.1-38.8,38.4,476(+6),スラップショット
1,2020/12/12,5中山3,曇,1,2歳未勝利,16,5,10,650.9,16,12,原優介,52,ダ1200,良,1:14.2,2.0,14-13,34.2-38.0,38.1,470(+2),パルデンス
2,2020/11/21,5東京5,晴,1,2歳未勝利,16,8,15,199.3,16,14,山田敬士,53,ダ1300,良,1:23.3,3.7,16-16,30.1-36.9,38.3,468(+2),サトノムスタング
3,2020/11/08,5東京2,曇,3,2歳未勝利,16,6,11,110.2,12,14,吉田豊,55,ダ1300,良,1:23.0,3.0,10-9,29.4-39.1,40.0,466(-2),ジェイケイマクフィ
4,2020/10/24,4東京5,晴,4,2歳新馬,16,8,15,93.3,13,14,原優介,52,ダ1600,稍,1:43.1,3.4,6-3,36.0-37.8,40.9,468(0),レオカクテル
