,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2020/06/14,3阪神4,曇,3,3歳未勝利,15,4,6,175.7,14,中,菊沢一樹,53,ダ1800,不,,,3-6-14-15,36.8-39.3,,438(+14),ロニセラ
1,2020/01/18,1小倉1,曇,3,3歳未勝利,18,1,2,228.8,15,16,中谷雄太,54,芝1200,稍,1:11.4,3.1,9-7,33.3-35.0,37.4,424(0),リレーションシップ
2,2019/10/27,3新潟6,雨,1,2歳未勝利,15,7,12,61.7,12,7,吉田隼人,54,芝1400,稍,1:24.3,1.4,8-7,34.3-36.9,37.3,424(-2),メルテッドハニー
3,2019/09/21,4阪神6,曇,5,2歳新馬,15,7,12,127.8,11,8,松若風馬,54,芝1600,良,1:38.0,0.8,11-8,37.1-34.1,34.3,426(0),ロータスランド
