,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/06/28,園田,雨,2,ウマ娘トークショーで,7,6,6,5.7,3,7,吉村智洋,56,ダ1700,不,2:01.9,4.8,5-5-6-6,0.0-42.2,44.5,552(+2),アエディフィカータ
1,2024/05/29,園田,晴,7,C3,6,2,2,3.6,2,4,吉村智洋,56,ダ1700,重,2:00.9,0.6,3-3-1-2,0.0-40.5,41.1,550(+13),ピロコギガマックス
2,2023/11/22,園田,晴,4,C2二,10,4,4,68.5,7,9,大山龍太,56,ダ1400,良,1:34.7,2.2,9-9-10-10,0.0-40.9,41.1,537(-5),サトノドゥーチェ
3,2023/11/04,高知,晴,4,めいの庭3周年特別,11,1,1,6.2,4,11,赤岡修次,56,ダ1600,良,1:53.8,4.0,3-3-6-8,0.0-42.0,45.3,542(+1),ハンメルフェスト
4,2023/10/22,高知,晴,1,C3ー21,11,8,12,1.7,1,10,赤岡修次,56,ダ1300,良,1:30.6,4.3,8-8-9-10,0.0-40.5,43.5,541(-1),モズジャックポット
5,2023/08/26,3新潟5,晴,4,3歳未勝利,15,7,12,22.6,6,6,三浦皇成,56,ダ1800,良,1:56.2,1.7,8-8-4-4,37.2-38.5,39.9,542(-2),ルーラーリッチ
6,2023/04/16,3中山8,晴,4,3歳未勝利,18,5,10,16.8,5,14,松山弘平,56,芝2200,重,2:18.8,2.5,8-8-9-10,36.3-36.8,38.6,544(+4),タナサンブラック
7,2022/12/18,5中山6,晴,2,2歳未勝利,16,8,16,10.3,4,12,石橋脩,55,ダ1800,稍,1:57.6,2.2,9-9-10-10,36.4-39.9,41.0,540(+6),シェットランド
8,2022/11/26,5東京7,曇,6,2歳新馬,16,6,12,1.7,1,6,レーン,55,ダ1600,稍,1:40.0,1.8,9-8,36.3-37.0,37.6,534(0),グランヒマラヤ
