,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/10/06,4東京2,曇,1,2歳未勝利,11,8,10,18.3,6,5,横山和生,55,ダ1600,重,1:37.7,1.0,6-4,35.5-36.4,37.1,500(0),ドゥカート
1,2024/09/15,4中山4,晴,3,2歳未勝利,13,8,12,165.1,12,9,松岡正海,55,ダ1800,良,1:59.3,3.9,5-5-9-12,36.5-39.6,42.1,500(+2),リュキア
2,2024/08/31,3新潟7,曇,2,2歳未勝利,10,1,1,30.3,6,8,松岡正海,55,ダ1800,良,1:59.7,1.1,9-9-9-10,39.0-39.7,39.8,498(-4),アルマグラース
3,2024/08/03,2新潟3,晴,3,2歳新馬,15,6,11,155.1,12,8,松岡正海,55,ダ1800,良,1:58.1,3.4,14-14-12-11,36.3-39.8,41.0,502(0),シンビリーブ
