race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202508030711,2025/10/19,京都,曇,11,秋華賞,オープン,18,8,17,2.1,1,16,川田将雅,55,芝,2000,良,0:2:00.2,1.9,3-4-3-3,36.9,490,エンブロイダリー
202509040411,2025/09/14,阪神,晴,11,ローズS,オープン,17,6,11,2.9,1.0,1,川田将雅,55.0,芝,1800,良,0:1:43.5,-0.2,6-7,34.4,482,(テレサ)
202505021011,2025/05/25,東京,曇,11,オークス,オープン,18,7,15,14.3,4.0,1,シュタル,55.0,芝,2400,良,0:2:25.7,-0.0,11-11-12-11,33.8,474,(アルマヴェローチェ)
202505020211,2025/04/27,東京,晴,11,フローラS,オープン,18,5,10,14.7,7.0,1,シュタル,55.0,芝,2000,良,0:1:58.6,-0.2,8-9-9,33.4,470,(ヴァルキリーバース)
202508010310,2025/02/10,京都,晴,10,,オープン,9,2,2,3.8,3.0,4,川田将雅,55.0,芝,1600,良,0:1:36.1,0.8,6-7,35.1,482,ヴーレヴー
202405040711,2024/10/26,東京,曇,11,アルテミスS(GIII),オープン,11,8,10,3.1,1,6,川田将雅,55,芝,1600,良,1:34.0,0.2,3-3,33.5,476,ブラウンラチェット
202407020205,2024/08/11,中京,晴,5,2歳新馬,新馬,9,1,1,1.2,1,1,川田将雅,55,芝,2000,良,2:04.2,-0.6,8-7-6-4,33.6,476,(ルージュシークエル)
