,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202506050607,2025/12/21,中山,曇,07,2歳未勝利,未勝利,16,5,10,153.6,15,5,原田和真,56,芝,1600,重,0:1:35.6,1.0,14-14-11,35.7,478,ジッピーチューン
1,202506040404,2025/09/14,中山,曇,04,2歳未勝利,未勝利,11,2,2,108.0,9.0,10,原田和真,55.0,ダート,1800,稍重,0:1:59.5,5.7,4-4-4-8,43.8,464,ワンダーディーン
2,202504030302,2025/08/30,新潟,曇,02,2歳未勝利,未勝利,15,3,4,30.3,8.0,12,原田和真,55.0,ダート,1800,良,0:2:00.3,4.6,10-9-6-7,42.8,460,ファイアマン
3,202504020602,2025/08/10,新潟,雨,02,2歳新馬,新馬,12,8,11,62.6,8.0,8,原田和真,55.0,芝,1800,稍重,0:1:50.6,1.8,8-8,34.3,462,オルネーロ
