,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/01/13,佐賀,晴,3,C2ー6組,11,6,6,50.6,8,7,小松丈二,56,ダ1400,良,1:33.4,1.6,11-11-11-9,0.0-40.6,39.8,512(+3),ロトクローバー
1,2023/12/23,佐賀,曇,6,C2ー4組,12,7,10,21.5,4,8,石川倭,56,ダ1400,重,1:31.7,2.0,6-8-9-8,0.0-38.0,38.7,509(-1),キタサンドライバー
2,2023/12/09,佐賀,晴,3,さがけいば無料ネット,11,1,1,21.2,7,7,石川倭,56,ダ1300,良,1:24.3,1.0,1-1-1-2,0.0-38.9,39.9,510(+3),ファイナルソード
3,2023/11/25,佐賀,晴,3,さがけいば無料ネット,11,4,4,41.6,6,7,石川倭,56,ダ1300,良,1:24.5,0.8,5-3-4-5,0.0-39.0,39.5,507(+10),クリノアンカーマン
4,2023/11/11,佐賀,晴,5,C2ー5組,11,1,1,166.3,9,11,中山蓮王,55,ダ1400,良,1:33.4,2.5,1-1-3-8,0.0-40.7,43.2,497(+2),ピエナナイスガイ
5,2023/10/29,佐賀,晴,5,KYUSHUDREA,12,8,12,16.7,5,8,石川慎将,56,ダ1400,良,1:32.5,1.2,1-1-1-2,0.0-39.6,40.8,495(-10),イダテンターボ
6,2023/10/14,佐賀,曇,3,うまてなしDX賞,12,8,12,8.3,4,12,石川慎将,56,ダ1400,良,1:34.2,2.1,3-2-4-8,0.0-39.6,41.4,505(0),サンサンタイヨウ
7,2023/09/10,佐賀,小雨,7,KYUSHUDREA,11,2,2,6.2,2,11,石川慎将,56,ダ1300,良,1:28.2,3.1,2-2-3-7,0.0-39.8,42.9,505(-5),ルーチェビアンカ
8,2023/08/20,佐賀,晴,4,ボートレースびわこカ,11,1,1,8.9,3,3,石川慎将,56,ダ1400,良,1:32.0,0.7,2-3-2-2,0.0-40.2,40.7,510(+5),ロウレイロ
9,2023/07/23,佐賀,晴,7,KYUSHUDREA,12,5,5,1.8,1,8,石川慎将,56,ダ1400,良,1:33.2,2.1,3-3-2-6,0.0-39.5,41.2,505(-2),ポンテビアンカ
10,2023/05/16,金沢,晴,11,第3回SRO記念,9,8,8,20.3,5,6,栗原大河,56,ダ1500,良,1:38.5,1.9,4-6-4-5,0.0-38.9,40.2,507(+1),テイクザワールド
11,2023/05/07,金沢,雨,8,楽天競馬から楽天ポイ,9,6,6,11.5,5,1,吉田晃浩,56,ダ1400,不,1:30.2,-0.1,2-2-2-2,0.0-39.4,38.9,506(+2),(ミイヒダンサー)
12,2023/04/23,金沢,晴,8,OEK×金沢競馬コラ,9,1,1,6.9,3,3,吉田晃浩,56,ダ1500,良,1:38.7,0.3,1-1-1-1,0.0-39.6,39.9,504(-4),メイショウナスカ
