,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/04/09,水沢,雨,9,B1一組,9,2,2,23.0,7,9,坂井瑛音,53,ダ1600,不,1:44.9,3.4,6-6-8-9,0.0-38.1,40.3,503(+7),ロワマージュ
1,2024/03/25,水沢,曇,12,アイスストロベリー賞,12,8,12,46.4,9,8,阿部英俊,56,ダ1600,稍,1:44.9,1.6,9-8-8-7,0.0-39.1,39.8,496(-9),グレートキャンベラ
2,2024/03/12,水沢,小雨,12,アイリス賞,10,2,2,8.9,5,6,阿部英俊,56,ダ1600,重,1:43.1,0.9,8-8-7-8,0.0-39.2,38.9,505(+23),ロワマージュ
3,2024/01/20,1小倉3,雨,10,戸畑特別(1勝クラス),17,3,5,336.7,17,17,角田大和,58,芝2000,稍,2:06.1,4.5,5-6-13-17,36.0-35.9,39.6,482(-8),シランケド
4,2024/01/06,1京都1,曇,7,4歳以上1勝クラス,11,6,6,201.6,11,11,泉谷楓真,57,ダ1800,良,1:55.7,3.5,10-10-10-9,36.4-37.4,40.0,490(+6),ダンテバローズ
5,2023/12/16,4中京5,曇,9,高山特別(1勝クラス),18,5,9,227.8,18,18,古川吉洋,58,芝2200,稍,2:15.9,1.8,5-6-7-10,35.7-34.9,36.0,484(0),コスモフリーゲン
6,2023/12/03,5阪神2,晴,7,3歳以上1勝クラス,11,7,9,108.5,9,9,河原田菜,54,芝1800,良,1:47.4,1.4,8-8,35.5-34.6,35.5,484(+1),ゴートゥファースト
7,2023/11/09,園田,晴,2,C3二,9,6,6,1.2,1,1,川原正一,57,ダ1400,稍,1:33.5,-1.8,2-2-1-1,0.0-41.2,41.1,483(+1),(カワキタアイゼン)
8,2023/07/13,園田,雨,6,C2二,12,8,11,2.6,1,1,川原正一,56,ダ1400,稍,1:32.2,-0.2,3-3-3-3,0.0-40.5,40.1,482(-5),(テリオスノア)
9,2023/06/23,園田,晴,3,C3一,10,7,8,4.4,3,1,川原正一,56,ダ1400,重,1:33.5,-0.5,3-3-2-2,0.0-40.9,40.6,487(-5),(テンノカガヤキ)
10,2023/06/09,園田,曇,3,C3一,11,6,7,2.6,2,6,吉村智洋,56,ダ1400,重,1:35.8,2.3,4-5-3-4,0.0-41.3,43.3,492(-4),オーリプカレディ
11,2023/05/12,園田,晴,3,C3一,10,3,3,2.2,2,3,松本幸祐,56,ダ1400,良,1:34.0,0.6,6-5-6-5,0.0-41.0,41.0,496(+3),シルバーブリス
12,2023/04/20,園田,晴,4,C3一,10,1,1,1.9,1,2,松本幸祐,56,ダ1400,稍,1:33.6,0.0,5-5-5-2,0.0-40.8,40.4,493(+15),ナショナルアンセム
13,2022/11/01,園田,雨,8,C2二,10,7,8,4.2,2,2,川原正一,56,ダ1400,稍,1:33.3,1.0,3-3-3-2,0.0-38.8,39.4,478(-4),ルクスクリスティー
14,2022/09/03,2札幌7,晴,4,3歳未勝利,16,3,5,108.3,13,11,藤岡佑介,56,芝2000,良,2:04.3,2.0,11-12-13-14,36.0-37.1,37.9,482(+14),スコールユニバンス
15,2022/08/20,2札幌3,曇,7,3歳未勝利,16,1,2,36.8,8,5,池添謙一,56,芝2000,稍,2:06.1,1.4,6-6-9-9,37.4-36.0,36.8,468(-20),オオキニ
16,2022/07/17,1函館12,雨,6,3歳未勝利,16,1,1,5.9,3,12,鮫島克駿,56,芝2600,重,2:52.7,3.7,10-11-10-11,37.9-39.1,41.5,488(+14),ジェンヌ
17,2022/06/25,1函館5,曇,6,3歳未勝利,12,5,6,12.6,7,5,池添謙一,56,芝2000,稍,2:02.9,0.4,3-3-3-4,36.0-36.9,35.6,474(-12),ブローザホーン
18,2022/06/11,1函館1,晴,4,3歳未勝利,11,5,5,14.2,6,4,池添謙一,56,芝2000,良,2:01.6,0.4,10-8-4-4,35.6-35.3,35.4,486(-2),ノートルプロメス
19,2022/04/03,2阪神4,曇,4,3歳未勝利,18,8,17,20.7,5,14,藤岡佑介,56,芝2400,良,2:31.0,2.1,16-15-15-2,36.6-34.0,36.1,488(-4),スワヤンブナート
20,2022/03/19,1阪神11,曇,5,3歳未勝利,16,2,4,7.0,3,3,藤岡佑介,56,芝2400,重,2:30.4,1.4,2-2-3-3,37.2-35.5,36.6,492(0),プラダリア
21,2022/02/19,1阪神3,小雨,6,3歳未勝利,15,1,2,4.3,2,5,藤岡佑介,56,芝2400,良,2:29.1,0.9,6-6-6-5,36.7-34.4,34.8,492(+2),アップデート
22,2022/02/06,1中京12,曇,5,3歳未勝利,10,7,7,8.2,3,5,池添謙一,56,芝2200,稍,2:15.8,0.8,6-6-8-8,35.6-36.3,36.3,490(-2),ダノンジャッカル
23,2022/01/10,1中京4,晴,5,3歳未勝利,17,8,17,34.8,9,9,池添謙一,56,芝2000,良,2:02.7,1.9,8-9-9-9,36.0-35.0,35.8,492(+8),セルケト
24,2021/10/10,4阪神2,晴,5,2歳新馬,11,6,7,22.9,7,5,池添謙一,55,芝1800,良,1:50.5,0.6,10-8,37.1-34.1,33.8,484(0),タガノエスコート
