,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/06/27,名古屋,曇,9,B6組,12,5,5,4.2,2,中,加藤聡一,54,ダ1700,良,,,4-8-12,0.0-39.8,,458(+3),スマートアリオン
1,2024/06/17,名古屋,曇,6,C3組,12,7,10,3.2,2,1,加藤聡一,54,ダ1400,良,1:29.6,-0.2,2-2-1,0.0-38.7,38.5,455(-1),(セセラギ)
2,2024/05/31,名古屋,曇,10,牛の滝特別,12,3,3,13.2,4,6,加藤聡一,54,ダ1700,不,1:51.8,1.1,1-1-2,0.0-40.3,41.4,456(+11),グランキューブ
3,2024/05/03,名古屋,晴,4,C8組,12,4,4,7.6,2,1,加藤聡一,54,ダ1400,良,1:29.8,-0.7,1-1-1,0.0-39.1,39.1,445(-5),(マラジェッツ)
4,2024/04/11,名古屋,晴,7,C7組,12,3,3,2.2,1,10,加藤聡一,54,ダ1400,良,1:32.6,1.6,4-5-5,0.0-40.1,41.0,450(+4),セセラギ
5,2024/03/11,川崎,晴,8,カラスミ賞,11,4,4,24.1,4,6,町田直希,54,ダ1500,良,1:41.9,2.5,6-6-5-4,30.6-42.2,43.9,446(-2),ツカサレヴズ
6,2024/01/29,川崎,晴,12,モナコ賞,12,4,4,20.2,5,9,町田直希,54,ダ1400,良,1:34.0,1.9,8-8-7-7,39.4-40.8,41.9,448(+4),イサチルウキウキ
7,2023/12/01,名古屋,晴,4,C6組,12,2,2,3.5,2,1,大畑慧悟,52,ダ1500,良,1:36.6,-0.7,3-3-1,0.0-38.7,38.3,444(-4),(エンジェルワン)
8,2023/11/17,名古屋,曇,3,狂車貴族結成30周年,11,2,2,45.9,7,3,大原浩司,54,ダ1500,不,1:36.4,0.5,1-1-1,0.0-39.2,39.7,448(-4),クリノファイヤー
9,2023/11/06,名古屋,雨,12,入鹿池特別,12,4,4,430.6,12,10,大原浩司,54,ダ1700,稍,1:53.6,3.8,4-7-7,0.0-38.4,41.6,452(+12),ハクサンアルタイル
10,2023/10/05,名古屋,曇,6,C12組,12,7,9,20.6,3,1,宮下瞳,52,ダ1500,重,1:38.2,-0.3,3-2-1,0.0-40.2,40.2,440(-7),(エルーシア)
11,2023/09/06,名古屋,雨,6,廻芽くる毎日プリティ,10,8,10,10.8,4,6,加藤聡一,54,ダ1500,重,1:38.1,3.3,3-4-5,0.0-38.4,41.3,447(-1),ウインプリームス
12,2023/08/23,名古屋,曇,7,第70回たぬきひとみ,9,3,3,22.9,7,7,大畑慧悟,51,ダ1500,良,1:37.8,1.0,4-6-4,0.0-39.8,40.3,448(-5),アムレート
13,2023/08/09,名古屋,小雨,6,家兄生誕記念,10,2,2,14.6,4,4,大畑慧悟,51,ダ1500,良,1:38.0,0.8,4-4-3,0.0-39.6,39.9,453(+16),ジュレップスター
14,2023/06/28,名古屋,晴,6,千原せいじより井上夫,10,6,6,17.1,5,4,大畑慧悟,51,ダ1500,良,1:37.0,0.6,3-3-2,0.0-39.7,40.2,437(-4),ランペイジシチー
15,2023/06/14,名古屋,曇,8,3歳3組,12,2,2,3.7,2,10,宮下瞳,52,ダ1500,重,1:40.0,3.7,8-9-10,0.0-38.4,41.1,441(-5),ヴィアスパークル
16,2023/05/20,1京都9,晴,4,3歳未勝利,18,6,11,95.5,13,8,鮫島克駿,54,芝1200,稍,1:09.6,0.5,6-6,34.3-34.8,34.8,446(+4),ピースフルナイト
17,2023/04/29,1京都3,曇,3,3歳未勝利,14,7,12,53.6,9,7,松若風馬,54,芝1600,良,1:34.6,0.8,10-9,34.1-35.6,35.2,442(-2),サファイア
18,2023/04/22,1京都1,晴,3,3歳未勝利,18,1,2,19.5,6,11,鮫島克駿,54,芝1200,良,1:10.1,1.7,9-7,33.4-35.0,35.9,444(+2),スイープラン
19,2023/01/22,1小倉4,曇,6,3歳未勝利,18,1,2,6.6,3,14,菱田裕二,54,芝1200,良,1:10.5,1.3,6-6,33.0-36.2,36.8,442(-2),カミーロ
20,2022/09/18,5中京4,晴,3,2歳未勝利,8,6,6,7.3,3,4,藤岡康太,54,芝1200,良,1:09.1,1.2,7-7,33.5-34.4,34.6,444(0),ビッグシーザー
21,2022/08/28,4小倉6,晴,6,2歳新馬,9,2,2,3.2,2,2,藤岡康太,54,芝1200,良,1:09.5,0.6,3-3,34.0-34.9,35.1,444(0),バレリーナ
