,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/10/14,4東京4,晴,11,アイルランド府中牝馬(GII),15,4,6,2.3,1,3,川田将雅,56,芝1800,良,1:45.0,0.3,9-8-9,35.1-34.1,33.3,460(+6),ブレイディヴェーグ
1,2024/05/12,2東京8,曇,11,ヴィクトリアマイル(GI),15,4,6,2.3,1,3,モレイラ,56,芝1600,良,1:32.0,0.2,7-8,33.8-35.0,34.1,454(-2),テンハッピーローズ
2,2024/04/06,2阪神5,曇,11,サンスポ杯阪神牝馬S(GII),11,1,1,1.7,1,1,モレイラ,56,芝1600,良,1:33.0,-0.1,4-4,35.4-33.5,33.0,456(+2),(ウンブライル)
3,2024/02/04,1東京4,曇,11,東京新聞杯(GIII),16,3,6,1.9,1,6,岩田望来,56,芝1600,良,1:32.5,0.4,11-11,34.4-34.3,33.2,454(+10),サクラトゥジュール
4,2023/10/15,2京都5,晴,11,秋華賞(GI),18,4,7,13.0,3,2,岩田望来,55,芝2000,稍,2:01.2,0.1,12-13-10-12,36.4-34.0,33.5,444(0),リバティアイランド
5,2023/09/17,4阪神4,晴,11,関西TVローズS(GII),17,6,12,23.2,7,1,岩田望来,54,芝1800,良,1:43.0,-0.2,9-7,34.4-34.0,33.2,444(0),(ブレイディヴェーグ)
6,2023/06/11,3阪神4,曇,8,3歳以上1勝クラス,16,3,6,3.3,2,1,岩田望来,53,芝1800,稍,1:47.3,-0.4,10-8,35.2-35.1,34.6,444(-4),(ポルカリズム)
7,2023/04/09,2阪神6,晴,9,忘れな草賞(L),10,8,9,8.5,5,7,横山武史,54,芝2000,良,1:59.8,0.6,6-6-6-7,35.5-34.3,34.1,448(0),グランベルナデット
8,2023/01/15,1中京6,晴,6,3歳新馬,12,6,7,15.1,6,1,吉田隼人,54,芝2000,重,2:03.5,-0.3,7-7-7-7,37.2-35.1,34.4,448(0),(ウインスノーライト)
