,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2020/08/09,盛岡,曇,9,B1二組,12,6,8,175.0,12,12,坂口裕一,56,ダ1600,不,1:41.4,3.0,11-12,0.0-36.7,37.7,480(-1),アルカサル
1,2020/07/14,盛岡,小雨,9,B1三組,10,5,5,69.5,9,7,坂口裕一,56,ダ1600,稍,1:40.1,1.4,10-10,0.0-38.5,38.1,481(+3),ミズサンタイム
2,2020/06/29,水沢,曇,11,B1二組,9,2,2,27.6,7,8,岩本怜,56,ダ1600,稍,1:45.5,1.1,7-8-8-8,0.0-41.2,40.8,478(+1),バレンティーノ
3,2020/06/14,水沢,雨,9,B1三組,9,7,7,66.2,9,5,坂口裕一,56,ダ1600,良,1:45.3,1.2,8-8-8-6,0.0-40.3,40.0,477(-4),ロンリーウェイ
4,2020/06/02,盛岡,晴,10,B1二組,8,7,7,21.4,7,5,高橋悠里,56,ダ1600,良,1:41.0,0.7,8-8,0.0-39.3,38.5,481(-4),ワンダフルキングス
5,2020/05/18,盛岡,晴,12,ピンクダイヤモンド賞,12,4,4,35.8,9,11,高橋悠里,56,ダ1600,良,1:40.7,1.9,10-11,0.0-38.3,38.8,485(0),チェスターコート
6,2020/05/05,水沢,晴,11,B1一組,10,6,6,62.6,10,8,高橋悠里,56,ダ1600,良,1:47.0,0.7,6-7-9-10,0.0-41.0,40.8,485(+1),ヴェリイブライト
7,2020/04/19,水沢,曇,10,B1二組,10,7,7,100.8,8,7,村上忍,56,ダ1600,重,1:43.9,1.0,2-2-2-4,0.0-39.3,40.2,484(+1),マイネルバローネ
8,2020/04/07,水沢,曇,10,復興祈念夢あふれる未,12,6,7,191.1,12,9,高橋悠里,56,ダ1600,重,1:46.6,2.2,11-12-12-11,0.0-41.8,42.2,483(-3),ワタリセイユウ
9,2020/03/21,水沢,曇,11,ミモザ賞,12,6,7,62.5,10,8,高橋悠里,56,ダ1600,良,1:46.6,2.1,12-12-11-11,0.0-41.0,41.3,486(-12),アドマイヤホルン
10,2019/12/07,水沢,曇,10,クリスマスローズ賞,9,2,2,15.6,6,5,菅原辰徳,56,ダ1800,不,1:57.4,2.1,9-9-7-6,0.0-36.9,37.8,498(+16),エンドゲーム
11,2019/11/11,盛岡,曇,12,ペガスス賞,11,3,3,4.0,2,7,阿部英俊,56,ダ1800,良,1:55.7,1.2,5-5-4-7,0.0-38.7,39.2,482(0),マリーグレイス
12,2019/10/28,盛岡,晴,9,プロキオン賞,12,3,3,5.6,2,4,岩本怜,56,ダ1600,良,1:39.1,1.5,9-4,0.0-36.7,36.8,482(+3),ドヒョウギワ
13,2019/10/14,盛岡,曇,10,うまレター賞,11,5,5,1.5,1,1,菅原辰徳,56,ダ1600,良,1:40.4,-0.3,2-1,0.0-39.4,39.3,479(-2),(ウインシンフォニア)
14,2019/09/29,盛岡,晴,11,南部杯カウントダウン,11,8,11,2.1,1,2,菅原辰徳,56,ダ1600,稍,1:40.1,0.4,2-3,0.0-38.7,39.0,481(0),ノッキングオン
15,2019/09/16,盛岡,小雨,7,B2一組,11,4,4,3.1,1,1,菅原辰徳,56,ダ1600,良,1:41.4,-0.3,3-3,0.0-39.7,39.3,481(-1),(ニシノレディー)
16,2019/08/31,盛岡,曇,10,二戸まつり賞,6,5,5,1.4,1,2,菅原辰徳,56,ダ1800,良,1:56.6,0.2,1-1-1-1,0.0-39.0,39.2,482(+2),フォルシュナイト
17,2019/07/28,盛岡,曇,10,四十八坂賞,10,2,2,5.5,2,1,菅原辰徳,56,ダ1600,良,1:39.8,0.0,3-3,0.0-38.0,37.6,480(-7),(ニシノレディー)
18,2019/07/15,盛岡,晴,11,グリーンチャンネル賞,11,5,5,1.6,1,2,菅原辰徳,56,ダ1600,良,1:41.7,0.4,4-3,0.0-39.2,39.1,487(0),エルドリッジ
19,2019/06/16,水沢,雨,9,C1三組,11,8,10,3.9,2,1,菅原辰徳,56,ダ1400,不,1:27.1,-0.4,3-4-2-2,0.0-38.2,37.9,487(+9),(テルキーネス)
20,2019/04/27,1新潟1,小雨,12,4歳以上500万下,10,7,7,134.5,10,10,上野翔,57,ダ1800,不,1:54.7,3.2,8-9-9-10,36.4-37.2,39.1,478(+26),ディライトプロミス
21,2018/07/29,1札幌2,晴,3,3歳未勝利,14,6,10,15.8,6,7,横山武史,54,ダ1700,良,1:49.3,0.8,12-12-12-13,29.8-40.0,39.1,452(-6),ハギノアグレッシブ
22,2018/07/22,2函館6,曇,3,3歳未勝利,14,3,4,33.7,10,4,中井裕二,56,ダ1700,良,1:48.8,0.5,9-9-10-9,29.8-39.8,39.3,458(-4),ラインマッシモ
23,2018/06/30,1函館5,曇,4,3歳未勝利,11,1,1,9.1,4,6,中井裕二,56,ダ1700,重,1:47.8,1.2,6-5-5-5,30.4-38.8,39.3,462(0),ヴィーヴァバッカス
24,2018/06/17,1函館2,曇,4,3歳未勝利,13,4,5,29.9,10,4,中井裕二,56,ダ1700,良,1:49.3,1.0,8-9-8-9,30.4-39.6,39.8,462(0),ブルベアクワイ
25,2018/05/19,2東京9,曇,4,3歳未勝利,16,1,1,15.7,6,7,蛯名正義,56,ダ1400,良,1:28.6,1.0,14-13,36.1-38.7,38.1,462(-6),サノノタテヤマ
26,2018/03/24,2中京5,晴,3,3歳未勝利,16,1,1,66.0,10,8,横山武史,53,ダ1400,稍,1:26.7,1.3,12-11,35.4-37.8,37.8,468(0),ジュピターカリスト
27,2018/03/10,2中京1,晴,3,3歳未勝利,14,3,3,11.4,5,5,横山武史,53,ダ1400,重,1:27.1,1.0,10-8,35.2-38.7,38.4,468(+4),タラニス
28,2018/02/18,2京都8,晴,6,3歳500万下,16,3,5,430.2,16,8,松岡正海,56,ダ1400,良,1:26.7,1.5,15-14,35.9-37.1,37.0,464(-4),バイラ
29,2018/01/28,1中京6,曇,2,3歳未勝利,16,3,5,16.7,9,6,中井裕二,56,ダ1400,稍,1:28.5,1.0,9-9,36.9-37.6,38.0,468(+4),ナイトスプライト
30,2017/12/17,5阪神6,晴,3,2歳未勝利,16,8,15,242.7,14,4,竹之下智,55,ダ1400,良,1:26.9,0.6,13-13,35.0-38.7,38.0,464(-4),エイシンデジタル
31,2017/12/10,5中山4,晴,4,2歳未勝利,14,7,11,26.6,5,12,武藤雅,52,ダ1800,良,2:01.2,2.8,6-8-10-11,39.3-39.3,41.2,468(+2),レンジストライク
32,2017/11/18,5京都5,雨,2,2歳未勝利,13,4,4,73.7,10,8,竹之下智,55,ダ1200,重,1:12.8,1.0,11-10,35.3-36.5,36.2,466(+4),タガノプレトリア
33,2017/11/04,5東京1,晴,1,2歳未勝利,16,8,16,24.6,7,6,武藤雅,52,ダ1400,良,1:28.0,1.4,14-13,36.3-37.8,37.8,462(0),ミヤギウイング
34,2017/10/22,3新潟4,雨,2,2歳未勝利,15,6,11,23.3,8,7,中井裕二,55,ダ1200,稍,1:13.8,0.9,10-10,35.0-37.9,37.8,462(0),カクリョウ
35,2017/10/08,4東京2,晴,1,2歳未勝利,16,4,8,25.3,8,10,松岡正海,55,ダ1400,重,1:26.9,1.9,6-6,35.4-36.8,38.1,462(+2),タマスカイブルー
36,2017/09/17,4中山4,小雨,1,2歳未勝利,16,7,13,29.0,7,7,松岡正海,54,ダ1200,重,1:12.9,1.2,3-3,33.8-37.9,38.8,460(+8),ニシノオリーブ
37,2017/07/15,2函館3,晴,1,2歳未勝利,12,5,6,74.2,12,3,城戸義政,53,ダ1000,良,1:01.7,1.0,9-8,35.5-37.1,36.8,452(-4),シンデレラマキ
38,2017/07/01,1函館5,曇,1,2歳未勝利,10,8,9,113.6,8,6,城戸義政,53,芝1200,良,1:10.4,1.0,8-8,34.4-35.0,35.3,456(+6),カシアス
39,2017/06/24,1函館3,晴,6,2歳新馬,8,5,5,80.8,8,6,松岡正海,54,ダ1000,良,1:02.4,0.8,5-5,36.5-37.3,37.5,450(0),モルトアレグロ
