,式別,馬番,配当,人気
0,単勝,6,1230,4
1,複勝,6,600,4
2,複勝,3,1400,6
3,複勝,7,370,1
4,馬連,3-6,9750,18
5,ワイド,3-6,1800,17
6,ワイド,6-7,530,6
7,ワイド,3-7,940,11
8,馬単,6→3,17800,32
9,3連複,3-6-7,8480,25
10,3連単,6→3→7,86430,159
