,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202609010110,1,4,8,ベルジュロネット,牡4,58.0,鮫島駿,0:1:23.6,,1,4.2,35.9,,栗東 大久保,546(-2)
202609010110,2,8,15,タマモティーカップ,牝4,56.0,永島,0:1:23.8,3/4,5,13.7,36.5,,栗東 高橋亮,454(-8)
202609010110,3,2,3,ヤマニンアストロン,牡5,58.0,高杉,0:1:24.1,2,7,22.2,35.6,,栗東 石橋,504(+10)
202609010110,4,4,7,トゥロン,牝4,56.0,団野,0:1:24.2,1/2,8,24.0,36.2,,栗東 佐々木,510(-8)
202609010110,5,2,4,シゲルソロソロ,牝6,56.0,ハマー,0:1:24.2,1/2,13,87.1,35.7,,栗東 谷,482(-4)
202609010110,6,3,6,ペイシャケイプ,牡4,58.0,横山典,0:1:24.3,1/2,3,4.6,35.0,,栗東 高橋康,542(-2)
202609010110,7,3,5,ハクサンアイリス,牡4,58.0,松山,0:1:24.3,ハナ,6,14.2,36.6,,栗東 高橋一,484(-2)
202609010110,8,1,1,ラファル,牡4,58.0,岩田望,0:1:24.4,クビ,4,5.3,36.5,,栗東 田中克,524(-2)
202609010110,9,5,9,タガノシャーンス,牝6,56.0,幸,0:1:24.5,3/4,11,28.6,35.8,,栗東 中尾,470(+2)
202609010110,10,7,14,ヴェロクオーレ,牝5,56.0,坂井,0:1:24.7,1,2,4.3,37.4,,栗東 石坂,476(-4)
202609010110,11,8,16,リネアグローリア,牡5,58.0,酒井,0:1:24.7,アタマ,9,26.9,36.0,,栗東 小崎,478(0)
202609010110,12,6,11,タマモダイジョッキ,牡8,58.0,田口,0:1:24.7,クビ,14,96.7,35.6,,栗東 緒方,490(+8)
202609010110,13,6,12,メイショウヤーキス,牡5,58.0,菱田,0:1:24.8,3/4,10,27.7,37.7,,栗東 飯田,458(+2)
202609010110,14,5,10,ジャーヴィス,牡6,58.0,藤懸,0:1:24.9,1/2,12,62.8,35.9,,栗東 千田,496(+2)
202609010110,15,7,13,グラスシフォン,牝6,56.0,佐々木,0:1:25.2,2,15,285.2,36.9,,美浦 松山,434(+2)
202609010110,16,1,2,キュムロンニンバス,牡8,58.0,木幡育,0:1:25.4,1,16,360.0,36.6,,美浦 南田,500(-8)
