,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アブキールベイ,牝3,55.0,吉村,坂口,,栗東,2022101623,01216,ファインニードル,アゴベイ,ハーツクライ
1,,,エイシンフェンサー,牝5,56.0,川又,吉村,,栗東,2020100105,01166,ファインニードル,エーシンパナギア,エイシンサンディ
2,,,エーティーマクフィ,牡6,57.0,富田,武英,,栗東,2019105859,01168,マクフィ,テンシンランマン,ハーツクライ
3,,,オタルエバー,牡6,57.0,荻野琢,中竹,,栗東,2019105658,01112,リオンディーズ,ルージュクール,Redoute's Choice
4,,,カルチャーデイ,牝4,55.0,横山典,四位,,栗東,2021104556,00660,ファインニードル,ラルティスタ,マイネルラヴ
5,,,クラスペディア,牡3,56.0,小崎,河嶋,,栗東,2022106394,01152,ミスターメロディ,ウンベラータ,アグネスタキオン
6,,,ジャスティンスカイ,牡6,57.0,荻野極,友道,,栗東,2019105512,01160,キタサンブラック,リアリサトリス Realisatrice(仏),Numerous
7,,,ジャスパークローネ,牡6,57.0,丸山,森秀,,栗東,2019110107,01127,Frosted (米),Fancy Kitten,Kitten's Joy (米)
8,,,ショウナンザナドゥ,牝3,55.0,菱田,松下,,栗東,2022105071,01144,キズナ,ミスエーニョ Mi Sueno(米),Pulpit
9,,,テイエムスパーダ,牝6,56.0,斎藤,小椋,,栗東,2019103422,01178,レッドスパーダ,トシザコジーン,アドマイヤコジーン
10,,,ナムラクララ,牝3,54.0,武豊,長谷川,,栗東,2022102887,00666,アドマイヤマーズ,サンクイーンII Sun Queen(米),Storm Cat (米)
11,,,ペアポルックス,牡4,57.0,松若,梅田,,栗東,2021102320,01154,キンシャサノキセキ,ミラクルアスク,ディープインパクト
12,,,メイショウソラフネ,牡6,57.0,高杉,石橋,,栗東,2019103714,01213,モーリス,メイショウデイム,マンハッタンカフェ
13,,,モズメイメイ,牝5,55.0,国分恭,前川,,栗東,2020102764,01124,リアルインパクト,インラグジュアリー,Frankel
14,,,ヤマニンアルリフラ,牡4,58.0,団野,斉藤崇,,栗東,2021106601,01180,イスラボニータ,ヤマニンパピオネ,スウェプトオーヴァーボード Swept Overboard(米)
15,,,ヨシノイースター,牡7,57.0,内田博,中尾,,栗東,2018106055,00422,ルーラーシップ,アースプレイ,ゼンノロブロイ
16,,,ルガル,牡5,59.0,西村淳,杉山晴,,栗東,2020106851,01171,ドゥラメンテ,アタブ Atab(愛),New Approach
17,,,レイピア,牡3,56.0,鮫島駿,中竹,,栗東,2022103066,01157,タワーオブロンドン,アンナトルテ,エンパイアメーカー Empire Maker(米)
