,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アルヴァンドルード,牡2,56.0,西村淳,池添,,栗東,2023107113,01171,モーリス,ティグラーシャ,ディープインパクト
1,,,サウンドムーブ,牡2,56.0,団野,斉藤崇,,栗東,2023101449,01180,リアルスティール,サウンドルチア,スクリーンヒーロー
2,,,サーブルディアマン,牡2,56.0,田口,坂口,,栗東,2023103690,01208,サトノダイヤモンド  2013 鹿毛  [血統][産駒]  Halo系,サーブルクーリール  2013 青鹿毛  [血統][産駒]  FNo.[8-f],Tale of the Cat  (米)  1994 黒鹿毛  [血統][産駒]
3,,,チェリヴェント,牡2,55.0,☆吉村,清水久,,栗東,2023104387,01216,コントレイル,クリアリーコンフューズド Clearly Confused(米),Successful Appeal (米)
4,,,ハクアイノアール,牡2,56.0,松若,今野,,栗東,2023101706,01154,サートゥルナーリア  2016 黒鹿毛  [血統][産駒]  Mr. Prospector系,ヴィーヴィーグッドナイト  V V Goodnight(米)  2011 黒鹿毛  [血統][産駒]  FNo.[16-h],Midnight Lute  2003 黒鹿毛  [血統][産駒]
5,,,ヒロウッドテール,牡2,56.0,鮫島良,河嶋,,栗東,2023100339,01099,カリフォルニアクローム  California Chrome(米),レインドロップス,ロードカナロア
6,,,フィアスゲイル,牝2,55.0,荻野極,武幸,,栗東,2023107193,01160,ドレフォン  Drefong(米),ブランシェクール,ダイワメジャー
7,,,ブラックジャック,牡2,54.0,◇永島,須貝,,栗東,2023104933,01187,ダノンスマッシュ,ダブルファンタジー,ジャイアントレッカー  Giant Wrecker(米)
8,,,ベルトナリテ,牝2,55.0,鮫島駿,辻野,,栗東,2023103549,01157,サトノダイヤモンド,ベルスール,スウェプトオーヴァーボード  Swept Overboard(米)
9,,,マクローリン,牡2,56.0,富田,加藤公,,栗東,2023101994,01168,ヴァンゴッホ,ドリームライクエマ,Frankel
10,,,マジックアロマ,牝2,55.0,古川吉,小栗,,栗東,2023105265,01015,ヘニーヒューズ  Henny Hughes(米),アドマイヤアロマ,ネオユニヴァース
11,,,ラップトップ,牝2,52.0,▲田山,小栗,,栗東,2023100238,01220,リオンリオン,ラベ,ダンスインザダーク
12,,,ルージュビバーチェ,牝2,55.0,菱田,橋口,,栗東,2023107337,01144,ミスターメロディ,レッドクラウディア,アグネスタキオン
