,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アーロンイメル,牡4,58.0,西村淳,高橋一,,栗東,2021100255,01171,パイロ Pyro(米),アビス,ダイワメジャー
1,,,イデアイゴッソウ,牡4,58.0,横山典,小野,,美浦,2021103096,00660,サンダースノー Thunder Snow(愛),イデアオブクィーン,キングカメハメハ
2,,,サイモンブーケ,牝5,56.0,古川奈,梅田,,栗東,2020102317,01190,ダイワメジャー,サイモンガーランド,ロージズインメイ Roses in May(米)
3,,,サンライズグルーヴ,牡5,58.0,荻野極,前川,,栗東,2020104793,01160,マインドユアビスケッツ Mind Your Biscuits(米),フォローハート,サンライズペガサス
4,,,ジュタロウ,牡6,58.0,田口,秋山,,栗東,2019110053,01208,Arrogate (米),Bodacious Babe,Mineshaft (米)
5,,,パシアンジャン,牡4,58.0,和田竜,鈴木孝,,栗東,2021104503,01018,シニスターミニスター Sinister Minister(米),カメリアテソーロ,ゴールドアリュール
6,,,ヒルノハンブルク,牡3,56.0,武豊,武英,,栗東,2022103614,00666,ナダル Nadal(米),グリントオブライト,ステイゴールド
7,,,ベルウェザー,牡4,58.0,菱田,茶木,,栗東,2021105425,01144,ニューイヤーズデイ,ヴィラ,ディープインパクト
8,,,ペンナヴェローチェ,牡4,58.0,団野,須貝,,栗東,2021104092,01180,キズナ,エンパイアブレイク,エンパイアメーカー Empire Maker(米)
9,,,ホルトバージ,牡4,58.0,小崎,寺島,,栗東,2021102905,01152,キンシャサノキセキ,プレインズウーマン Plainswoman(亜),Zensational
10,,,マルチャレアル,牡4,58.0,吉村,斉藤崇,,栗東,2021105430,01216,リアルインパクト,ヴィートマルシェ,フレンチデピュティ French Deputy(米)
11,,,メイショウフウドウ,牡4,58.0,西塚,藤原,,栗東,2021104445,01200,シニスターミニスター Sinister Minister(米),テンザンオトヒメ,フジキセキ
12,,,メイショウミカワ,牡7,58.0,富田,千田,,栗東,2018106458,01168,ミッキーアイル,メイショウボナール,ホワイトマズル White Muzzle(英)
13,,,レーウィン,セ4,58.0,高杉,上村,,栗東,2021100734,01213,ヘニーヒューズ Henny Hughes(米),フジインザスカイ,ディープスカイ
14,,,ロードラビリンス,牡3,56.0,鮫島駿,松下,,栗東,2022100653,01157,ミッキーアイル,ベイコート,ロードカナロア
15,,,ワイドブリザード,セ4,58.0,松若,佐藤悠,,栗東,2021104416,01154,カリフォルニアクローム California Chrome(米),ハナフブキ,ディープインパクト
