,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,エスティヴァリス,牝2,55.0,永島,高橋康,,栗東,2023103615,01187,マインドユアビスケッツ  Mind Your Biscuits(米),ロングホットサマー  Long Hot Summer(米),Street Boss
1,,,コニーアイランド,牝2,55.0,西村淳,中内田,,栗東,2023107283,01171,コントレイル,ヤンキーローズ  Yankee Rose(豪),All American
2,,,スウィートハピネス,牝2,55.0,高杉,北出,,栗東,2023104475,01213,リアルインパクト,フラル,ワークフォース  Workforce(英)
3,,,バースデイフライト,牝2,55.0,和田竜,新谷,,栗東,2023102906,01018,コントレイル,サマーソワレ Summer Soiree(米),War Front
4,,,ピカピカピロコ,牝2,55.0,松戸政,地方井樋一,, ,2023102199,01,エポカドーロ  2015 黒鹿毛  [血統][産駒]  Halo系,ツダグローリー  2018 黒鹿毛  [血統][産駒]  FNo.[3-c],トゥザグローリー  2007 鹿毛  [血統][産駒]
5,,,プレセピオ,牝2,55.0,鮫島駿,笹田,,栗東,2023103503,01157,パドトロワ,パネットーネ,エピファネイア
6,,,ベラジオレジーナ,牝2,55.0,川原正,地方松浦聡,, ,2023100791,00815,フィレンツェファイア  2015 鹿毛  [血統][産駒]  Mr. Prospector系,レジイナアン  2017 青鹿毛  [血統][産駒]  FNo.[22],ダイワメジャー  2001 栗毛  [血統][産駒]
7,,,マーゴットラヴミー,牝2,55.0,菱田,小林,,栗東,2023103889,01144,リアルスティール,キャントバイミーラヴ,War Front
8,,,メイショウハッケイ,牝2,55.0,武豊,本田,,栗東,2023105035,00666,ダイワメジャー,メイショウヒサカタ,シニスターミニスター  Sinister Minister(米)
9,,,レディーゴール,牝2,55.0,団野,池添,,栗東,2023100917,01180,レイデオロ,ケアレディー Care Lady(亜),Equal Stripes
10,,,ワイズギャング,牝2,55.0,古川吉,河嶋,,栗東,2023102208,01015,ミスチヴィアスアレックス Mischevious Alex(米),レディギャング,クロフネ
