,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,イイデカンタロウ,牡4,58.0,松若,北出,,栗東,2021107123,01154,グァンチャーレ,イイデメモリー,ゴールドアリュール
1,,,ウイングスオブラヴ,セ6,54.0,★河原田,笹田,,栗東,2019106615,01204,ルーラーシップ,エイジアンウインズ,フジキセキ
2,,,クレスコドルフィン,牡3,56.0,富田,長谷川,,栗東,2022107299,01168,クレスコグランド,ミヤビペルラ,ロードカナロア
3,,,サイモンシュバリエ,牡3,56.0,田口,梅田,,栗東,2022102223,01208,シニスターミニスター Sinister Minister(米),メイショウネイロ,ネオユニヴァース
4,,,サンディエゴ,牡3,55.0,☆吉村,清水久,,栗東,2022104982,01216,キズナ,ファイネストシティ Finest City(米),City Zip (米)
5,,,セボンサデッセ,牡3,56.0,菱田,橋口,,栗東,2022104903,01144,ルヴァンスレーヴ,チャームクォーク,クロフネ
6,,,ゼンエスポワール,牡3,56.0,横山典,飯田,,栗東,2022110135,00660,Practical Joke (米),Elite Mom,Scat Daddy (米)
7,,,ソルナシエンテ,牡3,56.0,高杉,藤岡,,栗東,2022104742,01213,ニューイヤーズデイ,ギーニョ,サンデーサイレンス Sunday Silence(米)
8,,,ダイシンラー,牡3,55.0,☆西塚,梅田,,栗東,2022101562,01200,サトノダイヤモンド,グレースドゥモナコ,タイキシャトル
9,,,チャチャピンク,牡3,56.0,亀田,北出,,栗東,2022104176,01176,リオンディーズ,マーチャンテイマー,クロフネ
10,,,テンエースワン,牡4,58.0,荻野琢,大久保,,栗東,2021105637,01112,ワールドエース,ダイワオンディーヌ,クロフネ
11,,,ドゥラエテルノ,牡3,56.0,武豊,武幸,,栗東,2022102722,00666,ドゥラメンテ,アイリスフィール,ハービンジャー Harbinger(英)
12,,,トモジャシック,牡3,56.0,秋山稔,大根田,,栗東,2022104293,01181,タリスマニック Talismanic(英),トモジャオール,エンパイアメーカー Empire Maker(米)
13,,,パーフェクト,牡3,56.0,和田竜,松下,,栗東,2022101504,01018,ヘニーヒューズ Henny Hughes(米),ラヴィアンフルール,ステイゴールド
14,,,モレポブラーノ,牡3,56.0,石川,庄野,,栗東,2022105443,01150,マインドユアビスケッツ Mind Your Biscuits(米),ハラペーニョペパー,ゼンノロブロイ
15,,,レヴァンテシチー,牡3,56.0,団野,佐々木,,栗東,2022104267,01180,ルヴァンスレーヴ,ビヴァレッジクイーン,Indygo Shiner
