,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アルファリラエ,牝2,55.0,戸崎圭,田島,,美浦,2023103772,05386,ダノンスマッシュ  2015 鹿毛  [血統][産駒]  Mr. Prospector系,ゴールデンハープ  2012 栗毛  [血統][産駒]  FNo.[17-b],ステイゴールド  1994 黒鹿毛  [血統][産駒]
1,,,ウルフマン,牡2,56.0,レーン,手塚久,,美浦,2023107045,05585,フィエールマン  2015 鹿毛  [血統][産駒]  Halo系,シンハディーパ  2010 黒鹿毛  [血統][産駒]  FNo.[6-e],ウォーエンブレム  War Emblem(米)  1999 青鹿毛  [血統][産駒]
2,,,ゴーラッキー,牡2,56.0,ルメール,黒岩,,美浦,2023107056,05339,キタサンブラック  2012 鹿毛  [血統][産駒]  Halo系,ジェットセッティング  Jet Setting(愛)  2013 鹿毛  [血統][産駒]  FNo.[B3],Fast Company  2005 鹿毛  [血統][産駒]
3,,,サンヴィクトワール,牝2,55.0,松山,武井,,美浦,2023105559,01126,ポエティックフレア  Poetic Flare(愛)  2018 鹿毛  [血統][産駒]  Sadler's Wells系,ナスノシンフォニー  2015 栗毛  [血統][産駒]  FNo.[1-o],ハーツクライ  2001 鹿毛  [血統][産駒]
4,,,タイキアロハ,牡2,56.0,菊沢,西田,,美浦,2023102183,01161,ラブリーデイ  2010 黒鹿毛  [血統][産駒]  Mr. Prospector系,フェリーチェ  2015 鹿毛  [血統][産駒]  FNo.[4-d],モンテロッソ  Monterosso(英)  2007 鹿毛  [血統][産駒]
5,,,トリニタリオ,牡2,56.0,丹内,勢司,,美浦,2023106438,01091,ウインブライト  2014 芦毛  [血統][産駒]  Halo系,コスモチョコレイ  2011 黒鹿毛  [血統][産駒]  FNo.[1-o],ブラックタイド  2001 黒鹿毛  [血統][産駒]
6,,,ネクストドア,牡2,56.0,吉田豊,高橋文,,美浦,2023106685,00733,ロジャーバローズ  2016 鹿毛  [血統][産駒]  Halo系,スポークスウーマン  Spokeswoman(愛)  2010 鹿毛  [血統][産駒]  FNo.[9-e],Invincible Spirit  (愛)  1997 鹿毛  [血統][産駒]
7,,,ハイランダー,牡2,56.0,プーシャン,萩原,,美浦,2023103504,05678,スワーヴリチャード  2014 栗毛  [血統][産駒]  Halo系,パンズラビリンス  2011 鹿毛  [血統][産駒]  FNo.[23-b],メイショウサムソン  2003 鹿毛  [血統][産駒]
8,,,バステール,牡2,56.0,Ｃデムーロ,斉藤崇,,栗東,2023107247,05473,キタサンブラック  2012 鹿毛  [血統][産駒]  Halo系,マンビア  Mambia(英)  2008 栗毛  [血統][産駒]  FNo.[5-h],アルデバランII  Aldebaran(米)  1998 鹿毛  [血統][産駒]
9,,,ホウオウロレンシア,牝2,55.0,菅原明,高木,,美浦,2023102396,01179,ゴールドシップ  2009 芦毛  [血統][産駒]  Halo系,ヌーナ  2012 黒鹿毛  [血統][産駒]  FNo.[2-n],Congrats  (米)  2000 鹿毛  [血統][産駒]
10,,,ラヴズプレミアム,牡2,56.0,川田,矢作,,栗東,2023107292,01088,エピファネイア  2010 鹿毛  [血統][産駒]  Roberto系,ラヴズオンリーユー  2016 鹿毛  [血統][産駒]  FNo.[20],ディープインパクト  2002 鹿毛  [血統][産駒]
11,,,ルナドロップ,牝2,55.0,横山和,小野,,美浦,2023100591,01140,アメリカンペイトリオット  2013 鹿毛  [血統][産駒]  Danzig系,レディノーラ  Lady Noorah(英)  2015 栗毛  [血統][産駒]  FNo.[8-f],Nathaniel  (愛)  2008 鹿毛  [血統][産駒]
