,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アイアムコロンブス,牡2,56.0,丹内,奥平,,美浦,2023103601,01091,スクリーンヒーロー,レッドジェノヴァ,シンボリクリスエス
1,,,アイムイン,牡2,56.0,ルメール,加藤征,,美浦,2023107111,05339,シルバーステート,ツルマルワンピース,キングカメハメハ
2,,,エオリアンリッジ,牡2,56.0,松山,尾関,,美浦,2023107222,01126,アドマイヤマーズ,ベルワトリング  Belle Watling(智),Dushyantor
3,,,オーキッドワン,牡2,56.0,武藤,水野,,美浦,2023100313,01169,リオンディーズ,クレーンズラヴァー,ゼンノロブロイ
4,,,サトノトリニティ,牡2,56.0,Ｃデムーロ,池江,,栗東,2023107272,05473,サトノダイヤモンド,メチャコルタ  Mecha Corta(亜),El Corredor
5,,,ジェンブリッシュ,牡2,56.0,岩田康,加藤和,,美浦,2023105778,05203,タリスマニック  Talismanic(英),エスコフィオン,ディープインパクト
6,,,シャドウクライ,牝2,55.0,北村友,杉山佳,,栗東,2023103507,01102,アドマイヤマーズ,パールシャドウ,クロフネ
7,,,ソルトバーン,牝2,52.0,▲石神道,和田雄,,美浦,2023102163,01209,ノーブルミッション Noble Mission(英),ミスミズ Missmizz(米),Mizzen Mast
8,,,タイキヴィグルーズ,牡2,56.0,横山琉,大竹,,美浦,2023102175,01192,ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒]  Danzig系,アヴァンセヴェリテ  2017 鹿毛  [血統][産駒]  FNo.[22],オルフェーヴル  2008 栗毛  [血統][産駒]
9,,,タイドグラフ,牡2,56.0,佐々木,上原博,,美浦,2023103560,01197,ブラックタイド,マッチレスギフト,Frankel
10,,,ファムクラジューズ,牝2,55.0,横山武,黒岩,,美浦,2023106433,01170,ベンバトル  Benbatl(英),キューンハイト,ディープインパクト
11,,,ブランニューホーム,牡2,56.0,黛,深山,,美浦,2023106607,01109,フィエールマン,ユメノマイホーム,ストーミングホーム  Storming Home(英)
12,,,ミサダメキメル,牡2,53.0,▲遠藤,高橋文,,美浦,2023106612,01218,アメリカンペイトリオット  2013 鹿毛  [血統][産駒]  Danzig系,クモリナキマナコ  2019 鹿毛  [血統][産駒]  FNo.[4-d],エピファネイア  2010 鹿毛  [血統][産駒]
