,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アッチョンブリケ,牝2,55.0,斎藤,小椋,,栗東,2023107504,01178,マテラスカイ,ニシノワン,ウォーエンブレム War Emblem(米)
1,,,アーディアイリ,牝2,52.0,▲田山,緒方,,栗東,2023102460,01220,クリソベリル  2016 鹿毛  [血統][産駒]  Halo系,オースミマコ  2005 鹿毛  [血統][産駒]  FNo.[16-b],フレンチデピュティ  French Deputy(米)  1992 栗毛  [血統][産駒]
2,,,イイクニパッション,牡2,56.0,内田博,深山,,美浦,2023100102,00422,ビッグアーサー,シゲルアンドロメダ,Birdstone
3,,,ウシワカマル,牡2,54.0,△柴田裕,安達,,栗東,2023105459,01212,マテラスカイ,カマクラ,シンボリクリスエス
4,,,クィーンズローズ,牝2,55.0,田口,大橋,,栗東,2023102634,01208,モーリス  2011 鹿毛  [血統][産駒]  Roberto系,フェイスマーク  2015 鹿毛  [血統][産駒]  FNo.[8-k],ローエングリン  1999 栗毛  [血統][産駒]
5,,,ゲキシン,牝2,55.0,高杉,角田,,栗東,2023105463,01213,マテラスカイ,ブルーファンク,ノヴェリスト  Novellist(愛)
6,,,ゴーゴーコクラ,牡2,53.0,▲森田,牧田,,栗東,2023109093,01222,スクワートルスクワート Squirtle Squirt(米),ヒラボクハッピー,タイキシャトル
7,,,サンブル,牡2,56.0,和田竜,浜田,,栗東,2023105667,01018,ナダル Nadal(米),マサイマラ Maasai Mara(亜),Orpen
8,,,ジャンシ,牡2,56.0,丸山,森秀,,栗東,2023110088,01127,More Than Ready,Autumnal  (米),Forestry
9,,,スカイピア,牝2,55.0,西村淳,前川,,栗東,2023110026,01171,Palace Pier (英),Sun Bear,Dubawi
10,,,ディグニダドレアル,牡2,56.0,秋山稔,宮,,栗東,2023103308,01181,サトノダイヤモンド  2013 鹿毛  [血統][産駒]  Halo系,アイアムルビー  2007 栗毛  [血統][産駒]  FNo.[1-d],Saint Liam  2000 鹿毛  [血統][産駒]
11,,,テルヴィセクス,牡2,56.0,団野,斉藤崇,,栗東,2023104355,01180,フォーウィールドライブ  Four Wheel Drive(米),ジョリーダンス,ダンスインザダーク
12,,,ピエナビバサンバ,牡2,56.0,荻野琢,秋山,,栗東,2023101918,01112,タワーオブロンドン,トーワクリステル,ディープインパクト
13,,,プレデンシア,牝2,55.0,菱田,中尾,,栗東,2023100376,01144,ルヴァンスレーヴ,リベラメンテ,ダノンシャンティ
14,,,メモリーデイズ,牝2,55.0,松若,畑端,,栗東,2023100628,01154,フィレンツェファイア  2015 鹿毛  [血統][産駒]  Mr. Prospector系,メモリーレーン  2011 栗毛  [血統][産駒]  FNo.[9-f],ダイワメジャー  2001 栗毛  [血統][産駒]
15,,,ラムールデュヴォン,牡2,56.0,亀田,堀内,,美浦,2023109174,01176,ミスチヴィアスアレックス Mischevious Alex(米),オレンジブリーズ,スマートファルコン
